cohort_month,period_number,period_revenue,cumulative_revenue,cohort_size,cumulative_revenue_per_customer
2020-01-01,45,116.99,7436.42,60,123.94
2020-01-01,47,69,7505.42,60,125.09
2020-01-01,53,31.99,7537.41,60,125.62
2020-02-01,0,5759.7,5759.7,56,102.85
2020-02-01,1,155.89,5915.59,56,105.64
2020-02-01,2,143.91,6059.5,56,108.21
2020-02-01,25,72,6131.5,56,109.49
2020-02-01,32,108,6239.5,56,111.42
2020-02-01,35,8.99,6248.49,56,111.58
2020-02-01,39,97,6345.49,56,113.31
2020-02-01,44,338.5,6683.99,56,119.36
2020-02-01,45,29.58,6713.57,56,119.89
2020-02-01,47,64.97,6778.54,56,121.05
2020-02-01,53,24.99,6803.53,56,121.49
2020-02-01,58,23.98,6827.51,56,121.92
2020-03-01,0,4027.97,4027.97,60,67.13
2020-03-01,1,1145.85,5173.82,60,86.23
2020-03-01,4,129.93,5303.75,60,88.4
2020-03-01,18,202.4,5506.15,60,91.77
2020-03-01,20,48,5554.15,60,92.57
2020-03-01,27,39.99,5594.14,60,93.24
2020-03-01,38,52.98,5647.12,60,94.12
2020-04-01,0,4630.26,4630.26,55,84.19
2020-04-01,1,30,4660.26,55,84.73
2020-04-01,10,185,4845.26,55,88.1
2020-04-01,12,185,5030.26,55,91.46
2020-04-01,13,199.71,5229.97,55,95.09
2020-04-01,14,76,5305.97,55,96.47
2020-04-01,21,348.99,5654.96,55,102.82
2020-04-01,22,36.95,5691.91,55,103.49
2020-04-01,26,45.99,5737.9,55,104.33
2020-04-01,29,16,5753.9,55,104.62
2020-04-01,35,27.4,5781.3,55,105.11
2020-04-01,36,54,5835.3,55,106.1
2020-04-01,37,12.99,5848.29,55,106.33
2020-04-01,40,74,5922.29,55,107.68
2020-04-01,41,77.37,5999.66,55,109.08
2020-04-01,54,26.98,6026.64,55,109.58
2020-05-01,0,5091.34,5091.34,65,78.33
2020-05-01,1,278.89,5370.23,65,82.62
2020-05-01,3,345.99,5716.22,65,87.94
2020-05-01,8,69.5,5785.72,65,89.01
2020-05-01,9,41.99,5827.71,65,89.66
2020-05-01,21,24.99,5852.7,65,90.04
2020-05-01,22,126.9,5979.6,65,91.99
2020-05-01,26,10.94,5990.54,65,92.16
2020-05-01,29,24,6014.54,65,92.53
2020-05-01,32,165,6179.54,65,95.07
2020-05-01,39,38.99,6218.53,65,95.67
2020-05-01,45,7.98,6226.51,65,95.79
2020-05-01,54,21.95,6248.46,65,96.13
2020-06-01,0,6666.71,6666.71,74,90.09
2020-06-01,4,18.99,6685.7,74,90.35
2020-06-01,8,279.99,6965.69,74,94.13
2020-06-01,15,44,7009.69,74,94.73
2020-06-01,22,14.99,7024.68,74,94.93
2020-06-01,32,27.95,7052.63,74,95.31
2020-06-01,34,201.2,7253.83,74,98.02
2020-06-01,54,29.99,7283.82,74,98.43
2020-07-01,0,6467.95,6467.95,77,84
2020-07-01,1,237.84,6705.79,77,87.09
2020-07-01,12,24.5,6730.29,77,87.41
2020-07-01,26,12.95,6743.24,77,87.57
2020-07-01,30,62.97,6806.21,77,88.39
2020-07-01,34,276.01,7082.22,77,91.98
2020-07-01,37,114.98,7197.2,77,93.47
2020-07-01,45,22.99,7220.19,77,93.77
2020-07-01,46,59,7279.19,77,94.53
2020-07-01,48,217,7496.19,77,97.35
2020-08-01,0,6296.58,6296.58,86,73.22
2020-08-01,1,718.94,7015.52,86,81.58
2020-08-01,5,74.95,7090.47,86,82.45
2020-08-01,6,52.99,7143.46,86,83.06
2020-08-01,8,56,7199.46,86,83.71
2020-08-01,9,69.96,7269.42,86,84.53
2020-08-01,15,60.48,7329.9,86,85.23
2020-08-01,17,175.95,7505.85,86,87.28
2020-08-01,19,38,7543.85,86,87.72
2020-08-01,23,34,7577.85,86,88.11
2020-08-01,26,147.99,7725.84,86,89.84
2020-08-01,27,25,7750.84,86,90.13
2020-08-01,30,128,7878.84,86,91.61
2020-08-01,44,109.99,7988.83,86,92.89
2020-08-01,47,39.5,8028.33,86,93.35
2020-09-01,0,7372.09,7372.09,86,85.72
2020-09-01,1,50.94,7423.03,86,86.31
2020-09-01,4,209.5,7632.53,86,88.75
2020-09-01,8,66.6,7699.13,86,89.52
2020-09-01,14,155.41,7854.54,86,91.33
2020-09-01,16,19.58,7874.12,86,91.56
2020-09-01,26,41.99,7916.11,86,92.05
2020-09-01,29,59.99,7976.1,86,92.75
2020-09-01,31,44,8020.1,86,93.26
2020-09-01,32,107.98,8128.08,86,94.51
2020-09-01,36,49.94,8178.02,86,95.09
2020-09-01,41,6.36,8184.38,86,95.17
2020-09-01,49,120.98,8305.36,86,96.57
2020-09-01,50,22.97,8328.33,86,96.84
2020-09-01,51,619.95,8948.28,86,104.05
2020-10-01,0,7659.47,7659.47,93,82.36
2020-10-01,7,9.5,7668.97,93,82.46
2020-10-01,9,45.97,7714.94,93,82.96
2020-10-01,16,99.99,7814.93,93,84.03
2020-10-01,26,61,7875.93,93,84.69
2020-10-01,27,245,8120.93,93,87.32
2020-10-01,28,212.08,8333.01,93,89.6
2020-10-01,29,82.5,8415.51,93,90.49
2020-10-01,31,97.14,8512.65,93,91.53
2020-10-01,32,31.95,8544.6,93,91.88
2020-10-01,36,214.95,8759.55,93,94.19
2020-10-01,37,129.99,8889.54,93,95.59
2020-10-01,41,180,9069.54,93,97.52
2020-11-01,0,7439.7,7439.7,87,85.51
2020-11-01,1,166.31,7606.01,87,87.43
2020-11-01,5,5.98,7611.99,87,87.49
2020-11-01,8,63.74,7675.73,87,88.23
2020-11-01,12,19,7694.73,87,88.45
2020-11-01,16,82,7776.73,87,89.39
2020-11-01,23,13.5,7790.23,87,89.54
2020-11-01,25,120.94,7911.17,87,90.93
2020-11-01,28,19.97,7931.14,87,91.16
2020-11-01,31,33.99,7965.13,87,91.55
2020-11-01,37,26,7991.13,87,91.85
2020-11-01,38,34.95,8026.08,87,92.25
2020-11-01,46,151.91,8177.99,87,94
2020-12-01,0,8359.19,8359.19,107,78.12
2020-12-01,1,564.46,8923.65,107,83.4
2020-12-01,4,26.98,8950.63,107,83.65
2020-12-01,7,39.99,8990.62,107,84.02
2020-12-01,11,44.5,9035.12,107,84.44
2020-12-01,14,335.89,9371.01,107,87.58
2020-12-01,18,14.75,9385.76,107,87.72
2020-12-01,20,25,9410.76,107,87.95
2020-12-01,25,271,9681.76,107,90.48
2020-12-01,26,186.95,9868.71,107,92.23
2020-12-01,31,25,9893.71,107,92.46
2020-12-01,34,198.99,10092.7,107,94.32
2020-12-01,36,67.88,10160.58,107,94.96
2020-12-01,40,14.99,10175.57,107,95.1
2020-12-01,43,160.32,10335.89,107,96.6
2020-12-01,45,82,10417.89,107,97.36
2020-12-01,46,55.89,10473.78,107,97.89
2020-12-01,47,532.62,11006.4,107,102.86
2021-01-01,0,10234.47,10234.47,122,83.89
2021-01-01,1,264.65,10499.12,122,86.06
2021-01-01,3,181.99,10681.11,122,87.55
2021-01-01,7,144,10825.11,122,88.73
2021-01-01,8,506.5,11331.61,122,92.88
2021-01-01,11,65,11396.61,122,93.41
2021-01-01,12,13.73,11410.34,122,93.53
2021-01-01,16,68,11478.34,122,94.08
2021-01-01,22,56,11534.34,122,94.54
2021-01-01,24,8.95,11543.29,122,94.62
2021-01-01,30,49.95,11593.24,122,95.03
2021-01-01,36,85,11678.24,122,95.72
2021-01-01,37,59.94,11738.18,122,96.21
2021-01-01,40,125.99,11864.17,122,97.25
2021-01-01,47,117.5,11981.67,122,98.21
2021-02-01,0,8995.83,8995.83,105,85.67
2021-02-01,1,421.86,9417.69,105,89.69
2021-02-01,2,54.98,9472.67,105,90.22
2021-02-01,6,61,9533.67,105,90.8
2021-02-01,8,152.99,9686.66,105,92.25
2021-02-01,10,21.99,9708.65,105,92.46
2021-02-01,11,78.4,9787.05,105,93.21
2021-02-01,27,109,9896.05,105,94.25
2021-02-01,29,106.8,10002.85,105,95.27
2021-02-01,37,45,10047.85,105,95.69
2021-02-01,38,58,10105.85,105,96.25
2021-02-01,39,28.9,10134.75,105,96.52
2021-03-01,0,10448.66,10448.66,122,85.64
2021-03-01,1,204.93,10653.59,122,87.32
2021-03-01,5,12.98,10666.57,122,87.43
2021-03-01,7,29.99,10696.56,122,87.68
2021-03-01,8,24,10720.56,122,87.87
2021-03-01,14,19.5,10740.06,122,88.03
2021-03-01,16,14.99,10755.05,122,88.16
2021-03-01,20,29.99,10785.04,122,88.4
2021-03-01,23,69,10854.04,122,88.97
2021-03-01,28,12.5,10866.54,122,89.07
2021-03-01,33,389.99,11256.53,122,92.27
2021-03-01,38,142.44,11398.97,122,93.43
2021-03-01,39,79.88,11478.85,122,94.09
2021-03-01,40,99.93,11578.78,122,94.91
2021-03-01,44,138.9,11717.68,122,96.05
2021-04-01,0,10332.35,10332.35,134,77.11
2021-04-01,1,387.6,10719.95,134,80
2021-04-01,2,42.99,10762.94,134,80.32
2021-04-01,3,267.99,11030.93,134,82.32
2021-04-01,7,33.33,11064.26,134,82.57
2021-04-01,14,42,11106.26,134,82.88
2021-04-01,15,145.79,11252.05,134,83.97
2021-04-01,16,36,11288.05,134,84.24
2021-04-01,24,89.99,11378.04,134,84.91
2021-04-01,25,65.18,11443.22,134,85.4
2021-04-01,26,16.99,11460.21,134,85.52
2021-04-01,27,68.61,11528.82,134,86.04
2021-04-01,28,154.5,11683.32,134,87.19
2021-04-01,29,31.99,11715.31,134,87.43
2021-04-01,32,237.99,11953.3,134,89.2
2021-04-01,33,413.08,12366.38,134,92.29
2021-04-01,38,30,12396.38,134,92.51
2021-04-01,39,94.14,12490.52,134,93.21
2021-04-01,42,117.51,12608.03,134,94.09
2021-04-01,43,11.99,12620.02,134,94.18
2021-05-01,0,11869.34,11869.34,156,76.09
2021-05-01,1,565.98,12435.32,156,79.71
2021-05-01,2,13.5,12448.82,156,79.8
2021-05-01,3,150,12598.82,156,80.76
2021-05-01,4,88.99,12687.81,156,81.33
2021-05-01,7,45.95,12733.76,156,81.63
2021-05-01,10,37.53,12771.29,156,81.87
2021-05-01,11,39.5,12810.79,156,82.12
2021-05-01,12,71.98,12882.77,156,82.58
2021-05-01,19,149.99,13032.76,156,83.54
2021-05-01,21,26.99,13059.75,156,83.72
2021-05-01,26,337.8,13397.55,156,85.88
2021-05-01,27,10.17,13407.72,156,85.95
2021-05-01,29,59,13466.72,156,86.33
2021-05-01,31,12,13478.72,156,86.4
2021-05-01,33,44,13522.72,156,86.68
2021-05-01,34,119.99,13642.71,156,87.45
2021-05-01,35,51.99,13694.7,156,87.79
2021-05-01,39,277.25,13971.95,156,89.56
2021-05-01,41,26,13997.95,156,89.73
2021-05-01,42,17.99,14015.94,156,89.85
2021-06-01,0,8971.14,8971.14,124,72.35
2021-06-01,1,397.78,9368.92,124,75.56
2021-06-01,2,139.99,9508.91,124,76.68
2021-06-01,3,204.84,9713.75,124,78.34
2021-06-01,6,47.99,9761.74,124,78.72
2021-06-01,8,9,9770.74,124,78.8
2021-06-01,9,115.94,9886.68,124,79.73
2021-06-01,12,39.99,9926.67,124,80.05
2021-06-01,13,91.06,10017.73,124,80.79
2021-06-01,16,340.28,10358.01,124,83.53
2021-06-01,19,19.99,10378,124,83.69
2021-06-01,21,465,10843,124,87.44
2021-06-01,24,68.88,10911.88,124,88
2021-06-01,25,132.22,11044.1,124,89.07
2021-06-01,27,102.94,11147.04,124,89.9
2021-06-01,28,141.94,11288.98,124,91.04
2021-06-01,32,37.95,11326.93,124,91.35
2021-06-01,34,69,11395.93,124,91.9
2021-06-01,35,266.18,11662.11,124,94.05
2021-06-01,38,17.99,11680.1,124,94.19
2021-06-01,39,10,11690.1,124,94.28
2021-07-01,0,10024.74,10024.74,133,75.37
2021-07-01,1,545.56,10570.3,133,79.48
2021-07-01,3,197,10767.3,133,80.96
2021-07-01,4,85.98,10853.28,133,81.6
2021-07-01,7,20.99,10874.27,133,81.76
2021-07-01,9,141.13,11015.4,133,82.82
2021-07-01,14,54.99,11070.39,133,83.24
2021-07-01,18,15.67,11086.06,133,83.35
2021-07-01,22,62,11148.06,133,83.82
2021-07-01,23,615.59,11763.65,133,88.45
2021-07-01,27,49,11812.65,133,88.82
2021-07-01,34,52.99,11865.64,133,89.22
2021-07-01,38,67.47,11933.11,133,89.72
2021-07-01,39,72,12005.11,133,90.26
2021-08-01,0,12013.87,12013.87,166,72.37
2021-08-01,1,912.4,12926.27,166,77.87
2021-08-01,2,57.94,12984.21,166,78.22
2021-08-01,5,154.69,13138.9,166,79.15
2021-08-01,6,15.99,13154.89,166,79.25
2021-08-01,9,113.36,13268.25,166,79.93
2021-08-01,10,117.95,13386.2,166,80.64
2021-08-01,12,329.63,13715.83,166,82.63
2021-08-01,13,296.98,14012.81,166,84.41
2021-08-01,16,78.75,14091.56,166,84.89
2021-08-01,20,60,14151.56,166,85.25
2021-08-01,21,85.99,14237.55,166,85.77
2021-08-01,22,19.36,14256.91,166,85.89
2021-08-01,25,31.98,14288.89,166,86.08
2021-08-01,26,225.93,14514.82,166,87.44
2021-08-01,29,17.32,14532.14,166,87.54
2021-08-01,30,114.78,14646.92,166,88.23
2021-08-01,31,24.89,14671.81,166,88.38
2021-08-01,35,46,14717.81,166,88.66
2021-08-01,36,145.56,14863.37,166,89.54
2021-08-01,37,467.44,15330.81,166,92.35
2021-08-01,39,236.44,15567.25,166,93.78
2021-09-01,0,15222.57,15222.57,167,91.15
2021-09-01,1,630.43,15853,167,94.93
2021-09-01,3,117.99,15970.99,167,95.63
2021-09-01,5,134.16,16105.15,167,96.44
2021-09-01,6,13,16118.15,167,96.52
2021-09-01,10,36.64,16154.79,167,96.74
2021-09-01,11,44.21,16199,167,97
2021-09-01,12,158,16357,167,97.95
2021-09-01,13,65,16422,167,98.34
2021-09-01,19,17.75,16439.75,167,98.44
2021-09-01,21,26,16465.75,167,98.6
2021-09-01,27,133.99,16599.74,167,99.4
2021-09-01,29,75.85,16675.59,167,99.85
2021-09-01,32,36.98,16712.57,167,100.08
2021-09-01,34,287,16999.57,167,101.79
2021-09-01,36,90.06,17089.63,167,102.33
2021-09-01,38,36.99,17126.62,167,102.55
2021-09-01,39,170.13,17296.75,167,103.57
2021-10-01,0,13609.04,13609.04,177,76.89
2021-10-01,1,810.53,14419.57,177,81.47
2021-10-01,3,23.23,14442.8,177,81.6
2021-10-01,5,109,14551.8,177,82.21
2021-10-01,6,173.49,14725.29,177,83.19
2021-10-01,8,175,14900.29,177,84.18
2021-10-01,12,51.99,14952.28,177,84.48
2021-10-01,13,67.04,15019.32,177,84.85
2021-10-01,14,216.6,15235.92,177,86.08
2021-10-01,16,319.99,15555.91,177,87.89
2021-10-01,18,36.95,15592.86,177,88.1
2021-10-01,20,60.8,15653.66,177,88.44
2021-10-01,24,216.94,15870.6,177,89.66
2021-10-01,31,84.47,15955.07,177,90.14
2021-10-01,32,42.99,15998.06,177,90.38
2021-10-01,33,79.49,16077.55,177,90.83
2021-10-01,34,15,16092.55,177,90.92
2021-10-01,36,189,16281.55,177,91.99
2021-10-01,37,36.99,16318.54,177,92.2
2021-11-01,0,14212.53,14212.53,165,86.14
2021-11-01,1,342.7,14555.23,165,88.21
2021-11-01,3,68.99,14624.22,165,88.63
2021-11-01,4,11.37,14635.59,165,88.7
2021-11-01,5,240.95,14876.54,165,90.16
2021-11-01,6,553.58,15430.12,165,93.52
2021-11-01,12,39.48,15469.6,165,93.76
2021-11-01,14,42.5,15512.1,165,94.01
2021-11-01,15,79,15591.1,165,94.49
2021-11-01,16,112.94,15704.04,165,95.18
2021-11-01,17,158.45,15862.49,165,96.14
2021-11-01,21,147.94,16010.43,165,97.03
2021-11-01,22,58.49,16068.92,165,97.39
2021-11-01,25,16.99,16085.91,165,97.49
2021-11-01,27,9.98,16095.89,165,97.55
2021-11-01,28,98,16193.89,165,98.14
2021-11-01,35,45,16238.89,165,98.42
2021-11-01,36,7,16245.89,165,98.46
2021-12-01,0,15055.11,15055.11,168,89.61
2021-12-01,1,162.21,15217.32,168,90.58
2021-12-01,2,180.03,15397.35,168,91.65
2021-12-01,3,24,15421.35,168,91.79
2021-12-01,7,28.99,15450.34,168,91.97
2021-12-01,10,9.5,15459.84,168,92.02
2021-12-01,12,193.98,15653.82,168,93.18
2021-12-01,13,48,15701.82,168,93.46
2021-12-01,17,107.3,15809.12,168,94.1
2021-12-01,18,182.95,15992.07,168,95.19
2021-12-01,21,25.48,16017.55,168,95.34
2021-12-01,22,52.77,16070.32,168,95.66
2021-12-01,28,357.97,16428.29,168,97.79
2021-12-01,30,44.49,16472.78,168,98.05
2021-12-01,32,36,16508.78,168,98.27
2021-12-01,33,80.98,16589.76,168,98.75
2022-01-01,0,14805.21,14805.21,189,78.33
2022-01-01,1,697.11,15502.32,189,82.02
2022-01-01,3,35.42,15537.74,189,82.21
2022-01-01,4,134.99,15672.73,189,82.92
2022-01-01,7,74.95,15747.68,189,83.32
2022-01-01,8,44.99,15792.67,189,83.56
2022-01-01,10,30.92,15823.59,189,83.72
2022-01-01,11,37.96,15861.55,189,83.92
2022-01-01,12,296.7,16158.25,189,85.49
2022-01-01,19,172.07,16330.32,189,86.4
2022-01-01,20,108,16438.32,189,86.98
2022-01-01,21,66,16504.32,189,87.32
2022-01-01,24,9.19,16513.51,189,87.37
2022-01-01,25,41.99,16555.5,189,87.6
2022-01-01,28,52,16607.5,189,87.87
2022-01-01,30,42.16,16649.66,189,88.09
2022-01-01,31,36.74,16686.4,189,88.29
2022-01-01,32,12.99,16699.39,189,88.36
2022-01-01,35,174.2,16873.59,189,89.28
2022-02-01,0,14737.05,14737.05,173,85.19
2022-02-01,1,402.77,15139.82,173,87.51
2022-02-01,2,65,15204.82,173,87.89
2022-02-01,4,46,15250.82,173,88.16
2022-02-01,6,103.47,15354.29,173,88.75
2022-02-01,7,44.99,15399.28,173,89.01
2022-02-01,14,55.38,15454.66,173,89.33
2022-02-01,18,246.08,15700.74,173,90.76
2022-02-01,19,40.99,15741.73,173,90.99
2022-02-01,21,18.75,15760.48,173,91.1
2022-02-01,23,228,15988.48,173,92.42
2022-02-01,27,27,16015.48,173,92.58
2022-02-01,28,176.35,16191.83,173,93.59
2022-02-01,29,104.95,16296.78,173,94.2
2022-02-01,30,269,16565.78,173,95.76
2022-02-01,31,270.87,16836.65,173,97.32
2022-02-01,33,230.21,17066.86,173,98.65
2022-02-01,34,149,17215.86,173,99.51
2022-03-01,0,18941.92,18941.92,201,94.24
2022-03-01,1,565.37,19507.29,201,97.05
2022-03-01,3,39.5,19546.79,201,97.25
2022-03-01,4,127.95,19674.74,201,97.88
2022-03-01,11,501.45,20176.19,201,100.38
2022-03-01,12,295.29,20471.48,201,101.85
2022-03-01,13,24.99,20496.47,201,101.97
2022-03-01,14,59.95,20556.42,201,102.27
2022-03-01,15,85.4,20641.82,201,102.7
2022-03-01,16,35,20676.82,201,102.87
2022-03-01,18,19.99,20696.81,201,102.97
2022-03-01,19,10,20706.81,201,103.02
2022-03-01,20,59.94,20766.75,201,103.32
2022-03-01,27,287.99,21054.74,201,104.75
2022-03-01,28,12.99,21067.73,201,104.81
2022-03-01,30,79.99,21147.72,201,105.21
2022-04-01,0,17671.48,17671.48,201,87.92
2022-04-01,1,798.68,18470.16,201,91.89
2022-04-01,2,14.99,18485.15,201,91.97
2022-04-01,3,115.88,18601.03,201,92.54
2022-04-01,5,58.99,18660.02,201,92.84
2022-04-01,6,84.95,18744.97,201,93.26
2022-04-01,7,28.95,18773.92,201,93.4
2022-04-01,8,123.95,18897.87,201,94.02
2022-04-01,9,24,18921.87,201,94.14
2022-04-01,10,24,18945.87,201,94.26
2022-04-01,11,30,18975.87,201,94.41
2022-04-01,12,106.62,19082.49,201,94.94
2022-04-01,14,22.99,19105.48,201,95.05
2022-04-01,17,66.5,19171.98,201,95.38
2022-04-01,18,109.5,19281.48,201,95.93
2022-04-01,23,25,19306.48,201,96.05
2022-04-01,25,460.25,19766.73,201,98.34
2022-04-01,26,69.95,19836.68,201,98.69
2022-04-01,27,16,19852.68,201,98.77
2022-04-01,28,78.98,19931.66,201,99.16
2022-04-01,29,213.99,20145.65,201,100.23
2022-05-01,0,18252.45,18252.45,221,82.59
2022-05-01,1,319.06,18571.51,221,84.03
2022-05-01,3,433.89,19005.4,221,86
2022-05-01,4,21.99,19027.39,221,86.1
2022-05-01,5,159.99,19187.38,221,86.82
2022-05-01,6,269,19456.38,221,88.04
2022-05-01,7,98,19554.38,221,88.48
2022-05-01,9,75,19629.38,221,88.82
2022-05-01,10,89.99,19719.37,221,89.23
2022-05-01,11,89.45,19808.82,221,89.63
2022-05-01,12,41.99,19850.81,221,89.82
2022-05-01,16,189,20039.81,221,90.68
2022-05-01,18,219.1,20258.91,221,91.67
2022-05-01,19,424.43,20683.34,221,93.59
2022-05-01,22,18,20701.34,221,93.67
2022-05-01,23,82.99,20784.33,221,94.05
2022-05-01,25,43.98,20828.31,221,94.25
2022-05-01,27,171.39,20999.7,221,95.02
2022-05-01,28,175.98,21175.68,221,95.82
2022-05-01,29,78,21253.68,221,96.17
2022-05-01,31,288.48,21542.16,221,97.48
2022-05-01,32,134.49,21676.65,221,98.08
2022-06-01,0,14171.81,14171.81,182,77.87
2022-06-01,1,277.57,14449.38,182,79.39
2022-06-01,2,104.3,14553.68,182,79.97
2022-06-01,3,295.77,14849.45,182,81.59
2022-06-01,5,383.49,15232.94,182,83.7
2022-06-01,8,122.95,15355.89,182,84.37
2022-06-01,9,96,15451.89,182,84.9
2022-06-01,11,550,16001.89,182,87.92
2022-06-01,12,215,16216.89,182,89.1
2022-06-01,13,25.6,16242.49,182,89.24
2022-06-01,14,222.5,16464.99,182,90.47
2022-06-01,16,99,16563.99,182,91.01
2022-06-01,17,166.51,16730.5,182,91.93
2022-06-01,20,141.99,16872.49,182,92.71
2022-06-01,23,31,16903.49,182,92.88
2022-06-01,24,286.47,17189.96,182,94.45
2022-06-01,26,37.5,17227.46,182,94.66
2022-06-01,28,149.95,17377.41,182,95.48
2022-07-01,0,18431.86,18431.86,226,81.56
2022-07-01,1,1138.9,19570.76,226,86.6
2022-07-01,3,101.05,19671.81,226,87.04
2022-07-01,4,68.94,19740.75,226,87.35
2022-07-01,5,130.98,19871.73,226,87.93
2022-07-01,6,50.52,19922.25,226,88.15
2022-07-01,8,75,19997.25,226,88.48
2022-07-01,9,124.84,20122.09,226,89.04
2022-07-01,10,35.57,20157.66,226,89.19
2022-07-01,12,39.9,20197.56,226,89.37
2022-07-01,14,460.87,20658.43,226,91.41
2022-07-01,15,187.44,20845.87,226,92.24
2022-07-01,17,158.92,21004.79,226,92.94
2022-07-01,19,209,21213.79,226,93.87
2022-07-01,20,542.99,21756.78,226,96.27
2022-07-01,21,102.58,21859.36,226,96.72
2022-07-01,22,154,22013.36,226,97.4
2022-07-01,23,158.49,22171.85,226,98.11
2022-07-01,24,14.5,22186.35,226,98.17
2022-07-01,28,92.25,22278.6,226,98.58
2022-07-01,29,78,22356.6,226,98.92
2022-08-01,0,18575.85,18575.85,235,79.05
2022-08-01,1,548.59,19124.44,235,81.38
2022-08-01,3,17.84,19142.28,235,81.46
2022-08-01,5,124,19266.28,235,81.98
2022-08-01,6,119,19385.28,235,82.49
2022-08-01,8,428.94,19814.22,235,84.32
2022-08-01,12,47.99,19862.21,235,84.52
2022-08-01,14,159.95,20022.16,235,85.2
2022-08-01,17,83.36,20105.52,235,85.56
2022-08-01,18,325,20430.52,235,86.94
2022-08-01,19,50,20480.52,235,87.15
2022-08-01,20,123.95,20604.47,235,87.68
2022-08-01,21,255.84,20860.31,235,88.77
2022-08-01,22,180.85,21041.16,235,89.54
2022-08-01,24,26.98,21068.14,235,89.65
2022-08-01,26,130.97,21199.11,235,90.21
2022-08-01,27,185.52,21384.63,235,91
2022-08-01,28,29,21413.63,235,91.12
2022-09-01,0,22836.43,22836.43,259,88.17
2022-09-01,1,644.07,23480.5,259,90.66
