cohort_month,period_number,active_users,cohort_size,retention_pct
2021-02-01,28,1,99,1.01
2021-02-01,29,3,99,3.03
2021-02-01,30,1,99,1.01
2021-02-01,31,1,99,1.01
2021-02-01,36,1,99,1.01
2021-02-01,38,1,99,1.01
2021-02-01,39,1,99,1.01
2021-02-01,46,1,99,1.01
2021-03-01,0,146,146,100
2021-03-01,4,1,146,0.68
2021-03-01,6,1,146,0.68
2021-03-01,8,1,146,0.68
2021-03-01,15,1,146,0.68
2021-03-01,18,1,146,0.68
2021-03-01,19,2,146,1.37
2021-03-01,21,1,146,0.68
2021-03-01,22,1,146,0.68
2021-03-01,27,1,146,0.68
2021-03-01,31,1,146,0.68
2021-03-01,34,1,146,0.68
2021-03-01,35,1,146,0.68
2021-03-01,39,2,146,1.37
2021-03-01,40,2,146,1.37
2021-03-01,42,1,146,0.68
2021-04-01,0,145,145,100
2021-04-01,2,1,145,0.69
2021-04-01,3,1,145,0.69
2021-04-01,11,1,145,0.69
2021-04-01,13,1,145,0.69
2021-04-01,14,1,145,0.69
2021-04-01,16,1,145,0.69
2021-04-01,26,4,145,2.76
2021-04-01,28,1,145,0.69
2021-04-01,29,1,145,0.69
2021-04-01,34,1,145,0.69
2021-04-01,36,1,145,0.69
2021-04-01,42,1,145,0.69
2021-04-01,44,1,145,0.69
2021-05-01,0,142,142,100
2021-05-01,5,1,142,0.7
2021-05-01,7,1,142,0.7
2021-05-01,10,2,142,1.41
2021-05-01,12,1,142,0.7
2021-05-01,13,1,142,0.7
2021-05-01,19,1,142,0.7
2021-05-01,24,3,142,2.11
2021-05-01,25,1,142,0.7
2021-05-01,27,1,142,0.7
2021-05-01,30,1,142,0.7
2021-05-01,35,1,142,0.7
2021-05-01,36,1,142,0.7
2021-05-01,39,1,142,0.7
2021-05-01,43,1,142,0.7
2021-06-01,0,162,162,100
2021-06-01,5,1,162,0.62
2021-06-01,6,1,162,0.62
2021-06-01,7,1,162,0.62
2021-06-01,9,2,162,1.23
2021-06-01,10,2,162,1.23
2021-06-01,11,2,162,1.23
2021-06-01,12,1,162,0.62
2021-06-01,13,1,162,0.62
2021-06-01,15,1,162,0.62
2021-06-01,19,1,162,0.62
2021-06-01,21,2,162,1.23
2021-06-01,24,2,162,1.23
2021-06-01,25,1,162,0.62
2021-06-01,28,1,162,0.62
2021-06-01,31,1,162,0.62
2021-06-01,35,1,162,0.62
2021-06-01,36,1,162,0.62
2021-06-01,37,2,162,1.23
2021-06-01,39,2,162,1.23
2021-06-01,40,1,162,0.62
2021-07-01,0,156,156,100
2021-07-01,4,1,156,0.64
2021-07-01,9,1,156,0.64
2021-07-01,10,2,156,1.28
2021-07-01,11,3,156,1.92
2021-07-01,12,2,156,1.28
2021-07-01,13,2,156,1.28
2021-07-01,15,1,156,0.64
2021-07-01,19,1,156,0.64
2021-07-01,21,1,156,0.64
2021-07-01,22,3,156,1.92
2021-07-01,23,1,156,0.64
2021-07-01,24,1,156,0.64
2021-07-01,25,1,156,0.64
2021-07-01,28,1,156,0.64
2021-07-01,29,3,156,1.92
2021-07-01,32,1,156,0.64
2021-07-01,34,2,156,1.28
2021-07-01,35,1,156,0.64
2021-07-01,36,1,156,0.64
2021-07-01,38,3,156,1.92
2021-07-01,39,1,156,0.64
2021-07-01,40,1,156,0.64
2021-07-01,41,1,156,0.64
2021-08-01,0,151,151,100
2021-08-01,1,1,151,0.66
2021-08-01,5,1,151,0.66
2021-08-01,6,2,151,1.32
2021-08-01,7,3,151,1.99
2021-08-01,9,1,151,0.66
2021-08-01,11,2,151,1.32
2021-08-01,15,2,151,1.32
2021-08-01,17,2,151,1.32
2021-08-01,18,1,151,0.66
2021-08-01,19,1,151,0.66
2021-08-01,21,2,151,1.32
2021-08-01,23,2,151,1.32
2021-08-01,26,1,151,0.66
2021-08-01,28,1,151,0.66
2021-08-01,32,1,151,0.66
2021-08-01,33,3,151,1.99
2021-08-01,34,1,151,0.66
2021-08-01,37,1,151,0.66
2021-08-01,39,2,151,1.32
2021-09-01,0,146,146,100
2021-09-01,1,1,146,0.68
2021-09-01,2,1,146,0.68
2021-09-01,4,1,146,0.68
2021-09-01,6,1,146,0.68
2021-09-01,7,1,146,0.68
2021-09-01,8,1,146,0.68
2021-09-01,10,1,146,0.68
2021-09-01,14,1,146,0.68
2021-09-01,18,1,146,0.68
2021-09-01,23,1,146,0.68
2021-09-01,24,1,146,0.68
2021-09-01,25,1,146,0.68
2021-09-01,26,1,146,0.68
2021-09-01,27,1,146,0.68
2021-09-01,28,1,146,0.68
2021-09-01,31,2,146,1.37
2021-09-01,33,1,146,0.68
2021-09-01,37,1,146,0.68
2021-09-01,39,1,146,0.68
2021-10-01,0,153,153,100
2021-10-01,1,1,153,0.65
2021-10-01,2,1,153,0.65
2021-10-01,3,1,153,0.65
2021-10-01,7,2,153,1.31
2021-10-01,8,2,153,1.31
2021-10-01,9,2,153,1.31
2021-10-01,10,2,153,1.31
2021-10-01,12,2,153,1.31
2021-10-01,13,1,153,0.65
2021-10-01,14,3,153,1.96
2021-10-01,15,1,153,0.65
2021-10-01,16,1,153,0.65
2021-10-01,20,1,153,0.65
2021-10-01,22,1,153,0.65
2021-10-01,29,1,153,0.65
2021-10-01,30,2,153,1.31
2021-10-01,31,4,153,2.61
2021-10-01,33,1,153,0.65
2021-10-01,37,2,153,1.31
2021-10-01,38,1,153,0.65
2021-11-01,0,187,187,100
2021-11-01,1,2,187,1.07
2021-11-01,4,1,187,0.53
2021-11-01,5,1,187,0.53
2021-11-01,7,4,187,2.14
2021-11-01,9,1,187,0.53
2021-11-01,10,2,187,1.07
2021-11-01,12,3,187,1.6
2021-11-01,13,1,187,0.53
2021-11-01,14,2,187,1.07
2021-11-01,15,1,187,0.53
2021-11-01,16,1,187,0.53
2021-11-01,19,1,187,0.53
2021-11-01,25,1,187,0.53
2021-11-01,27,1,187,0.53
2021-11-01,28,1,187,0.53
2021-11-01,31,1,187,0.53
2021-11-01,32,1,187,0.53
2021-11-01,34,1,187,0.53
2021-11-01,36,2,187,1.07
2021-11-01,37,1,187,0.53
2021-12-01,0,158,158,100
2021-12-01,1,1,158,0.63
2021-12-01,4,1,158,0.63
2021-12-01,5,1,158,0.63
2021-12-01,6,1,158,0.63
2021-12-01,8,1,158,0.63
2021-12-01,9,1,158,0.63
2021-12-01,12,1,158,0.63
2021-12-01,13,2,158,1.27
2021-12-01,16,1,158,0.63
2021-12-01,20,1,158,0.63
2021-12-01,21,2,158,1.27
2021-12-01,26,2,158,1.27
2021-12-01,27,2,158,1.27
2021-12-01,28,1,158,0.63
2021-12-01,32,1,158,0.63
2021-12-01,36,3,158,1.9
2022-01-01,0,193,193,100
2022-01-01,3,1,193,0.52
2022-01-01,5,1,193,0.52
2022-01-01,6,1,193,0.52
2022-01-01,8,2,193,1.04
2022-01-01,9,3,193,1.55
2022-01-01,10,1,193,0.52
2022-01-01,11,1,193,0.52
2022-01-01,12,1,193,0.52
2022-01-01,16,1,193,0.52
2022-01-01,19,2,193,1.04
2022-01-01,21,1,193,0.52
2022-01-01,22,3,193,1.55
2022-01-01,24,2,193,1.04
2022-01-01,25,2,193,1.04
2022-01-01,26,2,193,1.04
2022-01-01,28,1,193,0.52
2022-01-01,29,1,193,0.52
2022-01-01,30,3,193,1.55
2022-01-01,31,2,193,1.04
2022-01-01,32,2,193,1.04
2022-01-01,33,2,193,1.04
2022-01-01,34,1,193,0.52
2022-01-01,35,1,193,0.52
2022-02-01,0,173,173,100
2022-02-01,2,1,173,0.58
2022-02-01,3,2,173,1.16
2022-02-01,4,2,173,1.16
2022-02-01,5,1,173,0.58
2022-02-01,8,1,173,0.58
2022-02-01,9,1,173,0.58
2022-02-01,10,1,173,0.58
2022-02-01,12,1,173,0.58
2022-02-01,15,1,173,0.58
2022-02-01,16,1,173,0.58
2022-02-01,17,1,173,0.58
2022-02-01,20,1,173,0.58
2022-02-01,21,2,173,1.16
2022-02-01,23,2,173,1.16
2022-02-01,24,2,173,1.16
2022-02-01,27,1,173,0.58
2022-02-01,28,2,173,1.16
2022-02-01,30,1,173,0.58
2022-02-01,31,2,173,1.16
2022-02-01,32,1,173,0.58
2022-02-01,33,1,173,0.58
2022-03-01,0,207,207,100
2022-03-01,4,1,207,0.48
2022-03-01,6,1,207,0.48
2022-03-01,7,1,207,0.48
2022-03-01,8,4,207,1.93
2022-03-01,9,2,207,0.97
2022-03-01,10,1,207,0.48
2022-03-01,17,2,207,0.97
2022-03-01,20,1,207,0.48
2022-03-01,22,2,207,0.97
2022-03-01,23,1,207,0.48
2022-03-01,25,2,207,0.97
2022-03-01,26,2,207,0.97
2022-03-01,27,3,207,1.45
2022-03-01,28,1,207,0.48
2022-03-01,29,1,207,0.48
2022-03-01,31,1,207,0.48
2022-04-01,0,217,217,100
2022-04-01,1,1,217,0.46
2022-04-01,3,1,217,0.46
2022-04-01,4,1,217,0.46
2022-04-01,6,1,217,0.46
2022-04-01,7,1,217,0.46
2022-04-01,8,2,217,0.92
2022-04-01,9,3,217,1.38
2022-04-01,10,2,217,0.92
2022-04-01,13,2,217,0.92
2022-04-01,18,2,217,0.92
2022-04-01,19,3,217,1.38
2022-04-01,20,1,217,0.46
2022-04-01,22,2,217,0.92
2022-04-01,23,1,217,0.46
2022-04-01,24,2,217,0.92
2022-04-01,25,2,217,0.92
2022-04-01,26,1,217,0.46
2022-04-01,29,2,217,0.92
2022-04-01,32,1,217,0.46
2022-05-01,0,211,211,100
2022-05-01,1,3,211,1.42
2022-05-01,2,1,211,0.47
2022-05-01,4,1,211,0.47
2022-05-01,5,1,211,0.47
2022-05-01,6,2,211,0.95
2022-05-01,7,1,211,0.47
2022-05-01,8,2,211,0.95
2022-05-01,9,1,211,0.47
2022-05-01,11,2,211,0.95
2022-05-01,12,1,211,0.47
2022-05-01,18,1,211,0.47
2022-05-01,19,2,211,0.95
2022-05-01,20,2,211,0.95
2022-05-01,21,1,211,0.47
2022-05-01,22,1,211,0.47
2022-05-01,23,1,211,0.47
2022-05-01,25,2,211,0.95
2022-05-01,26,2,211,0.95
2022-05-01,27,1,211,0.47
2022-05-01,28,1,211,0.47
2022-06-01,0,194,194,100
2022-06-01,1,2,194,1.03
2022-06-01,2,1,194,0.52
2022-06-01,4,1,194,0.52
2022-06-01,8,2,194,1.03
2022-06-01,9,2,194,1.03
2022-06-01,14,1,194,0.52
2022-06-01,15,1,194,0.52
2022-06-01,16,1,194,0.52
2022-06-01,17,2,194,1.03
2022-06-01,20,3,194,1.55
2022-06-01,21,2,194,1.03
2022-06-01,22,1,194,0.52
2022-06-01,24,1,194,0.52
2022-06-01,25,1,194,0.52
2022-06-01,27,1,194,0.52
2022-06-01,29,2,194,1.03
2022-07-01,0,205,205,100
2022-07-01,1,1,205,0.49
2022-07-01,4,1,205,0.49
2022-07-01,5,1,205,0.49
2022-07-01,6,2,205,0.98
2022-07-01,8,1,205,0.49
2022-07-01,10,1,205,0.49
2022-07-01,11,1,205,0.49
2022-07-01,17,1,205,0.49
2022-07-01,18,4,205,1.95
2022-07-01,19,1,205,0.49
2022-07-01,21,1,205,0.49
2022-07-01,22,2,205,0.98
2022-07-01,24,1,205,0.49
2022-07-01,25,1,205,0.49
2022-07-01,27,3,205,1.46
2022-07-01,28,1,205,0.49
2022-07-01,29,1,205,0.49
2022-08-01,0,226,226,100
2022-08-01,1,1,226,0.44
2022-08-01,4,3,226,1.33
2022-08-01,5,2,226,0.88
2022-08-01,6,2,226,0.88
2022-08-01,7,1,226,0.44
2022-08-01,8,1,226,0.44
2022-08-01,9,1,226,0.44
2022-08-01,11,2,226,0.88
2022-08-01,13,1,226,0.44
2022-08-01,14,1,226,0.44
2022-08-01,16,1,226,0.44
2022-08-01,17,2,226,0.88
2022-08-01,18,1,226,0.44
2022-08-01,19,1,226,0.44
2022-08-01,20,1,226,0.44
2022-08-01,22,1,226,0.44
2022-08-01,23,3,226,1.33
2022-08-01,27,3,226,1.33
2022-08-01,28,4,226,1.77
2022-09-01,0,234,234,100
2022-09-01,2,1,234,0.43
2022-09-01,3,3,234,1.28
2022-09-01,7,1,234,0.43
2022-09-01,9,1,234,0.43
2022-09-01,10,1,234,0.43
2022-09-01,11,2,234,0.85
2022-09-01,13,1,234,0.43
2022-09-01,16,1,234,0.43
2022-09-01,18,1,234,0.43
2022-09-01,19,2,234,0.85
2022-09-01,20,1,234,0.43
2022-09-01,21,1,234,0.43
2022-09-01,22,1,234,0.43
2022-09-01,23,3,234,1.28
2022-09-01,25,2,234,0.85
2022-09-01,26,2,234,0.85
2022-09-01,27,1,234,0.43
2022-10-01,0,240,240,100
2022-10-01,1,1,240,0.42
2022-10-01,4,2,240,0.83
2022-10-01,5,1,240,0.42
2022-10-01,6,1,240,0.42
2022-10-01,8,1,240,0.42
2022-10-01,9,1,240,0.42
2022-10-01,12,2,240,0.83
2022-10-01,13,3,240,1.25
2022-10-01,15,1,240,0.42
2022-10-01,18,3,240,1.25
2022-10-01,21,1,240,0.42
2022-10-01,23,1,240,0.42
2022-10-01,24,1,240,0.42
2022-10-01,25,1,240,0.42
2022-11-01,0,252,252,100
2022-11-01,1,3,252,1.19
2022-11-01,2,1,252,0.4
2022-11-01,4,1,252,0.4
2022-11-01,7,3,252,1.19
2022-11-01,8,1,252,0.4
2022-11-01,9,2,252,0.79
2022-11-01,11,1,252,0.4
2022-11-01,12,1,252,0.4
2022-11-01,13,3,252,1.19
2022-11-01,14,1,252,0.4
2022-11-01,15,1,252,0.4
2022-11-01,16,2,252,0.79
2022-11-01,17,1,252,0.4
2022-11-01,18,1,252,0.4
2022-11-01,19,1,252,0.4
2022-11-01,20,1,252,0.4
2022-11-01,21,3,252,1.19
2022-11-01,23,1,252,0.4
2022-11-01,24,1,252,0.4
2022-12-01,0,272,272,100
2022-12-01,3,2,272,0.74
2022-12-01,5,1,272,0.37
2022-12-01,6,1,272,0.37
2022-12-01,8,2,272,0.74
2022-12-01,10,1,272,0.37
2022-12-01,11,3,272,1.1
2022-12-01,12,2,272,0.74
2022-12-01,17,1,272,0.37
2022-12-01,18,2,272,0.74
2022-12-01,22,3,272,1.1
2022-12-01,24,2,272,0.74
2023-01-01,0,281,281,100
2023-01-01,1,1,281,0.36
2023-01-01,2,2,281,0.71
2023-01-01,4,1,281,0.36
2023-01-01,6,1,281,0.36
2023-01-01,9,2,281,0.71
2023-01-01,10,1,281,0.36
2023-01-01,11,1,281,0.36
2023-01-01,12,1,281,0.36
2023-01-01,13,2,281,0.71
2023-01-01,14,1,281,0.36
2023-01-01,15,1,281,0.36
2023-01-01,16,3,281,1.07
2023-01-01,17,2,281,0.71
2023-01-01,18,2,281,0.71
2023-01-01,19,3,281,1.07
2023-01-01,20,1,281,0.36
2023-01-01,21,3,281,1.07
2023-01-01,22,2,281,0.71
2023-02-01,0,259,259,100
2023-02-01,1,1,259,0.39
2023-02-01,2,1,259,0.39
2023-02-01,3,2,259,0.77
2023-02-01,5,1,259,0.39
2023-02-01,6,3,259,1.16
2023-02-01,7,3,259,1.16
2023-02-01,8,2,259,0.77
2023-02-01,10,2,259,0.77
2023-02-01,12,2,259,0.77
2023-02-01,16,1,259,0.39
2023-02-01,17,1,259,0.39
2023-02-01,18,2,259,0.77
2023-02-01,19,2,259,0.77
2023-02-01,20,2,259,0.77
2023-02-01,21,1,259,0.39
2023-02-01,22,2,259,0.77
2023-03-01,0,294,294,100
2023-03-01,1,1,294,0.34
2023-03-01,2,2,294,0.68
2023-03-01,3,3,294,1.02
2023-03-01,4,3,294,1.02
2023-03-01,5,2,294,0.68
2023-03-01,6,4,294,1.36
2023-03-01,7,2,294,0.68
2023-03-01,10,1,294,0.34
2023-03-01,11,2,294,0.68
2023-03-01,12,2,294,0.68
2023-03-01,13,4,294,1.36
2023-03-01,14,3,294,1.02
2023-03-01,16,2,294,0.68
2023-03-01,17,1,294,0.34
2023-03-01,20,2,294,0.68
2023-03-01,21,2,294,0.68
2023-04-01,0,271,271,100
2023-04-01,1,3,271,1.11
2023-04-01,2,1,271,0.37
2023-04-01,3,1,271,0.37
2023-04-01,5,2,271,0.74
2023-04-01,7,2,271,0.74
2023-04-01,8,4,271,1.48
2023-04-01,9,2,271,0.74
2023-04-01,10,1,271,0.37
2023-04-01,11,1,271,0.37
2023-04-01,13,2,271,0.74
2023-04-01,15,2,271,0.74
2023-04-01,16,1,271,0.37
2023-04-01,17,1,271,0.37
2023-04-01,18,1,271,0.37
2023-05-01,0,293,293,100
2023-05-01,1,2,293,0.68
2023-05-01,2,1,293,0.34
2023-05-01,4,4,293,1.37
2023-05-01,6,2,293,0.68
2023-05-01,7,1,293,0.34
2023-05-01,8,1,293,0.34
2023-05-01,9,1,293,0.34
2023-05-01,10,2,293,0.68
2023-05-01,11,4,293,1.37
2023-05-01,12,2,293,0.68
2023-05-01,13,1,293,0.34
2023-05-01,14,2,293,0.68
2023-05-01,15,1,293,0.34
2023-05-01,17,1,293,0.34
2023-05-01,18,2,293,0.68
2023-05-01,19,2,293,0.68
2023-06-01,0,306,306,100
2023-06-01,1,2,306,0.65
2023-06-01,3,2,306,0.65
2023-06-01,4,1,306,0.33
2023-06-01,5,3,306,0.98
2023-06-01,6,1,306,0.33
2023-06-01,8,4,306,1.31
2023-06-01,9,1,306,0.33
2023-06-01,10,3,306,0.98
2023-06-01,11,3,306,0.98
2023-06-01,12,1,306,0.33
2023-06-01,13,1,306,0.33
2023-06-01,14,2,306,0.65
2023-06-01,15,1,306,0.33
2023-06-01,18,1,306,0.33
2023-07-01,0,319,319,100
2023-07-01,1,2,319,0.63
2023-07-01,3,1,319,0.31
2023-07-01,4,1,319,0.31
2023-07-01,5,2,319,0.63
2023-07-01,10,3,319,0.94
2023-07-01,11,1,319,0.31
2023-07-01,12,2,319,0.63
2023-07-01,13,4,319,1.25
2023-07-01,14,3,319,0.94
2023-07-01,15,5,319,1.57
2023-07-01,16,2,319,0.63
2023-07-01,17,1,319,0.31
2023-08-01,0,308,308,100
2023-08-01,1,3,308,0.97
2023-08-01,2,2,308,0.65
2023-08-01,3,2,308,0.65
2023-08-01,4,2,308,0.65
2023-08-01,5,2,308,0.65
2023-08-01,6,2,308,0.65
2023-08-01,7,1,308,0.32
2023-08-01,9,2,308,0.65
2023-08-01,10,2,308,0.65
2023-08-01,11,1,308,0.32
2023-08-01,12,1,308,0.32
2023-08-01,13,1,308,0.32
2023-08-01,14,1,308,0.32
2023-08-01,16,2,308,0.65
2023-09-01,0,334,334,100
2023-09-01,1,3,334,0.9
2023-09-01,2,1,334,0.3
2023-09-01,3,2,334,0.6
2023-09-01,4,2,334,0.6
2023-09-01,5,3,334,0.9
2023-09-01,6,3,334,0.9
2023-09-01,7,2,334,0.6
2023-09-01,8,2,334,0.6
2023-09-01,12,2,334,0.6
2023-09-01,13,1,334,0.3
2023-09-01,14,4,334,1.2
2023-09-01,15,1,334,0.3
2023-10-01,0,371,371,100
