cohort_month,period_number,period_revenue,baseline_revenue,revenue_retention_pct
2020-05-01,1,278.89,5091.34,5.48
2020-05-01,3,345.99,5091.34,6.8
2020-05-01,8,69.5,5091.34,1.37
2020-05-01,9,41.99,5091.34,0.82
2020-05-01,21,24.99,5091.34,0.49
2020-05-01,22,126.9,5091.34,2.49
2020-05-01,26,10.94,5091.34,0.21
2020-05-01,29,24,5091.34,0.47
2020-05-01,32,165,5091.34,3.24
2020-05-01,39,38.99,5091.34,0.77
2020-05-01,45,7.98,5091.34,0.16
2020-05-01,54,21.95,5091.34,0.43
2020-06-01,0,6666.71,6666.71,100
2020-06-01,4,18.99,6666.71,0.28
2020-06-01,8,279.99,6666.71,4.2
2020-06-01,15,44,6666.71,0.66
2020-06-01,22,14.99,6666.71,0.22
2020-06-01,32,27.95,6666.71,0.42
2020-06-01,34,201.2,6666.71,3.02
2020-06-01,54,29.99,6666.71,0.45
2020-07-01,0,6467.95,6467.95,100
2020-07-01,1,237.84,6467.95,3.68
2020-07-01,12,24.5,6467.95,0.38
2020-07-01,26,12.95,6467.95,0.2
2020-07-01,30,62.97,6467.95,0.97
2020-07-01,34,276.01,6467.95,4.27
2020-07-01,37,114.98,6467.95,1.78
2020-07-01,45,22.99,6467.95,0.36
2020-07-01,46,59,6467.95,0.91
2020-07-01,48,217,6467.95,3.36
2020-08-01,0,6296.58,6296.58,100
2020-08-01,1,718.94,6296.58,11.42
2020-08-01,5,74.95,6296.58,1.19
2020-08-01,6,52.99,6296.58,0.84
2020-08-01,8,56,6296.58,0.89
2020-08-01,9,69.96,6296.58,1.11
2020-08-01,15,60.48,6296.58,0.96
2020-08-01,17,175.95,6296.58,2.79
2020-08-01,19,38,6296.58,0.6
2020-08-01,23,34,6296.58,0.54
2020-08-01,26,147.99,6296.58,2.35
2020-08-01,27,25,6296.58,0.4
2020-08-01,30,128,6296.58,2.03
2020-08-01,44,109.99,6296.58,1.75
2020-08-01,47,39.5,6296.58,0.63
2020-09-01,0,7372.09,7372.09,100
2020-09-01,1,50.94,7372.09,0.69
2020-09-01,4,209.5,7372.09,2.84
2020-09-01,8,66.6,7372.09,0.9
2020-09-01,14,155.41,7372.09,2.11
2020-09-01,16,19.58,7372.09,0.27
2020-09-01,26,41.99,7372.09,0.57
2020-09-01,29,59.99,7372.09,0.81
2020-09-01,31,44,7372.09,0.6
2020-09-01,32,107.98,7372.09,1.46
2020-09-01,36,49.94,7372.09,0.68
2020-09-01,41,6.36,7372.09,0.09
2020-09-01,49,120.98,7372.09,1.64
2020-09-01,50,22.97,7372.09,0.31
2020-09-01,51,619.95,7372.09,8.41
2020-10-01,0,7659.47,7659.47,100
2020-10-01,7,9.5,7659.47,0.12
2020-10-01,9,45.97,7659.47,0.6
2020-10-01,16,99.99,7659.47,1.31
2020-10-01,26,61,7659.47,0.8
2020-10-01,27,245,7659.47,3.2
2020-10-01,28,212.08,7659.47,2.77
2020-10-01,29,82.5,7659.47,1.08
2020-10-01,31,97.14,7659.47,1.27
2020-10-01,32,31.95,7659.47,0.42
2020-10-01,36,214.95,7659.47,2.81
2020-10-01,37,129.99,7659.47,1.7
2020-10-01,41,180,7659.47,2.35
2020-11-01,0,7439.7,7439.7,100
2020-11-01,1,166.31,7439.7,2.24
2020-11-01,5,5.98,7439.7,0.08
2020-11-01,8,63.74,7439.7,0.86
2020-11-01,12,19,7439.7,0.26
2020-11-01,16,82,7439.7,1.1
2020-11-01,23,13.5,7439.7,0.18
2020-11-01,25,120.94,7439.7,1.63
2020-11-01,28,19.97,7439.7,0.27
2020-11-01,31,33.99,7439.7,0.46
2020-11-01,37,26,7439.7,0.35
2020-11-01,38,34.95,7439.7,0.47
2020-11-01,46,151.91,7439.7,2.04
2020-12-01,0,8359.19,8359.19,100
2020-12-01,1,564.46,8359.19,6.75
2020-12-01,4,26.98,8359.19,0.32
2020-12-01,7,39.99,8359.19,0.48
2020-12-01,11,44.5,8359.19,0.53
2020-12-01,14,335.89,8359.19,4.02
2020-12-01,18,14.75,8359.19,0.18
2020-12-01,20,25,8359.19,0.3
2020-12-01,25,271,8359.19,3.24
2020-12-01,26,186.95,8359.19,2.24
2020-12-01,31,25,8359.19,0.3
2020-12-01,34,198.99,8359.19,2.38
2020-12-01,36,67.88,8359.19,0.81
2020-12-01,40,14.99,8359.19,0.18
2020-12-01,43,160.32,8359.19,1.92
2020-12-01,45,82,8359.19,0.98
2020-12-01,46,55.89,8359.19,0.67
2020-12-01,47,532.62,8359.19,6.37
2021-01-01,0,10234.47,10234.47,100
2021-01-01,1,264.65,10234.47,2.59
2021-01-01,3,181.99,10234.47,1.78
2021-01-01,7,144,10234.47,1.41
2021-01-01,8,506.5,10234.47,4.95
2021-01-01,11,65,10234.47,0.64
2021-01-01,12,13.73,10234.47,0.13
2021-01-01,16,68,10234.47,0.66
2021-01-01,22,56,10234.47,0.55
2021-01-01,24,8.95,10234.47,0.09
2021-01-01,30,49.95,10234.47,0.49
2021-01-01,36,85,10234.47,0.83
2021-01-01,37,59.94,10234.47,0.59
2021-01-01,40,125.99,10234.47,1.23
2021-01-01,47,117.5,10234.47,1.15
2021-02-01,0,8995.83,8995.83,100
2021-02-01,1,421.86,8995.83,4.69
2021-02-01,2,54.98,8995.83,0.61
2021-02-01,6,61,8995.83,0.68
2021-02-01,8,152.99,8995.83,1.7
2021-02-01,10,21.99,8995.83,0.24
2021-02-01,11,78.4,8995.83,0.87
2021-02-01,27,109,8995.83,1.21
2021-02-01,29,106.8,8995.83,1.19
2021-02-01,37,45,8995.83,0.5
2021-02-01,38,58,8995.83,0.64
2021-02-01,39,28.9,8995.83,0.32
2021-03-01,0,10448.66,10448.66,100
2021-03-01,1,204.93,10448.66,1.96
2021-03-01,5,12.98,10448.66,0.12
2021-03-01,7,29.99,10448.66,0.29
2021-03-01,8,24,10448.66,0.23
2021-03-01,14,19.5,10448.66,0.19
2021-03-01,16,14.99,10448.66,0.14
2021-03-01,20,29.99,10448.66,0.29
2021-03-01,23,69,10448.66,0.66
2021-03-01,28,12.5,10448.66,0.12
2021-03-01,33,389.99,10448.66,3.73
2021-03-01,38,142.44,10448.66,1.36
2021-03-01,39,79.88,10448.66,0.76
2021-03-01,40,99.93,10448.66,0.96
2021-03-01,44,138.9,10448.66,1.33
2021-04-01,0,10332.35,10332.35,100
2021-04-01,1,387.6,10332.35,3.75
2021-04-01,2,42.99,10332.35,0.42
2021-04-01,3,267.99,10332.35,2.59
2021-04-01,7,33.33,10332.35,0.32
2021-04-01,14,42,10332.35,0.41
2021-04-01,15,145.79,10332.35,1.41
2021-04-01,16,36,10332.35,0.35
2021-04-01,24,89.99,10332.35,0.87
2021-04-01,25,65.18,10332.35,0.63
2021-04-01,26,16.99,10332.35,0.16
2021-04-01,27,68.61,10332.35,0.66
2021-04-01,28,154.5,10332.35,1.5
2021-04-01,29,31.99,10332.35,0.31
2021-04-01,32,237.99,10332.35,2.3
2021-04-01,33,413.08,10332.35,4
2021-04-01,38,30,10332.35,0.29
2021-04-01,39,94.14,10332.35,0.91
2021-04-01,42,117.51,10332.35,1.14
2021-04-01,43,11.99,10332.35,0.12
2021-05-01,0,11869.34,11869.34,100
2021-05-01,1,565.98,11869.34,4.77
2021-05-01,2,13.5,11869.34,0.11
2021-05-01,3,150,11869.34,1.26
2021-05-01,4,88.99,11869.34,0.75
2021-05-01,7,45.95,11869.34,0.39
2021-05-01,10,37.53,11869.34,0.32
2021-05-01,11,39.5,11869.34,0.33
2021-05-01,12,71.98,11869.34,0.61
2021-05-01,19,149.99,11869.34,1.26
2021-05-01,21,26.99,11869.34,0.23
2021-05-01,26,337.8,11869.34,2.85
2021-05-01,27,10.17,11869.34,0.09
2021-05-01,29,59,11869.34,0.5
2021-05-01,31,12,11869.34,0.1
2021-05-01,33,44,11869.34,0.37
2021-05-01,34,119.99,11869.34,1.01
2021-05-01,35,51.99,11869.34,0.44
2021-05-01,39,277.25,11869.34,2.34
2021-05-01,41,26,11869.34,0.22
2021-05-01,42,17.99,11869.34,0.15
2021-06-01,0,8971.14,8971.14,100
2021-06-01,1,397.78,8971.14,4.43
2021-06-01,2,139.99,8971.14,1.56
2021-06-01,3,204.84,8971.14,2.28
2021-06-01,6,47.99,8971.14,0.53
2021-06-01,8,9,8971.14,0.1
2021-06-01,9,115.94,8971.14,1.29
2021-06-01,12,39.99,8971.14,0.45
2021-06-01,13,91.06,8971.14,1.02
2021-06-01,16,340.28,8971.14,3.79
2021-06-01,19,19.99,8971.14,0.22
2021-06-01,21,465,8971.14,5.18
2021-06-01,24,68.88,8971.14,0.77
2021-06-01,25,132.22,8971.14,1.47
2021-06-01,27,102.94,8971.14,1.15
2021-06-01,28,141.94,8971.14,1.58
2021-06-01,32,37.95,8971.14,0.42
2021-06-01,34,69,8971.14,0.77
2021-06-01,35,266.18,8971.14,2.97
2021-06-01,38,17.99,8971.14,0.2
2021-06-01,39,10,8971.14,0.11
2021-07-01,0,10024.74,10024.74,100
2021-07-01,1,545.56,10024.74,5.44
2021-07-01,3,197,10024.74,1.97
2021-07-01,4,85.98,10024.74,0.86
2021-07-01,7,20.99,10024.74,0.21
2021-07-01,9,141.13,10024.74,1.41
2021-07-01,14,54.99,10024.74,0.55
2021-07-01,18,15.67,10024.74,0.16
2021-07-01,22,62,10024.74,0.62
2021-07-01,23,615.59,10024.74,6.14
2021-07-01,27,49,10024.74,0.49
2021-07-01,34,52.99,10024.74,0.53
2021-07-01,38,67.47,10024.74,0.67
2021-07-01,39,72,10024.74,0.72
2021-08-01,0,12013.87,12013.87,100
2021-08-01,1,912.4,12013.87,7.59
2021-08-01,2,57.94,12013.87,0.48
2021-08-01,5,154.69,12013.87,1.29
2021-08-01,6,15.99,12013.87,0.13
2021-08-01,9,113.36,12013.87,0.94
2021-08-01,10,117.95,12013.87,0.98
2021-08-01,12,329.63,12013.87,2.74
2021-08-01,13,296.98,12013.87,2.47
2021-08-01,16,78.75,12013.87,0.66
2021-08-01,20,60,12013.87,0.5
2021-08-01,21,85.99,12013.87,0.72
2021-08-01,22,19.36,12013.87,0.16
2021-08-01,25,31.98,12013.87,0.27
2021-08-01,26,225.93,12013.87,1.88
2021-08-01,29,17.32,12013.87,0.14
2021-08-01,30,114.78,12013.87,0.96
2021-08-01,31,24.89,12013.87,0.21
2021-08-01,35,46,12013.87,0.38
2021-08-01,36,145.56,12013.87,1.21
2021-08-01,37,467.44,12013.87,3.89
2021-08-01,39,236.44,12013.87,1.97
2021-09-01,0,15222.57,15222.57,100
2021-09-01,1,630.43,15222.57,4.14
2021-09-01,3,117.99,15222.57,0.78
2021-09-01,5,134.16,15222.57,0.88
2021-09-01,6,13,15222.57,0.09
2021-09-01,10,36.64,15222.57,0.24
2021-09-01,11,44.21,15222.57,0.29
2021-09-01,12,158,15222.57,1.04
2021-09-01,13,65,15222.57,0.43
2021-09-01,19,17.75,15222.57,0.12
2021-09-01,21,26,15222.57,0.17
2021-09-01,27,133.99,15222.57,0.88
2021-09-01,29,75.85,15222.57,0.5
2021-09-01,32,36.98,15222.57,0.24
2021-09-01,34,287,15222.57,1.89
2021-09-01,36,90.06,15222.57,0.59
2021-09-01,38,36.99,15222.57,0.24
2021-09-01,39,170.13,15222.57,1.12
2021-10-01,0,13609.04,13609.04,100
2021-10-01,1,810.53,13609.04,5.96
2021-10-01,3,23.23,13609.04,0.17
2021-10-01,5,109,13609.04,0.8
2021-10-01,6,173.49,13609.04,1.27
2021-10-01,8,175,13609.04,1.29
2021-10-01,12,51.99,13609.04,0.38
2021-10-01,13,67.04,13609.04,0.49
2021-10-01,14,216.6,13609.04,1.59
2021-10-01,16,319.99,13609.04,2.35
2021-10-01,18,36.95,13609.04,0.27
2021-10-01,20,60.8,13609.04,0.45
2021-10-01,24,216.94,13609.04,1.59
2021-10-01,31,84.47,13609.04,0.62
2021-10-01,32,42.99,13609.04,0.32
2021-10-01,33,79.49,13609.04,0.58
2021-10-01,34,15,13609.04,0.11
2021-10-01,36,189,13609.04,1.39
2021-10-01,37,36.99,13609.04,0.27
2021-11-01,0,14212.53,14212.53,100
2021-11-01,1,342.7,14212.53,2.41
2021-11-01,3,68.99,14212.53,0.49
2021-11-01,4,11.37,14212.53,0.08
2021-11-01,5,240.95,14212.53,1.7
2021-11-01,6,553.58,14212.53,3.9
2021-11-01,12,39.48,14212.53,0.28
2021-11-01,14,42.5,14212.53,0.3
2021-11-01,15,79,14212.53,0.56
2021-11-01,16,112.94,14212.53,0.79
2021-11-01,17,158.45,14212.53,1.11
2021-11-01,21,147.94,14212.53,1.04
2021-11-01,22,58.49,14212.53,0.41
2021-11-01,25,16.99,14212.53,0.12
2021-11-01,27,9.98,14212.53,0.07
2021-11-01,28,98,14212.53,0.69
2021-11-01,35,45,14212.53,0.32
2021-11-01,36,7,14212.53,0.05
2021-12-01,0,15055.11,15055.11,100
2021-12-01,1,162.21,15055.11,1.08
2021-12-01,2,180.03,15055.11,1.2
2021-12-01,3,24,15055.11,0.16
2021-12-01,7,28.99,15055.11,0.19
2021-12-01,10,9.5,15055.11,0.06
2021-12-01,12,193.98,15055.11,1.29
2021-12-01,13,48,15055.11,0.32
2021-12-01,17,107.3,15055.11,0.71
2021-12-01,18,182.95,15055.11,1.22
2021-12-01,21,25.48,15055.11,0.17
2021-12-01,22,52.77,15055.11,0.35
2021-12-01,28,357.97,15055.11,2.38
2021-12-01,30,44.49,15055.11,0.3
2021-12-01,32,36,15055.11,0.24
2021-12-01,33,80.98,15055.11,0.54
2022-01-01,0,14805.21,14805.21,100
2022-01-01,1,697.11,14805.21,4.71
2022-01-01,3,35.42,14805.21,0.24
2022-01-01,4,134.99,14805.21,0.91
2022-01-01,7,74.95,14805.21,0.51
2022-01-01,8,44.99,14805.21,0.3
2022-01-01,10,30.92,14805.21,0.21
2022-01-01,11,37.96,14805.21,0.26
2022-01-01,12,296.7,14805.21,2
2022-01-01,19,172.07,14805.21,1.16
2022-01-01,20,108,14805.21,0.73
2022-01-01,21,66,14805.21,0.45
2022-01-01,24,9.19,14805.21,0.06
2022-01-01,25,41.99,14805.21,0.28
2022-01-01,28,52,14805.21,0.35
2022-01-01,30,42.16,14805.21,0.28
2022-01-01,31,36.74,14805.21,0.25
2022-01-01,32,12.99,14805.21,0.09
2022-01-01,35,174.2,14805.21,1.18
2022-02-01,0,14737.05,14737.05,100
2022-02-01,1,402.77,14737.05,2.73
2022-02-01,2,65,14737.05,0.44
2022-02-01,4,46,14737.05,0.31
2022-02-01,6,103.47,14737.05,0.7
2022-02-01,7,44.99,14737.05,0.31
2022-02-01,14,55.38,14737.05,0.38
2022-02-01,18,246.08,14737.05,1.67
2022-02-01,19,40.99,14737.05,0.28
2022-02-01,21,18.75,14737.05,0.13
2022-02-01,23,228,14737.05,1.55
2022-02-01,27,27,14737.05,0.18
2022-02-01,28,176.35,14737.05,1.2
2022-02-01,29,104.95,14737.05,0.71
2022-02-01,30,269,14737.05,1.83
2022-02-01,31,270.87,14737.05,1.84
2022-02-01,33,230.21,14737.05,1.56
2022-02-01,34,149,14737.05,1.01
2022-03-01,0,18941.92,18941.92,100
2022-03-01,1,565.37,18941.92,2.98
2022-03-01,3,39.5,18941.92,0.21
2022-03-01,4,127.95,18941.92,0.68
2022-03-01,11,501.45,18941.92,2.65
2022-03-01,12,295.29,18941.92,1.56
2022-03-01,13,24.99,18941.92,0.13
2022-03-01,14,59.95,18941.92,0.32
2022-03-01,15,85.4,18941.92,0.45
2022-03-01,16,35,18941.92,0.18
2022-03-01,18,19.99,18941.92,0.11
2022-03-01,19,10,18941.92,0.05
2022-03-01,20,59.94,18941.92,0.32
2022-03-01,27,287.99,18941.92,1.52
2022-03-01,28,12.99,18941.92,0.07
2022-03-01,30,79.99,18941.92,0.42
2022-04-01,0,17671.48,17671.48,100
2022-04-01,1,798.68,17671.48,4.52
2022-04-01,2,14.99,17671.48,0.08
2022-04-01,3,115.88,17671.48,0.66
2022-04-01,5,58.99,17671.48,0.33
2022-04-01,6,84.95,17671.48,0.48
2022-04-01,7,28.95,17671.48,0.16
2022-04-01,8,123.95,17671.48,0.7
2022-04-01,9,24,17671.48,0.14
2022-04-01,10,24,17671.48,0.14
2022-04-01,11,30,17671.48,0.17
2022-04-01,12,106.62,17671.48,0.6
2022-04-01,14,22.99,17671.48,0.13
2022-04-01,17,66.5,17671.48,0.38
2022-04-01,18,109.5,17671.48,0.62
2022-04-01,23,25,17671.48,0.14
2022-04-01,25,460.25,17671.48,2.6
2022-04-01,26,69.95,17671.48,0.4
2022-04-01,27,16,17671.48,0.09
2022-04-01,28,78.98,17671.48,0.45
2022-04-01,29,213.99,17671.48,1.21
2022-05-01,0,18252.45,18252.45,100
2022-05-01,1,319.06,18252.45,1.75
2022-05-01,3,433.89,18252.45,2.38
2022-05-01,4,21.99,18252.45,0.12
2022-05-01,5,159.99,18252.45,0.88
2022-05-01,6,269,18252.45,1.47
2022-05-01,7,98,18252.45,0.54
2022-05-01,9,75,18252.45,0.41
2022-05-01,10,89.99,18252.45,0.49
2022-05-01,11,89.45,18252.45,0.49
2022-05-01,12,41.99,18252.45,0.23
2022-05-01,16,189,18252.45,1.04
2022-05-01,18,219.1,18252.45,1.2
2022-05-01,19,424.43,18252.45,2.33
2022-05-01,22,18,18252.45,0.1
2022-05-01,23,82.99,18252.45,0.45
2022-05-01,25,43.98,18252.45,0.24
2022-05-01,27,171.39,18252.45,0.94
2022-05-01,28,175.98,18252.45,0.96
2022-05-01,29,78,18252.45,0.43
2022-05-01,31,288.48,18252.45,1.58
2022-05-01,32,134.49,18252.45,0.74
2022-06-01,0,14171.81,14171.81,100
2022-06-01,1,277.57,14171.81,1.96
2022-06-01,2,104.3,14171.81,0.74
2022-06-01,3,295.77,14171.81,2.09
2022-06-01,5,383.49,14171.81,2.71
2022-06-01,8,122.95,14171.81,0.87
2022-06-01,9,96,14171.81,0.68
2022-06-01,11,550,14171.81,3.88
2022-06-01,12,215,14171.81,1.52
2022-06-01,13,25.6,14171.81,0.18
2022-06-01,14,222.5,14171.81,1.57
2022-06-01,16,99,14171.81,0.7
2022-06-01,17,166.51,14171.81,1.17
2022-06-01,20,141.99,14171.81,1
2022-06-01,23,31,14171.81,0.22
2022-06-01,24,286.47,14171.81,2.02
2022-06-01,26,37.5,14171.81,0.26
2022-06-01,28,149.95,14171.81,1.06
2022-07-01,0,18431.86,18431.86,100
2022-07-01,1,1138.9,18431.86,6.18
2022-07-01,3,101.05,18431.86,0.55
2022-07-01,4,68.94,18431.86,0.37
2022-07-01,5,130.98,18431.86,0.71
2022-07-01,6,50.52,18431.86,0.27
2022-07-01,8,75,18431.86,0.41
2022-07-01,9,124.84,18431.86,0.68
2022-07-01,10,35.57,18431.86,0.19
2022-07-01,12,39.9,18431.86,0.22
2022-07-01,14,460.87,18431.86,2.5
2022-07-01,15,187.44,18431.86,1.02
2022-07-01,17,158.92,18431.86,0.86
2022-07-01,19,209,18431.86,1.13
2022-07-01,20,542.99,18431.86,2.95
2022-07-01,21,102.58,18431.86,0.56
2022-07-01,22,154,18431.86,0.84
2022-07-01,23,158.49,18431.86,0.86
2022-07-01,24,14.5,18431.86,0.08
2022-07-01,28,92.25,18431.86,0.5
2022-07-01,29,78,18431.86,0.42
2022-08-01,0,18575.85,18575.85,100
2022-08-01,1,548.59,18575.85,2.95
2022-08-01,3,17.84,18575.85,0.1
2022-08-01,5,124,18575.85,0.67
2022-08-01,6,119,18575.85,0.64
2022-08-01,8,428.94,18575.85,2.31
2022-08-01,12,47.99,18575.85,0.26
2022-08-01,14,159.95,18575.85,0.86
2022-08-01,17,83.36,18575.85,0.45
2022-08-01,18,325,18575.85,1.75
2022-08-01,19,50,18575.85,0.27
2022-08-01,20,123.95,18575.85,0.67
2022-08-01,21,255.84,18575.85,1.38
2022-08-01,22,180.85,18575.85,0.97
2022-08-01,24,26.98,18575.85,0.15
2022-08-01,26,130.97,18575.85,0.71
2022-08-01,27,185.52,18575.85,1
2022-08-01,28,29,18575.85,0.16
2022-09-01,0,22836.43,22836.43,100
2022-09-01,1,644.07,22836.43,2.82
2022-09-01,4,71.9,22836.43,0.31
2022-09-01,5,134.98,22836.43,0.59
2022-09-01,7,268.99,22836.43,1.18
2022-09-01,8,227.41,22836.43,1
2022-09-01,9,214.5,22836.43,0.94
2022-09-01,10,298.49,22836.43,1.31
2022-09-01,12,16.08,22836.43,0.07
2022-09-01,14,20,22836.43,0.09
2022-09-01,15,36,22836.43,0.16
2022-09-01,16,170.09,22836.43,0.74
2022-09-01,17,160.85,22836.43,0.7
2022-09-01,18,34.99,22836.43,0.15
2022-09-01,20,18.99,22836.43,0.08
2022-09-01,23,208.49,22836.43,0.91
2022-09-01,24,192.75,22836.43,0.84
2022-09-01,25,212.74,22836.43,0.93
2022-09-01,26,192.7,22836.43,0.84
2022-10-01,0,20051.41,20051.41,100
2022-10-01,1,1463.39,20051.41,7.3
2022-10-01,2,359.13,20051.41,1.79
2022-10-01,3,71.95,20051.41,0.36
2022-10-01,5,233.99,20051.41,1.17
2022-10-01,9,71.95,20051.41,0.36
2022-10-01,10,144.95,20051.41,0.72
2022-10-01,11,78,20051.41,0.39
2022-10-01,13,49.9,20051.41,0.25
2022-10-01,15,21.5,20051.41,0.11
2022-10-01,16,289.89,20051.41,1.45
2022-10-01,18,68.95,20051.41,0.34
2022-10-01,21,72.5,20051.41,0.36
2022-10-01,22,54.99,20051.41,0.27
2022-10-01,25,39.71,20051.41,0.2
2022-10-01,26,36.95,20051.41,0.18
2022-10-01,27,50,20051.41,0.25
2022-11-01,0,20545.25,20545.25,100
2022-11-01,1,552.8,20545.25,2.69
2022-11-01,2,173.2,20545.25,0.84
2022-11-01,4,221.96,20545.25,1.08
2022-11-01,6,35.41,20545.25,0.17
2022-11-01,8,180.45,20545.25,0.88
2022-11-01,9,166.93,20545.25,0.81
2022-11-01,10,13.5,20545.25,0.07
2022-11-01,11,394.95,20545.25,1.92
2022-11-01,12,19.99,20545.25,0.1
2022-11-01,13,11.99,20545.25,0.06
2022-11-01,15,40,20545.25,0.19
2022-11-01,16,109.89,20545.25,0.53
2022-11-01,18,55.5,20545.25,0.27
2022-11-01,19,421.83,20545.25,2.05
2022-11-01,21,481.9,20545.25,2.35
2022-11-01,22,23.42,20545.25,0.11
2022-11-01,23,288.42,20545.25,1.4
2022-11-01,25,219.5,20545.25,1.07
2022-12-01,0,24389.77,24389.77,100
2022-12-01,1,417.76,24389.77,1.71
2022-12-01,2,293.84,24389.77,1.2
2022-12-01,3,28.99,24389.77,0.12
2022-12-01,4,66,24389.77,0.27
2022-12-01,6,33,24389.77,0.14
