soc_code,occupation_title,employment_2024,employment_2034,employment_change_numeric,employment_change_percent,annual_openings_avg,percent_self_employed,typical_education,work_experience,typical_training,annual_median,annual_mean,annual_pct10,annual_pct25,annual_pct75,annual_pct90,hourly_median,hourly_mean,hourly_pct10,hourly_pct25,hourly_pct75,hourly_pct90,total_employment_oews,oews_occupation_title
11-9039,"Education administrators, all other",60.2,61.7,1.5,2.5,4.1,3.5,Bachelor's degree,Less than 5 years,,89040.0,99460.0,49490.0,65180.0,121720.0,158050.0,42.81,47.82,23.8,31.34,58.52,75.98,53330.0,"Education Administrators, All Other"
11-9041,Architectural and engineering managers,212.5,220.5,8.0,3.8,14.5,0.2,Bachelor's degree,5 years or more,,167740.0,175710.0,111450.0,134930.0,207210.0,,80.64,84.48,53.58,64.87,99.62,,210340.0,Architectural and Engineering Managers
11-9051,Food service managers,352.8,375.3,22.6,6.4,42.0,30.3,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,65310.0,72370.0,42380.0,53090.0,82300.0,105420.0,31.4,34.79,20.37,25.52,39.57,50.68,244230.0,Food Service Managers
11-9071,Gambling managers,5.1,5.2,0.1,1.2,0.6,7.7,High school diploma or equivalent,Less than 5 years,,85580.0,102480.0,51670.0,70190.0,120490.0,165220.0,41.14,49.27,24.84,33.74,57.93,79.43,4620.0,Gambling Managers
11-9072,"Entertainment and recreation managers, except gambling",43.2,46.5,3.3,7.7,5.5,8.6,Bachelor's degree,Less than 5 years,,77180.0,87060.0,45320.0,58380.0,101750.0,134680.0,37.11,41.86,21.79,28.07,48.92,64.75,36700.0,"Entertainment and Recreation Managers, Except Gambling"
11-9081,Lodging managers,52.0,53.8,1.8,3.4,5.4,19.1,High school diploma or equivalent,Less than 5 years,,68130.0,77460.0,39490.0,50040.0,90670.0,126990.0,32.76,37.24,18.99,24.06,43.59,61.05,41350.0,Lodging Managers
11-9111,Medical and health services managers,616.2,759.1,142.9,23.2,62.1,5.1,Bachelor's degree,Less than 5 years,,117960.0,137730.0,69680.0,88560.0,162420.0,219080.0,56.71,66.22,33.5,42.58,78.09,105.33,565840.0,Medical and Health Services Managers
11-9121,Natural sciences managers,104.3,108.2,3.9,3.7,8.5,,Bachelor's degree,5 years or more,,161180.0,173500.0,79830.0,114110.0,214820.0,,77.49,83.41,38.38,54.86,103.28,,100870.0,Natural Sciences Managers
11-9131,Postmasters and mail superintendents,13.1,12.7,-0.5,-3.5,0.9,,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,92730.0,93760.0,81430.0,87150.0,99590.0,109140.0,44.58,45.08,39.15,41.9,47.88,52.47,13810.0,Postmasters and Mail Superintendents
11-9141,"Property, real estate, and community association managers",466.1,483.1,17.0,3.6,39.0,34.0,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,66700.0,82720.0,39360.0,49530.0,95760.0,141040.0,32.07,39.77,18.92,23.81,46.04,67.81,296640.0,"Property, Real Estate, and Community Association Managers"
11-9151,Social and community service managers,219.8,233.9,14.1,6.4,18.6,5.6,Bachelor's degree,Less than 5 years,,78240.0,86100.0,50020.0,62420.0,100600.0,129820.0,37.61,41.39,24.05,30.01,48.36,62.41,195490.0,Social and Community Service Managers
11-9161,Emergency management directors,13.2,13.6,0.4,3.0,1.0,,Bachelor's degree,5 years or more,,86130.0,97700.0,51260.0,64470.0,119690.0,160420.0,41.41,46.97,24.64,30.99,57.54,77.12,12570.0,Emergency Management Directors
11-9171,Funeral home managers,32.1,33.4,1.3,4.1,2.6,56.1,Associate's degree,Less than 5 years,,76830.0,85650.0,45820.0,59780.0,99330.0,132470.0,36.94,41.18,22.03,28.74,47.75,63.69,13120.0,Funeral Home Managers
11-9179,"Personal service managers, all other",25.1,26.7,1.6,6.5,2.1,54.3,High school diploma or equivalent,Less than 5 years,,61340.0,70620.0,36880.0,47670.0,82890.0,111130.0,29.49,33.95,17.73,22.92,39.85,53.43,10490.0,"Personal Service Managers, All Other"
11-9199,"Managers, all other",1333.7,1393.5,59.8,4.5,106.7,48.6,Bachelor's degree,Less than 5 years,,136550.0,149890.0,68860.0,100010.0,179190.0,227590.0,65.65,72.06,33.11,48.08,86.15,109.42,630980.0,"Managers, All Other"
13-1011,"Agents and business managers of artists, performers, and athletes",21.4,23.2,1.9,8.7,2.2,26.1,Bachelor's degree,Less than 5 years,,96310.0,165600.0,48530.0,63100.0,168850.0,,46.3,79.62,23.33,30.34,81.18,,14220.0,"Agents and Business Managers of Artists, Performers, and Athletes"
13-1020,Buyers and purchasing agents,522.2,552.3,30.1,5.8,52.2,4.7,Bachelor's degree,,Moderate-term on-the-job training,75650.0,81720.0,46460.0,58670.0,99190.0,127520.0,36.37,39.29,22.34,28.21,47.69,61.31,486900.0,Buyers and Purchasing Agents
13-1031,"Claims adjusters, examiners, and investigators",356.1,337.9,-18.2,-5.1,21.1,2.2,High school diploma or equivalent,,Long-term on-the-job training,76790.0,78770.0,47810.0,60100.0,95990.0,112150.0,36.92,37.87,22.99,28.89,46.15,53.92,305020.0,"Claims Adjusters, Examiners, and Investigators"
13-1032,"Insurance appraisers, auto damage",9.2,8.4,-0.8,-8.2,0.5,2.7,Postsecondary nondegree award,,Moderate-term on-the-job training,76650.0,77050.0,56690.0,64280.0,86430.0,101800.0,36.85,37.04,27.26,30.9,41.55,48.94,7790.0,"Insurance Appraisers, Auto Damage"
13-1041,Compliance officers,418.0,430.3,12.3,3.0,33.3,0.4,Bachelor's degree,,Moderate-term on-the-job training,78420.0,84980.0,46230.0,59130.0,104800.0,130030.0,37.7,40.86,22.22,28.43,50.39,62.52,397770.0,Compliance Officers
13-1051,Cost estimators,221.4,212.1,-9.3,-4.2,16.9,0.3,Bachelor's degree,,Moderate-term on-the-job training,77070.0,83160.0,46330.0,59830.0,99630.0,128640.0,37.05,39.98,22.27,28.77,47.9,61.85,219530.0,Cost Estimators
13-1071,Human resources specialists,944.3,1002.7,58.4,6.2,81.8,0.5,Bachelor's degree,,,72910.0,79730.0,45440.0,55870.0,97270.0,126540.0,35.05,38.33,21.85,26.86,46.77,60.84,917460.0,Human Resources Specialists
13-1074,Farm labor contractors,3.9,4.2,0.2,6.0,0.3,,No formal educational credential,Less than 5 years,Short-term on-the-job training,48690.0,51910.0,29800.0,32860.0,58250.0,86860.0,23.41,24.96,14.33,15.8,28.0,41.76,410.0,Farm Labor Contractors
13-1075,Labor relations specialists,65.4,65.4,-0.1,-0.1,5.1,0.5,Bachelor's degree,Less than 5 years,,93500.0,97130.0,49880.0,67670.0,123090.0,153440.0,44.95,46.7,23.98,32.54,59.18,73.77,64590.0,Labor Relations Specialists
13-1081,Logisticians,241.0,281.3,40.3,16.7,26.4,0.3,Bachelor's degree,,,80880.0,87600.0,49260.0,62920.0,104330.0,132110.0,38.89,42.12,23.68,30.25,50.16,63.51,235640.0,Logisticians
13-1082,Project management specialists,1046.3,1105.0,58.7,5.6,78.2,1.8,Bachelor's degree,,,100750.0,108100.0,59830.0,76950.0,131660.0,165790.0,48.44,51.97,28.77,36.99,63.3,79.71,1006160.0,Project Management Specialists
13-1111,Management analysts,1075.1,1169.7,94.5,8.8,98.1,13.7,Bachelor's degree,Less than 5 years,,101190.0,114710.0,59720.0,76770.0,133140.0,174140.0,48.65,55.15,28.71,36.91,64.01,83.72,893900.0,Management Analysts
13-1121,"Meeting, convention, and event planners",155.8,163.3,7.5,4.8,15.5,5.1,Bachelor's degree,,,59440.0,65090.0,35990.0,45610.0,77150.0,101310.0,28.58,31.29,17.3,21.93,37.09,48.71,134670.0,"Meeting, Convention, and Event Planners"
13-1131,Fundraisers,134.4,140.2,5.8,4.3,10.2,1.9,Bachelor's degree,,,66490.0,73130.0,43200.0,52590.0,85280.0,106960.0,31.97,35.16,20.77,25.28,41.0,51.42,105930.0,Fundraisers
13-1141,"Compensation, benefits, and job analysis specialists",107.0,112.7,5.6,5.3,8.5,,Bachelor's degree,Less than 5 years,,77020.0,82920.0,48300.0,59700.0,99210.0,128830.0,37.03,39.86,23.22,28.7,47.7,61.94,102370.0,"Compensation, Benefits, and Job Analysis Specialists"
13-1151,Training and development specialists,452.3,501.0,48.7,10.8,43.9,0.5,Bachelor's degree,Less than 5 years,,65850.0,73760.0,37510.0,48900.0,91550.0,120190.0,31.66,35.46,18.03,23.51,44.02,57.78,436610.0,Training and Development Specialists
13-1161,Market research analysts and marketing specialists,941.7,1004.7,63.0,6.7,87.2,5.9,Bachelor's degree,,,76950.0,86480.0,42070.0,56220.0,104870.0,144610.0,37.0,41.58,20.23,27.03,50.42,69.52,861140.0,Market Research Analysts and Marketing Specialists
13-1199,"Business operations specialists, all other",1205.7,1242.0,36.3,3.0,108.2,1.4,Bachelor's degree,,,81270.0,92380.0,46230.0,60820.0,110030.0,147830.0,39.07,44.41,22.23,29.24,52.9,71.07,1128200.0,"Business Operations Specialists, All Other"
13-2011,Accountants and auditors,1579.8,1652.6,72.8,4.6,124.2,4.6,Bachelor's degree,,,81680.0,93520.0,52780.0,64660.0,106450.0,141420.0,39.27,44.96,25.38,31.09,51.18,67.99,1448290.0,Accountants and Auditors
13-2020,Property appraisers and assessors,77.3,80.2,2.9,3.8,6.3,21.1,Bachelor's degree,,Long-term on-the-job training,65420.0,77160.0,38480.0,49310.0,90810.0,122760.0,31.45,37.1,18.5,23.71,43.66,59.02,59070.0,Property Appraisers and Assessors
13-2031,Budget analysts,50.4,51.0,0.5,1.0,3.1,,Bachelor's degree,,,87930.0,93920.0,60510.0,72240.0,110380.0,134640.0,42.27,45.15,29.09,34.73,53.07,64.73,47170.0,Budget Analysts
13-2041,Credit analysts,67.8,64.8,-3.0,-4.4,3.7,,Bachelor's degree,,,80970.0,98040.0,52930.0,63850.0,113850.0,168840.0,38.93,47.14,25.45,30.7,54.74,81.17,67370.0,Credit Analysts
13-2051,Financial and investment analysts,368.5,389.6,21.1,5.7,25.1,5.0,Bachelor's degree,,,101350.0,116490.0,62410.0,78300.0,132050.0,180550.0,48.73,56.01,30.0,37.64,63.49,86.8,340580.0,Financial and Investment Analysts
13-2052,Personal financial advisors,326.0,357.2,31.2,9.6,24.1,15.8,Bachelor's degree,,Long-term on-the-job training,102140.0,160210.0,49990.0,70620.0,172540.0,,49.11,77.02,24.03,33.95,82.95,,270480.0,Personal Financial Advisors
13-2053,Insurance underwriters,127.0,123.7,-3.3,-2.6,8.2,,Bachelor's degree,,Moderate-term on-the-job training,79880.0,90830.0,51640.0,63070.0,104820.0,138020.0,38.4,43.67,24.83,30.32,50.4,66.36,107820.0,Insurance Underwriters
13-2054,Financial risk specialists,60.5,64.4,3.9,6.5,4.8,4.0,Bachelor's degree,,,106000.0,119930.0,62270.0,80280.0,145020.0,182310.0,50.96,57.66,29.94,38.6,69.72,87.65,56320.0,Financial Risk Specialists
13-2061,Financial examiners,65.1,77.2,12.1,18.5,5.7,0.4,Bachelor's degree,,Long-term on-the-job training,90400.0,103650.0,53420.0,66800.0,127210.0,171540.0,43.46,49.83,25.69,32.11,61.16,82.47,62830.0,Financial Examiners
13-2071,Credit counselors,31.8,32.9,1.1,3.3,2.2,1.4,Bachelor's degree,,Moderate-term on-the-job training,50480.0,55890.0,38980.0,45420.0,61760.0,77920.0,24.27,26.87,18.74,21.84,29.69,37.46,28110.0,Credit Counselors
13-2072,Loan officers,301.4,306.5,5.0,1.7,20.3,2.1,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,74180.0,86020.0,38490.0,50460.0,101920.0,145780.0,35.66,41.35,18.51,24.26,49.0,70.09,290530.0,Loan Officers
13-2081,"Tax examiners and collectors, and revenue agents",57.6,56.5,-1.0,-1.8,4.3,,Bachelor's degree,,Moderate-term on-the-job training,59740.0,67570.0,40020.0,46820.0,79330.0,110300.0,28.72,32.49,19.24,22.51,38.14,53.03,53530.0,"Tax Examiners and Collectors, and Revenue Agents"
13-2082,Tax preparers,90.6,94.7,4.1,4.5,10.4,15.5,High school diploma or equivalent,,Moderate-term on-the-job training,50560.0,58860.0,30500.0,37750.0,75590.0,96240.0,24.31,28.3,14.66,18.15,36.34,46.27,73570.0,Tax Preparers
13-2099,"Financial specialists, all other",137.1,141.4,4.3,3.1,10.3,2.9,Bachelor's degree,,,80190.0,93890.0,46420.0,60140.0,109120.0,151780.0,38.55,45.14,22.32,28.91,52.46,72.97,127450.0,"Financial Specialists, All Other"
15-1211,Computer systems analysts,521.1,566.5,45.5,8.7,34.2,2.2,Bachelor's degree,,,103790.0,111960.0,63160.0,80900.0,132360.0,166030.0,49.9,53.83,30.36,38.89,63.64,79.82,497800.0,Computer Systems Analysts
15-1212,Information security analysts,182.8,234.9,52.1,28.5,16.0,0.6,Bachelor's degree,Less than 5 years,,124910.0,127730.0,69660.0,92160.0,159600.0,186420.0,60.05,61.41,33.49,44.31,76.73,89.63,179430.0,Information Security Analysts
15-1221,Computer and information research scientists,40.3,48.3,7.9,19.7,3.2,0.9,Master's degree,,,140910.0,152310.0,80670.0,102710.0,181210.0,232120.0,67.74,73.23,38.78,49.38,87.12,111.6,38480.0,Computer and Information Research Scientists
15-1231,Computer network support specialists,152.7,155.5,2.8,1.8,9.6,2.0,Associate's degree,,Moderate-term on-the-job training,73340.0,79610.0,46010.0,56720.0,95710.0,124470.0,35.26,38.27,22.12,27.27,46.01,59.84,146450.0,Computer Network Support Specialists
15-1232,Computer user support specialists,729.5,702.5,-27.0,-3.7,40.8,2.0,"Some college, no degree",,Moderate-term on-the-job training,60340.0,64990.0,38780.0,47580.0,77010.0,98010.0,29.01,31.25,18.65,22.87,37.02,47.12,697210.0,Computer User Support Specialists
15-1241,Computer network architects,179.2,200.6,21.4,11.9,11.2,0.4,Bachelor's degree,5 years or more,,130390.0,135890.0,79520.0,102120.0,164440.0,198030.0,62.69,65.33,38.23,49.1,79.06,95.21,177010.0,Computer Network Architects
15-1242,Database administrators,78.0,77.5,-0.5,-0.7,3.8,1.2,Bachelor's degree,,,104620.0,107440.0,56820.0,76100.0,132850.0,160890.0,50.3,51.65,27.32,36.59,63.87,77.35,73180.0,Database Administrators
15-1243,Database architects,66.9,72.7,5.8,8.7,4.0,1.4,Bachelor's degree,Less than 5 years,,135980.0,142620.0,81630.0,107900.0,169480.0,209990.0,65.37,68.57,39.24,51.88,81.48,100.96,64770.0,Database Architects
15-1244,Network and computer systems administrators,331.5,317.7,-13.8,-4.2,14.3,0.3,Bachelor's degree,,,96800.0,101190.0,60320.0,75860.0,123390.0,150320.0,46.54,48.65,29.0,36.47,59.32,72.27,318570.0,Network and Computer Systems Administrators
15-1251,Computer programmers,121.2,113.9,-7.2,-6.0,5.5,6.2,Bachelor's degree,,,98670.0,103640.0,52190.0,71860.0,128960.0,162090.0,47.44,49.83,25.09,34.55,62.0,77.93,109870.0,Computer Programmers
15-1252,Software developers,1693.8,1961.4,267.7,15.8,115.2,1.6,Bachelor's degree,,,133080.0,144570.0,79850.0,103050.0,169000.0,211450.0,63.98,69.5,38.39,49.55,81.25,101.66,1654440.0,Software Developers
15-1253,Software quality assurance analysts and testers,201.7,221.9,20.2,10.0,14.0,0.1,Bachelor's degree,,,102610.0,110260.0,60690.0,79520.0,131870.0,166960.0,49.33,53.01,29.18,38.23,63.4,80.27,199800.0,Software Quality Assurance Analysts and Testers
15-1254,Web developers,86.0,92.5,6.5,7.5,5.4,5.3,Bachelor's degree,,,90930.0,98790.0,48560.0,63140.0,124300.0,162870.0,43.72,47.5,23.35,30.36,59.76,78.3,78860.0,Web Developers
15-1255,Web and digital interface designers,128.9,137.9,9.0,7.0,9.1,10.1,Bachelor's degree,,,98090.0,111450.0,47840.0,64990.0,141860.0,192180.0,47.16,53.58,23.0,31.25,68.2,92.39,111400.0,Web and Digital Interface Designers
15-1299,"Computer occupations, all other",472.0,510.5,38.5,8.2,31.3,3.9,Bachelor's degree,,,108970.0,116700.0,52650.0,76360.0,147530.0,176800.0,52.39,56.11,25.31,36.71,70.93,85.0,439380.0,"Computer Occupations, All Other"
15-2011,Actuaries,33.6,40.9,7.3,21.8,2.4,,Bachelor's degree,,Long-term on-the-job training,125770.0,134990.0,75240.0,90970.0,164860.0,206430.0,60.47,64.9,36.18,43.73,79.26,99.24,28340.0,Actuaries
15-2021,Mathematicians,2.4,2.4,0.0,-0.7,0.1,,Master's degree,,,121680.0,122520.0,63430.0,85720.0,153340.0,187660.0,58.5,58.91,30.5,41.21,73.72,90.22,2220.0,Mathematicians
15-2031,Operations research analysts,112.1,136.2,24.1,21.5,9.6,,Bachelor's degree,,,91290.0,99120.0,53910.0,66910.0,124120.0,159280.0,43.89,47.66,25.92,32.17,59.67,76.58,107760.0,Operations Research Analysts
15-2041,Statisticians,32.2,34.9,2.7,8.5,2.0,1.3,Master's degree,,,103300.0,112330.0,60390.0,79210.0,137610.0,170700.0,49.66,54.01,29.04,38.08,66.16,82.07,29800.0,Statisticians
15-2051,Data scientists,245.9,328.3,82.5,33.5,23.4,1.8,Bachelor's degree,,,112590.0,124590.0,63650.0,82630.0,155810.0,194410.0,54.13,59.9,30.6,39.73,74.91,93.47,233440.0,Data Scientists
15-2099,"Mathematical science occupations, all other",5.0,5.2,0.2,4.0,0.3,1.4,Bachelor's degree,,,71490.0,84700.0,40330.0,52440.0,101920.0,154140.0,34.37,40.72,19.39,25.21,49.0,74.11,4660.0,"Mathematical Science Occupations, All Other"
17-1011,"Architects, except landscape and naval",123.6,128.4,4.8,3.9,7.8,10.5,Bachelor's degree,,Internship/residency,96690.0,103390.0,60510.0,76110.0,123300.0,159800.0,46.49,49.71,29.09,36.59,59.28,76.83,111140.0,"Architects, Except Landscape and Naval"
17-1012,Landscape architects,21.8,22.6,0.8,3.5,1.7,10.4,Bachelor's degree,,Internship/residency,79660.0,88000.0,51990.0,62650.0,101580.0,132250.0,38.3,42.31,25.0,30.12,48.84,63.58,19580.0,Landscape Architects
17-1021,Cartographers and photogrammetrists,13.4,14.3,0.9,6.4,1.0,2.3,Bachelor's degree,,,78380.0,82860.0,50500.0,62860.0,99650.0,121440.0,37.68,39.84,24.28,30.22,47.91,58.39,12790.0,Cartographers and Photogrammetrists
17-1022,Surveyors,56.1,58.6,2.5,4.4,3.9,4.3,Bachelor's degree,,Internship/residency,72740.0,76730.0,43680.0,53590.0,94550.0,116330.0,34.97,36.89,21.0,25.76,45.46,55.93,53080.0,Surveyors
17-2011,Aerospace engineers,71.6,75.9,4.4,6.1,4.5,2.6,Bachelor's degree,,,134830.0,141180.0,85350.0,104740.0,174480.0,205850.0,64.82,67.88,41.04,50.36,83.88,98.97,68440.0,Aerospace Engineers
17-2021,Agricultural engineers,1.7,1.8,0.1,5.9,0.1,,Bachelor's degree,,,84630.0,84240.0,43020.0,49930.0,103940.0,132700.0,40.69,40.5,20.68,24.01,49.97,63.8,1680.0,Agricultural Engineers
17-2031,Bioengineers and biomedical engineers,22.2,23.3,1.1,5.2,1.3,0.2,Bachelor's degree,,,106950.0,115020.0,71860.0,86630.0,133570.0,165060.0,51.42,55.3,34.55,41.65,64.22,79.36,21860.0,Bioengineers and Biomedical Engineers
17-2041,Chemical engineers,21.6,22.1,0.6,2.6,1.1,5.1,Bachelor's degree,,,121860.0,128430.0,78520.0,96040.0,152290.0,182150.0,58.59,61.75,37.75,46.17,73.22,87.57,20330.0,Chemical Engineers
17-2051,Civil engineers,368.9,387.5,18.5,5.0,23.6,1.3,Bachelor's degree,,,99590.0,107050.0,65920.0,78790.0,128290.0,160990.0,47.88,51.47,31.69,37.88,61.68,77.4,355410.0,Civil Engineers
17-2061,Computer hardware engineers,76.8,82.4,5.6,7.3,4.7,1.1,Bachelor's degree,,,155020.0,156770.0,85430.0,115500.0,185380.0,223820.0,74.53,75.37,41.07,55.53,89.12,107.61,75710.0,Computer Hardware Engineers
17-2071,Electrical engineers,192.0,205.7,13.8,7.2,11.7,1.0,Bachelor's degree,,,111910.0,120980.0,74670.0,87590.0,141630.0,175460.0,53.8,58.16,35.9,42.11,68.09,84.36,188790.0,Electrical Engineers
17-2072,"Electronics engineers, except computer",95.9,101.8,6.0,6.2,5.7,0.9,Bachelor's degree,,,127590.0,132500.0,79390.0,98920.0,164000.0,199060.0,61.34,63.7,38.17,47.56,78.85,95.7,93940.0,"Electronics Engineers, Except Computer"
17-2081,Environmental engineers,39.4,41.0,1.5,3.9,3.0,1.0,Bachelor's degree,,,104170.0,110570.0,64950.0,80510.0,130830.0,161910.0,50.08,53.16,31.23,38.71,62.9,77.84,37950.0,Environmental Engineers
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",23.8,24.9,1.1,4.4,1.5,,Bachelor's degree,,,109660.0,113770.0,62050.0,85400.0,136150.0,166670.0,52.72,54.7,29.83,41.06,65.46,80.13,23220.0,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
17-2112,Industrial engineers,351.1,389.6,38.5,11.0,25.2,0.2,Bachelor's degree,,,101140.0,107900.0,70000.0,81910.0,127480.0,157140.0,48.63,51.87,33.66,39.38,61.29,75.55,350230.0,Industrial Engineers
17-2121,Marine engineers and naval architects,8.5,9.0,0.5,5.8,0.6,,Bachelor's degree,,,105670.0,116680.0,79700.0,88480.0,133780.0,167660.0,50.8,56.1,38.32,42.54,64.32,80.61,8440.0,Marine Engineers and Naval Architects
17-2131,Materials engineers,23.0,24.3,1.3,5.7,1.5,,Bachelor's degree,,,108310.0,116380.0,68040.0,85820.0,138370.0,172000.0,52.07,55.95,32.71,41.26,66.52,82.69,22770.0,Materials Engineers
17-2141,Mechanical engineers,293.1,319.6,26.5,9.1,18.1,1.2,Bachelor's degree,,,102320.0,110080.0,68740.0,81800.0,130290.0,161240.0,49.19,52.92,33.05,39.33,62.64,77.52,286760.0,Mechanical Engineers
