cip4,SOC2018Code,SOC2018Title,source_cip6_count
10.02,27-4014,Sound Engineering Technicians,1
10.02,27-4015,Lighting Technicians,2
10.02,27-4031,"Camera Operators, Television, Video, and Film",2
10.02,27-4032,Film and Video Editors,2
10.03,27-1014,Special Effects Artists and Animators,1
10.03,43-9021,Data Entry Keyers,1
10.03,43-9031,Desktop Publishers,2
10.03,51-5111,Prepress Technicians and Workers,8
10.03,51-5112,Printing Press Operators,4
10.03,51-9194,Etchers and Engravers,1
11.01,11-3021,Computer and Information Systems Managers,2
11.01,15-1211,Computer Systems Analysts,2
11.01,15-1212,Information Security Analysts,1
11.01,15-1221,Computer and Information Research Scientists,5
11.01,15-1241,Computer Network Architects,2
11.01,15-1242,Database Administrators,1
11.01,15-1243,Database Architects,2
11.01,15-1244,Network and Computer Systems Administrators,1
11.01,15-1252,Software Developers,3
11.01,15-1253,Software Quality Assurance Analysts and Testers,3
11.01,15-1255,Web and Digital Interface Designers,3
11.01,15-1299,"Computer Occupations, All Other",1
11.01,15-2051,Data Scientists,2
11.01,25-1021,"Computer Science Teachers, Postsecondary",3
11.02,15-1231,Computer Network Support Specialists,1
11.02,15-1251,Computer Programmers,6
11.02,15-1252,Software Developers,5
11.02,15-1253,Software Quality Assurance Analysts and Testers,5
11.02,15-1254,Web Developers,1
11.02,15-1255,Web and Digital Interface Designers,1
11.02,25-1021,"Computer Science Teachers, Postsecondary",1
11.03,15-1299,"Computer Occupations, All Other",1
11.04,11-3021,Computer and Information Systems Managers,1
11.04,15-1221,Computer and Information Research Scientists,1
11.04,15-1243,Database Architects,1
11.04,15-1252,Software Developers,1
11.04,15-1255,Web and Digital Interface Designers,1
11.04,15-1299,"Computer Occupations, All Other",1
11.04,25-1021,"Computer Science Teachers, Postsecondary",1
11.05,15-1211,Computer Systems Analysts,1
11.05,15-1231,Computer Network Support Specialists,1
11.05,15-1241,Computer Network Architects,1
11.05,15-1243,Database Architects,1
11.05,15-1253,Software Quality Assurance Analysts and Testers,1
11.05,25-1021,"Computer Science Teachers, Postsecondary",1
11.06,43-9021,Data Entry Keyers,1
11.06,43-9022,Word Processors and Typists,1
11.07,11-3021,Computer and Information Systems Managers,1
11.07,15-1212,Information Security Analysts,1
11.07,15-1221,Computer and Information Research Scientists,1
11.07,15-1231,Computer Network Support Specialists,1
11.07,15-1243,Database Architects,1
11.07,15-1251,Computer Programmers,1
11.07,15-1252,Software Developers,1
11.07,15-1253,Software Quality Assurance Analysts and Testers,1
11.07,15-1254,Web Developers,1
11.07,15-1255,Web and Digital Interface Designers,1
11.07,15-1299,"Computer Occupations, All Other",1
11.07,15-2051,Data Scientists,1
11.07,25-1021,"Computer Science Teachers, Postsecondary",1
11.08,11-3021,Computer and Information Systems Managers,1
11.08,15-1221,Computer and Information Research Scientists,1
11.08,15-1242,Database Administrators,1
11.08,15-1243,Database Architects,1
11.08,15-1251,Computer Programmers,2
11.08,15-1252,Software Developers,1
11.08,15-1254,Web Developers,1
11.08,15-1255,Web and Digital Interface Designers,1
11.08,15-2051,Data Scientists,2
11.08,25-1021,"Computer Science Teachers, Postsecondary",1
11.08,25-1194,"Career/Technical Education Teachers, Postsecondary",3
11.08,27-1014,Special Effects Artists and Animators,2
11.08,27-1024,Graphic Designers,2
11.09,11-3021,Computer and Information Systems Managers,1
11.09,15-1211,Computer Systems Analysts,1
11.09,15-1212,Information Security Analysts,1
11.09,15-1221,Computer and Information Research Scientists,1
11.09,15-1231,Computer Network Support Specialists,2
11.09,15-1241,Computer Network Architects,2
11.09,15-1243,Database Architects,1
11.09,15-1251,Computer Programmers,1
11.09,15-1252,Software Developers,1
11.09,25-1021,"Computer Science Teachers, Postsecondary",2
11.10,11-3021,Computer and Information Systems Managers,4
11.10,11-9199,"Managers, All Other",1
11.10,13-1082,Project Management Specialists,1
11.10,15-1212,Information Security Analysts,4
11.10,15-1231,Computer Network Support Specialists,4
11.10,15-1232,Computer User Support Specialists,1
11.10,15-1241,Computer Network Architects,2
11.10,15-1242,Database Administrators,1
11.10,15-1243,Database Architects,1
11.10,15-1244,Network and Computer Systems Administrators,2
11.10,15-1254,Web Developers,1
11.10,15-1255,Web and Digital Interface Designers,1
11.10,15-1299,"Computer Occupations, All Other",1
12.03,11-9171,Funeral Home Managers,3
12.03,39-4011,Embalmers,2
12.03,39-4012,Crematory Operators,2
12.03,39-4031,"Morticians, Undertakers, and Funeral Arrangers",3
12.04,11-9179,"Personal Service Managers, All Other",1
12.04,39-1022,First-Line Supervisors of Personal Service Workers,1
12.04,39-5011,Barbers,4
12.04,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",8
12.04,39-5091,"Makeup Artists, Theatrical and Performance",3
12.04,39-5092,Manicurists and Pedicurists,2
12.04,39-5093,Shampooers,1
12.04,39-5094,Skincare Specialists,4
12.05,11-9051,Food Service Managers,3
12.05,13-1022,"Wholesale and Retail Buyers, Except Farm Products",1
12.05,19-1012,Food Scientists and Technologists,1
12.05,25-1199,"Postsecondary Teachers, All Other",1
12.05,35-1011,Chefs and Head Cooks,5
12.05,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,4
12.05,35-2012,"Cooks, Institution and Cafeteria",3
12.05,35-2013,"Cooks, Private Household",3
12.05,35-2014,"Cooks, Restaurant",2
12.05,35-2019,"Cooks, All Other",4
12.05,35-3011,Bartenders,1
12.05,51-3011,Bakers,1
12.05,51-3021,Butchers and Meat Cutters,1
12.05,51-3023,Slaughterers and Meat Packers,1
12.06,33-9031,Gambling Surveillance Officers and Gambling Investigators,1
12.06,39-1013,First-Line Supervisors of Gambling Services Workers,2
12.06,39-3011,Gambling Dealers,1
12.06,43-3041,Gambling Cage Workers,1
12.99,39-6012,Concierges,1
13.01,25-1081,"Education Teachers, Postsecondary",1
13.01,25-9042,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",1
13.01,25-9043,"Teaching Assistants, Special Education",1
13.02,25-1081,"Education Teachers, Postsecondary",4
13.02,25-2011,"Preschool Teachers, Except Special Education",1
13.02,25-2012,"Kindergarten Teachers, Except Special Education",1
13.02,25-2021,"Elementary School Teachers, Except Special Education",1
13.02,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1
13.02,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1
13.02,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",3
13.02,25-3099,"Teachers and Instructors, All Other",3
13.03,25-1081,"Education Teachers, Postsecondary",1
13.03,25-9031,Instructional Coordinators,1
13.04,11-3131,Training and Development Managers,1
13.04,11-9031,"Education and Childcare Administrators, Preschool and Daycare",5
13.04,11-9032,"Education Administrators, Kindergarten through Secondary",7
13.04,11-9033,"Education Administrators, Postsecondary",5
13.04,11-9039,"Education Administrators, All Other",10
13.05,13-1151,Training and Development Specialists,1
13.05,25-4022,Librarians and Media Collections Specialists,1
13.05,25-9031,Instructional Coordinators,1
13.06,11-3131,Training and Development Managers,1
13.06,13-1111,Management Analysts,5
13.06,15-2041,Statisticians,4
13.06,19-3022,Survey Researchers,1
13.06,19-3099,"Social Scientists and Related Workers, All Other",5
13.06,25-1069,"Social Sciences Teachers, Postsecondary, All Other",1
13.06,25-1081,"Education Teachers, Postsecondary",5
13.06,25-9099,"Educational Instruction and Library Workers, All Other",1
13.09,25-1081,"Education Teachers, Postsecondary",1
13.10,25-1081,"Education Teachers, Postsecondary",15
13.10,25-2051,"Special Education Teachers, Preschool",13
13.10,25-2055,"Special Education Teachers, Kindergarten",13
13.10,25-2056,"Special Education Teachers, Elementary School",13
13.10,25-2057,"Special Education Teachers, Middle School",13
13.10,25-2058,"Special Education Teachers, Secondary School",13
13.10,25-2059,"Special Education Teachers, All Other",13
13.10,25-9043,"Teaching Assistants, Special Education",1
13.10,27-3091,Interpreters and Translators,1
13.11,21-1012,"Educational, Guidance, and Career Counselors and Advisors",3
13.11,39-9041,Residential Advisors,2
13.12,13-1151,Training and Development Specialists,1
13.12,25-1081,"Education Teachers, Postsecondary",11
13.12,25-1199,"Postsecondary Teachers, All Other",1
13.12,25-2011,"Preschool Teachers, Except Special Education",6
13.12,25-2012,"Kindergarten Teachers, Except Special Education",6
13.12,25-2021,"Elementary School Teachers, Except Special Education",8
13.12,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",7
13.12,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",8
13.12,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",1
13.12,25-3021,Self-Enrichment Teachers,2
13.12,25-3099,"Teachers and Instructors, All Other",3
13.12,25-9042,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",1
13.12,25-9043,"Teaching Assistants, Special Education",1
13.13,25-1011,"Business Teachers, Postsecondary",2
13.13,25-1021,"Computer Science Teachers, Postsecondary",1
13.13,25-1022,"Mathematical Science Teachers, Postsecondary",1
13.13,25-1041,"Agricultural Sciences Teachers, Postsecondary",2
13.13,25-1042,"Biological Science Teachers, Postsecondary",2
13.13,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1
13.13,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2
13.13,25-1052,"Chemistry Teachers, Postsecondary",2
13.13,25-1053,"Environmental Science Teachers, Postsecondary",1
13.13,25-1054,"Physics Teachers, Postsecondary",2
13.13,25-1064,"Geography Teachers, Postsecondary",1
13.13,25-1066,"Psychology Teachers, Postsecondary",1
13.13,25-1071,"Health Specialties Teachers, Postsecondary",1
13.13,25-1081,"Education Teachers, Postsecondary",33
13.13,25-1121,"Art, Drama, and Music Teachers, Postsecondary",3
13.13,25-1123,"English Language and Literature Teachers, Postsecondary",1
13.13,25-1124,"Foreign Language and Literature Teachers, Postsecondary",5
13.13,25-1125,"History Teachers, Postsecondary",1
13.13,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",1
13.13,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",1
13.13,25-1194,"Career/Technical Education Teachers, Postsecondary",7
13.13,25-2021,"Elementary School Teachers, Except Special Education",2
13.13,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",28
13.13,25-2023,"Career/Technical Education Teachers, Middle School",8
13.13,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",30
13.13,25-2032,"Career/Technical Education Teachers, Secondary School",8
13.13,25-3099,"Teachers and Instructors, All Other",2
13.13,25-4022,Librarians and Media Collections Specialists,1
13.13,27-2022,Coaches and Scouts,1
13.13,39-9031,Exercise Trainers and Group Fitness Instructors,1
13.14,25-2011,"Preschool Teachers, Except Special Education",3
13.14,25-2012,"Kindergarten Teachers, Except Special Education",3
13.14,25-2021,"Elementary School Teachers, Except Special Education",3
13.14,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",3
13.14,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",3
13.14,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",3
13.15,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",1
13.15,25-9042,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",2
13.15,25-9043,"Teaching Assistants, Special Education",2
13.15,25-9044,"Teaching Assistants, Postsecondary",1
13.15,25-9049,"Teaching Assistants, All Other",3
13.15,25-9099,"Educational Instruction and Library Workers, All Other",1
13.99,25-1081,"Education Teachers, Postsecondary",1
13.99,25-3099,"Teachers and Instructors, All Other",1
14.01,11-9041,Architectural and Engineering Managers,1
14.01,17-2199,"Engineers, All Other",2
14.01,25-1032,"Engineering Teachers, Postsecondary",1
14.02,11-9041,Architectural and Engineering Managers,3
14.02,17-2011,Aerospace Engineers,3
14.02,17-3021,Aerospace Engineering and Operations Technologists and Technicians,1
14.02,25-1032,"Engineering Teachers, Postsecondary",3
14.02,49-2091,Avionics Technicians,1
14.03,11-9041,Architectural and Engineering Managers,1
14.03,17-2021,Agricultural Engineers,1
14.03,25-1032,"Engineering Teachers, Postsecondary",1
14.04,11-9041,Architectural and Engineering Managers,1
14.04,17-2199,"Engineers, All Other",1
14.04,25-1031,"Architecture Teachers, Postsecondary",1
14.04,25-1032,"Engineering Teachers, Postsecondary",1
14.05,11-9041,Architectural and Engineering Managers,1
14.05,17-2031,Bioengineers and Biomedical Engineers,1
14.05,25-1032,"Engineering Teachers, Postsecondary",1
14.06,11-9041,Architectural and Engineering Managers,1
14.06,17-2041,Chemical Engineers,1
14.06,17-2131,Materials Engineers,1
14.06,25-1032,"Engineering Teachers, Postsecondary",1
14.07,11-9041,Architectural and Engineering Managers,3
14.07,17-2031,Bioengineers and Biomedical Engineers,1
14.07,17-2041,Chemical Engineers,3
14.07,17-2199,"Engineers, All Other",1
14.07,25-1032,"Engineering Teachers, Postsecondary",3
14.08,11-9041,Architectural and Engineering Managers,6
14.08,17-2051,Civil Engineers,6
14.08,17-2081,Environmental Engineers,2
14.08,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",1
14.08,17-2171,Petroleum Engineers,1
14.08,17-2199,"Engineers, All Other",2
14.08,25-1032,"Engineering Teachers, Postsecondary",6
14.09,11-9041,Architectural and Engineering Managers,4
14.09,15-1241,Computer Network Architects,2
14.09,15-1243,Database Architects,2
14.09,15-1252,Software Developers,2
14.09,15-1253,Software Quality Assurance Analysts and Testers,2
14.09,17-2061,Computer Hardware Engineers,2
14.09,25-1032,"Engineering Teachers, Postsecondary",4
14.10,11-9041,Architectural and Engineering Managers,4
14.10,17-2011,Aerospace Engineers,1
14.10,17-2061,Computer Hardware Engineers,1
14.10,17-2071,Electrical Engineers,2
14.10,17-2072,"Electronics Engineers, Except Computer",3
14.10,17-2199,"Engineers, All Other",2
14.10,25-1032,"Engineering Teachers, Postsecondary",4
14.11,11-9041,Architectural and Engineering Managers,1
14.11,17-2141,Mechanical Engineers,1
14.11,17-2199,"Engineers, All Other",1
14.11,25-1032,"Engineering Teachers, Postsecondary",1
14.12,11-9041,Architectural and Engineering Managers,1
14.12,11-9121,Natural Sciences Managers,1
14.12,17-2199,"Engineers, All Other",1
14.12,19-2012,Physicists,1
14.12,25-1032,"Engineering Teachers, Postsecondary",1
14.13,11-9041,Architectural and Engineering Managers,1
14.13,17-2199,"Engineers, All Other",1
14.13,25-1032,"Engineering Teachers, Postsecondary",1
14.14,11-9041,Architectural and Engineering Managers,1
14.14,17-2081,Environmental Engineers,1
14.14,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1
14.14,25-1032,"Engineering Teachers, Postsecondary",1
14.18,11-9041,Architectural and Engineering Managers,1
14.18,13-1051,Cost Estimators,1
14.18,17-2131,Materials Engineers,1
14.18,25-1032,"Engineering Teachers, Postsecondary",1
14.19,11-9041,Architectural and Engineering Managers,1
14.19,13-1051,Cost Estimators,1
14.19,17-2011,Aerospace Engineers,1
14.19,17-2141,Mechanical Engineers,1
14.19,25-1032,"Engineering Teachers, Postsecondary",1
14.20,11-9041,Architectural and Engineering Managers,1
14.20,17-2131,Materials Engineers,1
14.20,25-1032,"Engineering Teachers, Postsecondary",1
14.21,11-9041,Architectural and Engineering Managers,1
14.21,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",1
14.21,25-1032,"Engineering Teachers, Postsecondary",1
14.22,11-9041,Architectural and Engineering Managers,1
14.22,17-2121,Marine Engineers and Naval Architects,1
14.22,25-1032,"Engineering Teachers, Postsecondary",1
14.23,11-9041,Architectural and Engineering Managers,1
14.23,17-2161,Nuclear Engineers,1
14.23,25-1032,"Engineering Teachers, Postsecondary",1
14.24,11-9041,Architectural and Engineering Managers,1
14.24,17-2199,"Engineers, All Other",1
14.24,25-1032,"Engineering Teachers, Postsecondary",1
14.25,11-9041,Architectural and Engineering Managers,1
14.25,17-2171,Petroleum Engineers,1
14.25,25-1032,"Engineering Teachers, Postsecondary",1
14.27,11-9041,Architectural and Engineering Managers,1
14.27,15-1243,Database Architects,1
14.27,17-2112,Industrial Engineers,1
