soc_code,soc_title,naics3,naics3_title,tot_emp,share_in_naics3
11-1021,General and Operations Managers,611,Educational Services,70710,0.01972704091596409
11-1021,General and Operations Managers,441,Motor Vehicle and Parts Dealers,69390,0.01935878050005301
11-1021,General and Operations Managers,445,Food and Beverage Retailers,61030,0.017026464532616154
11-1021,General and Operations Managers,624,Social Assistance,57470,0.016033277350310512
11-1021,General and Operations Managers,458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",56430,0.01574313278019875
11-1021,General and Operations Managers,713,"Amusement, Gambling, and Recreation Industries",52040,0.014518387912130833
11-1021,General and Operations Managers,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",47410,0.013226686604806356
11-1021,General and Operations Managers,812,Personal and Laundry Services,47280,0.013190418533542386
11-1021,General and Operations Managers,444,Building Material and Garden Equipment and Supplies Dealers,44470,0.012406470223913493
11-1021,General and Operations Managers,456,Health and Personal Care Retailers,43680,0.01218607194469398
11-1021,General and Operations Managers,332,Fabricated Metal Product Manufacturing,39770,0.011095239955139186
11-1021,General and Operations Managers,484,Truck Transportation,38680,0.010791146126848974
11-1021,General and Operations Managers,457,Gasoline Stations and Fuel Dealers,38230,0.010665602803242923
11-1021,General and Operations Managers,513,Publishing Industries,37100,0.010350349568409953
11-1021,General and Operations Managers,455,General Merchandise Retailers,34610,0.009655676511123139
11-1021,General and Operations Managers,623,Nursing and Residential Care Facilities,31450,0.008774083394245093
11-1021,General and Operations Managers,449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",31290,0.008729445768074055
11-1021,General and Operations Managers,237,Heavy and Civil Engineering Construction,30780,0.008587163334653864
11-1021,General and Operations Managers,488,Support Activities for Transportation,30170,0.008416982384876773
11-1021,General and Operations Managers,721,Accommodation,28800,0.00803477271078724
11-1021,General and Operations Managers,532,Rental and Leasing Services,28760,0.008023613304244481
11-1021,General and Operations Managers,711,"Performing Arts, Spectator Sports, and Related Industries",28470,0.00794270760680947
11-1021,General and Operations Managers,425,Wholesale Trade Agents and Brokers,28300,0.00789528012900274
11-1021,General and Operations Managers,333,Machinery Manufacturing,24620,0.006868614727068814
11-1021,General and Operations Managers,311,Food Manufacturing,22770,0.0063524921744661615
11-1021,General and Operations Managers,334,Computer and Electronic Product Manufacturing,22450,0.006263216922124081
11-1021,General and Operations Managers,325,Chemical Manufacturing,21180,0.005908905764391449
11-1021,General and Operations Managers,562,Waste Management and Remediation Services,21150,0.00590053620948438
11-1021,General and Operations Managers,493,Warehousing and Storage,20480,0.005713616149893149
11-1021,General and Operations Managers,518,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",18670,0.005208653003833256
11-1021,General and Operations Managers,221,Utilities,18400,0.005133327009669625
11-1021,General and Operations Managers,339,Miscellaneous Manufacturing,18350,0.005119377751491175
11-1021,General and Operations Managers,336,Transportation Equipment Manufacturing,17740,0.004949196801714085
11-1021,General and Operations Managers,512,Motion Picture and Sound Recording Industries,15390,0.004293581667326932
11-1021,General and Operations Managers,622,Hospitals,14210,0.00396437917431551
11-1021,General and Operations Managers,517,Telecommunications,12960,0.0036156477198542583
11-1021,General and Operations Managers,516,Broadcasting and Content Providers,12840,0.003582169500225978
11-1021,General and Operations Managers,323,Printing and Related Support Activities,12810,0.003573799945318908
11-1021,General and Operations Managers,213,Support Activities for Mining,11340,0.003163691754872476
11-1021,General and Operations Managers,326,Plastics and Rubber Products Manufacturing,10270,0.0028651776298536445
11-1021,General and Operations Managers,327,Nonmetallic Mineral Product Manufacturing,10210,0.002848438520039504
11-1021,General and Operations Managers,492,Couriers and Messengers,9890,0.002759163267697424
11-1021,General and Operations Managers,321,Wood Product Manufacturing,8610,0.002402062258329102
11-1021,General and Operations Managers,337,Furniture and Related Product Manufacturing,8580,0.002393692703422032
11-1021,General and Operations Managers,335,"Electrical Equipment, Appliance, and Component Manufacturing",8250,0.0023016275994442617
11-1021,General and Operations Managers,485,Transit and Ground Passenger Transportation,7930,0.002212352347102181
11-1021,General and Operations Managers,712,"Museums, Historical Sites, and Similar Institutions",7430,0.0020728597653176806
11-1021,General and Operations Managers,312,Beverage and Tobacco Product Manufacturing,7180,0.00200311347442543
11-1021,General and Operations Managers,211,Oil and Gas Extraction,6740,0.0018803600024550695
11-1021,General and Operations Managers,519,"Web Search Portals, Libraries, Archives, and Other Information Services",6030,0.0016822805363210785
11-1021,General and Operations Managers,115,Support Activities for Agriculture and Forestry,5400,0.0015065198832726076
11-1021,General and Operations Managers,331,Primary Metal Manufacturing,5310,0.0014814112185513974
11-1021,General and Operations Managers,322,Paper Manufacturing,4930,0.0013753968563951769
11-1021,General and Operations Managers,212,Mining (except Oil and Gas),4130,0.0011522087255399758
11-1021,General and Operations Managers,481,Air Transportation,3620,0.0010099262921197851
11-1021,General and Operations Managers,533,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),2920,0.0008146366776214841
11-1021,General and Operations Managers,482,Rail Transportation,2910,0.000811846825985794
11-1021,General and Operations Managers,525,"Funds, Trusts, and Other Financial Vehicles",2850,0.000795107716171654
11-1021,General and Operations Managers,314,Textile Product Mills,2790,0.0007783686063575139
11-1021,General and Operations Managers,486,Pipeline Transportation,2630,0.0007337309801864737
11-1021,General and Operations Managers,315,Apparel Manufacturing,2550,0.0007114121671009535
11-1021,General and Operations Managers,324,Petroleum and Coal Products Manufacturing,2370,0.0006611948376585333
11-1021,General and Operations Managers,483,Water Transportation,1870,0.0005217022558740327
11-1021,General and Operations Managers,313,Textile Mills,1350,0.0003766299708181519
11-1021,General and Operations Managers,487,Scenic and Sightseeing Transportation,1340,0.00037384011918246187
11-1021,General and Operations Managers,521,Monetary Authorities-Central Bank,810,0.00022597798249089114
11-1021,General and Operations Managers,316,Leather and Allied Product Manufacturing,640,0.0001785505046841609
11-1021,General and Operations Managers,113,Forestry and Logging,550,0.00015344183996295077
11-1021,General and Operations Managers,491,Postal Service (Federal Government),250,6.974629089225034e-05
11-1031,Legislators,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",26510,1.0
11-2011,Advertising and Promotions Managers,541,"Professional, Scientific, and Technical Services",12330,0.6035242290748899
11-2011,Advertising and Promotions Managers,551,Management of Companies and Enterprises,1580,0.07733724914341654
11-2011,Advertising and Promotions Managers,516,Broadcasting and Content Providers,1010,0.049437102300538424
11-2011,Advertising and Promotions Managers,513,Publishing Industries,870,0.042584434654919234
11-2011,Advertising and Promotions Managers,711,"Performing Arts, Spectator Sports, and Related Industries",370,0.01811062163485071
11-2011,Advertising and Promotions Managers,423,"Merchant Wholesalers, Durable Goods",330,0.016152716593245228
11-2011,Advertising and Promotions Managers,424,"Merchant Wholesalers, Nondurable Goods",310,0.015173764072442487
11-2011,Advertising and Promotions Managers,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",310,0.015173764072442487
11-2011,Advertising and Promotions Managers,512,Motion Picture and Sound Recording Industries,280,0.013705335291238374
11-2011,Advertising and Promotions Managers,561,Administrative and Support Services,280,0.013705335291238374
11-2011,Advertising and Promotions Managers,519,"Web Search Portals, Libraries, Archives, and Other Information Services",260,0.012726382770435633
11-2011,Advertising and Promotions Managers,518,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",250,0.012236906510034264
11-2011,Advertising and Promotions Managers,611,Educational Services,250,0.012236906510034264
11-2011,Advertising and Promotions Managers,524,Insurance Carriers and Related Activities,240,0.011747430249632892
11-2011,Advertising and Promotions Managers,485,Transit and Ground Passenger Transportation,230,0.011257953989231522
11-2011,Advertising and Promotions Managers,721,Accommodation,220,0.010768477728830151
11-2011,Advertising and Promotions Managers,713,"Amusement, Gambling, and Recreation Industries",180,0.00881057268722467
11-2011,Advertising and Promotions Managers,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",160,0.00783162016642193
11-2011,Advertising and Promotions Managers,459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",130,0.006363191385217817
11-2011,Advertising and Promotions Managers,522,Credit Intermediation and Related Activities,120,0.005873715124816446
11-2011,Advertising and Promotions Managers,517,Telecommunications,110,0.0053842388644150755
11-2011,Advertising and Promotions Managers,334,Computer and Electronic Product Manufacturing,100,0.004894762604013705
11-2011,Advertising and Promotions Managers,441,Motor Vehicle and Parts Dealers,100,0.004894762604013705
11-2011,Advertising and Promotions Managers,325,Chemical Manufacturing,70,0.0034263338228095936
11-2011,Advertising and Promotions Managers,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",70,0.0034263338228095936
11-2011,Advertising and Promotions Managers,531,Real Estate,50,0.0024473813020068525
11-2011,Advertising and Promotions Managers,238,Specialty Trade Contractors,40,0.0019579050416054823
11-2011,Advertising and Promotions Managers,335,"Electrical Equipment, Appliance, and Component Manufacturing",40,0.0019579050416054823
11-2011,Advertising and Promotions Managers,336,Transportation Equipment Manufacturing,40,0.0019579050416054823
11-2011,Advertising and Promotions Managers,622,Hospitals,40,0.0019579050416054823
11-2011,Advertising and Promotions Managers,624,Social Assistance,30,0.0014684287812041115
11-2011,Advertising and Promotions Managers,712,"Museums, Historical Sites, and Similar Institutions",30,0.0014684287812041115
11-2021,Marketing Managers,541,"Professional, Scientific, and Technical Services",97200,0.2525462481812513
11-2021,Marketing Managers,551,Management of Companies and Enterprises,50050,0.13004053211390562
11-2021,Marketing Managers,423,"Merchant Wholesalers, Durable Goods",19150,0.04975576803159426
11-2021,Marketing Managers,513,Publishing Industries,17730,0.046066306381209725
11-2021,Marketing Managers,561,Administrative and Support Services,16820,0.043701933070047806
11-2021,Marketing Managers,424,"Merchant Wholesalers, Nondurable Goods",16020,0.0416233631261692
11-2021,Marketing Managers,524,Insurance Carriers and Related Activities,15830,0.041129702764498025
11-2021,Marketing Managers,522,Credit Intermediation and Related Activities,13010,0.03380274371232592
11-2021,Marketing Managers,611,Educational Services,10330,0.02683953440033257
11-2021,Marketing Managers,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8200,0.021305341924755767
11-2021,Marketing Managers,518,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",8000,0.020785699438786116
11-2021,Marketing Managers,334,Computer and Electronic Product Manufacturing,7860,0.020421949698607358
11-2021,Marketing Managers,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",7570,0.019668468093951362
11-2021,Marketing Managers,531,Real Estate,5920,0.015381417584701726
11-2021,Marketing Managers,621,Ambulatory Health Care Services,5770,0.014991685720224485
11-2021,Marketing Managers,325,Chemical Manufacturing,5230,0.013588651008106422
11-2021,Marketing Managers,516,Broadcasting and Content Providers,5110,0.013276865516524631
11-2021,Marketing Managers,425,Wholesale Trade Agents and Brokers,4850,0.012601330284764083
11-2021,Marketing Managers,711,"Performing Arts, Spectator Sports, and Related Industries",3720,0.009665350239035543
11-2021,Marketing Managers,517,Telecommunications,3560,0.009249636250259822
11-2021,Marketing Managers,333,Machinery Manufacturing,3190,0.008288297651215963
11-2021,Marketing Managers,622,Hospitals,2880,0.007482851797963002
11-2021,Marketing Managers,236,Construction of Buildings,2840,0.007378923300769071
11-2021,Marketing Managers,339,Miscellaneous Manufacturing,2730,0.007093119933485762
11-2021,Marketing Managers,512,Motion Picture and Sound Recording Industries,2730,0.007093119933485762
11-2021,Marketing Managers,519,"Web Search Portals, Libraries, Archives, and Other Information Services",2570,0.006677405944710039
11-2021,Marketing Managers,459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",2410,0.006261691955934318
11-2021,Marketing Managers,458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",2210,0.005742049469964664
11-2021,Marketing Managers,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",2180,0.005664103097069217
11-2021,Marketing Managers,721,Accommodation,2160,0.005612138848472251
11-2021,Marketing Managers,311,Food Manufacturing,2030,0.005274371232591977
11-2021,Marketing Managers,336,Transportation Equipment Manufacturing,2020,0.005248389108293494
11-2021,Marketing Managers,624,Social Assistance,2010,0.005222406983995011
11-2021,Marketing Managers,238,Specialty Trade Contractors,1850,0.004806692995219289
11-2021,Marketing Managers,456,Health and Personal Care Retailers,1770,0.004598836000831428
11-2021,Marketing Managers,623,Nursing and Residential Care Facilities,1710,0.0044429432550405325
11-2021,Marketing Managers,713,"Amusement, Gambling, and Recreation Industries",1640,0.004261068384951153
11-2021,Marketing Managers,449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",1630,0.004235086260652671
11-2021,Marketing Managers,722,Food Services and Drinking Places,1480,0.0038453543961754315
11-2021,Marketing Managers,335,"Electrical Equipment, Appliance, and Component Manufacturing",1410,0.0036634795260860526
11-2021,Marketing Managers,488,Support Activities for Transportation,1350,0.003507586780295157
11-2021,Marketing Managers,332,Fabricated Metal Product Manufacturing,1330,0.0034556225316981918
11-2021,Marketing Managers,221,Utilities,1250,0.0032477655373103305
11-2021,Marketing Managers,441,Motor Vehicle and Parts Dealers,1250,0.0032477655373103305
11-2021,Marketing Managers,493,Warehousing and Storage,1140,0.0029619621700270214
11-2021,Marketing Managers,532,Rental and Leasing Services,1120,0.002909997921430056
11-2021,Marketing Managers,455,General Merchandise Retailers,1090,0.0028320515485346083
11-2021,Marketing Managers,712,"Museums, Historical Sites, and Similar Institutions",960,0.002494283932654334
11-2021,Marketing Managers,326,Plastics and Rubber Products Manufacturing,860,0.0022344626896695073
11-2021,Marketing Managers,312,Beverage and Tobacco Product Manufacturing,810,0.002104552068177094
11-2021,Marketing Managers,812,Personal and Laundry Services,540,0.0014030347121180627
11-2021,Marketing Managers,533,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),510,0.001325088339222615
11-2021,Marketing Managers,323,Printing and Related Support Activities,480,0.001247141966327167
11-2021,Marketing Managers,337,Furniture and Related Product Manufacturing,440,0.0011432134691332363
11-2021,Marketing Managers,237,Heavy and Civil Engineering Construction,430,0.0011172313448347536
11-2021,Marketing Managers,484,Truck Transportation,430,0.0011172313448347536
11-2021,Marketing Managers,445,Food and Beverage Retailers,420,0.001091249220536271
11-2021,Marketing Managers,811,Repair and Maintenance,420,0.001091249220536271
11-2021,Marketing Managers,315,Apparel Manufacturing,340,0.0008833922261484099
11-2021,Marketing Managers,483,Water Transportation,340,0.0008833922261484099
11-2021,Marketing Managers,211,Oil and Gas Extraction,320,0.0008314279775514446
11-2021,Marketing Managers,444,Building Material and Garden Equipment and Supplies Dealers,320,0.0008314279775514446
11-2021,Marketing Managers,331,Primary Metal Manufacturing,310,0.000805445853252962
11-2021,Marketing Managers,485,Transit and Ground Passenger Transportation,310,0.000805445853252962
11-2021,Marketing Managers,322,Paper Manufacturing,270,0.0007015173560590314
11-2021,Marketing Managers,481,Air Transportation,250,0.0006495531074620661
11-2021,Marketing Managers,327,Nonmetallic Mineral Product Manufacturing,240,0.0006235709831635835
11-2021,Marketing Managers,562,Waste Management and Remediation Services,210,0.0005456246102681355
11-2021,Marketing Managers,492,Couriers and Messengers,200,0.0005196424859696529
11-2021,Marketing Managers,482,Rail Transportation,190,0.0004936603616711703
11-2021,Marketing Managers,213,Support Activities for Mining,160,0.0004157139887757223
11-2021,Marketing Managers,321,Wood Product Manufacturing,160,0.0004157139887757223
11-2021,Marketing Managers,486,Pipeline Transportation,160,0.0004157139887757223
11-2021,Marketing Managers,324,Petroleum and Coal Products Manufacturing,150,0.00038973186447723967
11-2021,Marketing Managers,525,"Funds, Trusts, and Other Financial Vehicles",140,0.000363749740178757
11-2021,Marketing Managers,316,Leather and Allied Product Manufacturing,120,0.00031178549158179174
11-2021,Marketing Managers,313,Textile Mills,100,0.00025982124298482646
11-2021,Marketing Managers,491,Postal Service (Federal Government),100,0.00025982124298482646
11-2021,Marketing Managers,314,Textile Product Mills,70,0.0001818748700893785
11-2021,Marketing Managers,457,Gasoline Stations and Fuel Dealers,60,0.00015589274579089587
11-2021,Marketing Managers,521,Monetary Authorities-Central Bank,60,0.00015589274579089587
11-2021,Marketing Managers,115,Support Activities for Agriculture and Forestry,50,0.00012991062149241323
11-2021,Marketing Managers,487,Scenic and Sightseeing Transportation,40,0.00010392849719393057
11-2022,Sales Managers,541,"Professional, Scientific, and Technical Services",83200,0.13781223083548666
11-2022,Sales Managers,423,"Merchant Wholesalers, Durable Goods",62680,0.10382296428808056
11-2022,Sales Managers,424,"Merchant Wholesalers, Nondurable Goods",45620,0.07556483137878486
11-2022,Sales Managers,441,Motor Vehicle and Parts Dealers,41000,0.0679122772146028
11-2022,Sales Managers,551,Management of Companies and Enterprises,35830,0.05934870469754191
11-2022,Sales Managers,524,Insurance Carriers and Related Activities,26570,0.04401046842907308
11-2022,Sales Managers,561,Administrative and Support Services,26470,0.04384482872854966
11-2022,Sales Managers,522,Credit Intermediation and Related Activities,18760,0.031074007818193864
11-2022,Sales Managers,513,Publishing Industries,18490,0.030626780626780627
11-2022,Sales Managers,425,Wholesale Trade Agents and Brokers,15620,0.02587292122175843
11-2022,Sales Managers,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",15540,0.025740409461339694
11-2022,Sales Managers,334,Computer and Electronic Product Manufacturing,11150,0.018468826608361494
11-2022,Sales Managers,459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",10990,0.018203803087524017
11-2022,Sales Managers,458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",9280,0.015371364208573511
11-2022,Sales Managers,721,Accommodation,9250,0.015321672298416484
11-2022,Sales Managers,333,Machinery Manufacturing,8950,0.01482475319684622
11-2022,Sales Managers,449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",8860,0.014675677466375141
11-2022,Sales Managers,444,Building Material and Garden Equipment and Supplies Dealers,8560,0.014178758364804877
11-2022,Sales Managers,518,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",8230,0.013632147353077585
11-2022,Sales Managers,445,Food and Beverage Retailers,6970,0.011545087126482475
11-2022,Sales Managers,455,General Merchandise Retailers,6860,0.011362883455906712
11-2022,Sales Managers,517,Telecommunications,6430,0.010650632743656
11-2022,Sales Managers,325,Chemical Manufacturing,6160,0.010203405552242762
11-2022,Sales Managers,238,Specialty Trade Contractors,6090,0.010087457761876367
11-2022,Sales Managers,332,Fabricated Metal Product Manufacturing,6060,0.01003776585171934
11-2022,Sales Managers,311,Food Manufacturing,5440,0.009010799708474126
11-2022,Sales Managers,531,Real Estate,4900,0.008116345325647652
11-2022,Sales Managers,516,Broadcasting and Content Providers,4710,0.00780162989465315
11-2022,Sales Managers,532,Rental and Leasing Services,4700,0.007785065924600808
11-2022,Sales Managers,456,Health and Personal Care Retailers,4650,0.007702246074339098
11-2022,Sales Managers,488,Support Activities for Transportation,4490,0.007437222553501623
11-2022,Sales Managers,336,Transportation Equipment Manufacturing,4270,0.007072815212350096
11-2022,Sales Managers,339,Miscellaneous Manufacturing,4230,0.007006559332140727
11-2022,Sales Managers,236,Construction of Buildings,4170,0.0069071755118266746
11-2022,Sales Managers,611,Educational Services,3360,0.005565493937586961
11-2022,Sales Managers,326,Plastics and Rubber Products Manufacturing,3130,0.005184522626383092
11-2022,Sales Managers,335,"Electrical Equipment, Appliance, and Component Manufacturing",3110,0.0051513946862784075
11-2022,Sales Managers,457,Gasoline Stations and Fuel Dealers,3010,0.004985754985754986
11-2022,Sales Managers,621,Ambulatory Health Care Services,2950,0.004886371165440933
11-2022,Sales Managers,811,Repair and Maintenance,2890,0.00478698734512688
