cip4,naics3,naics3_title,weighted_emp,share_in_naics3
01.02,113,Forestry and Logging,1270,0.0025392382285314404
01.02,327,Nonmetallic Mineral Product Manufacturing,1040,0.002079376187143857
01.02,221,Utilities,860,0.001719484154753574
01.02,334,Computer and Electronic Product Manufacturing,800,0.001599520143956813
01.02,441,Motor Vehicle and Parts Dealers,750,0.0014995501349595122
01.02,321,Wood Product Manufacturing,730,0.0014595621313605919
01.02,331,Primary Metal Manufacturing,700,0.0013995801259622112
01.02,425,Wholesale Trade Agents and Brokers,660,0.0013196041187643708
01.02,332,Fabricated Metal Product Manufacturing,550,0.0010996700989703088
01.02,312,Beverage and Tobacco Product Manufacturing,510,0.0010196940917724683
01.02,482,Rail Transportation,500,0.000999700089973008
01.02,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",420,0.0008397480755773268
01.02,325,Chemical Manufacturing,350,0.0006997900629811056
01.02,486,Pipeline Transportation,240,0.00047985604318704386
01.02,487,Scenic and Sightseeing Transportation,210,0.0004198740377886634
01.02,713,"Amusement, Gambling, and Recreation Industries",200,0.00039988003598920324
01.02,721,Accommodation,160,0.0003199040287913626
01.02,324,Petroleum and Coal Products Manufacturing,140,0.00027991602519244227
01.02,483,Water Transportation,110,0.0002199340197940618
01.02,211,Oil and Gas Extraction,100,0.00019994001799460162
01.02,326,Plastics and Rubber Products Manufacturing,30,5.998200539838048e-05
01.02,622,Hospitals,30,5.998200539838048e-05
01.03,115,Support Activities for Agriculture and Forestry,29600,0.22974231605091586
01.03,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",26160,0.20304253337472836
01.03,611,Educational Services,23500,0.18239677118907172
01.03,424,"Merchant Wholesalers, Nondurable Goods",11410,0.08855945358584291
01.03,541,"Professional, Scientific, and Technical Services",9800,0.07606333436820863
01.03,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",6780,0.05262340887923005
01.03,311,Food Manufacturing,3760,0.029183483390251473
01.03,113,Forestry and Logging,2800,0.02173238124805961
01.03,561,Administrative and Support Services,2690,0.020878609127600124
01.03,713,"Amusement, Gambling, and Recreation Industries",2070,0.01606643899410121
01.03,721,Accommodation,1380,0.010710959329400808
01.03,712,"Museums, Historical Sites, and Similar Institutions",1280,0.009934802856255821
01.03,551,Management of Companies and Enterprises,1250,0.009701955914312325
01.03,312,Beverage and Tobacco Product Manufacturing,1010,0.00783918037876436
01.03,711,"Performing Arts, Spectator Sports, and Related Industries",760,0.0058987891959018934
01.03,459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",590,0.004579323191555418
01.03,484,Truck Transportation,530,0.004113629307668426
01.03,238,Specialty Trade Contractors,440,0.0034150884818379386
01.03,621,Ambulatory Health Care Services,400,0.003104625892579944
01.03,325,Chemical Manufacturing,380,0.0029493945979509467
01.03,623,Nursing and Residential Care Facilities,320,0.0024837007140639552
01.03,445,Food and Beverage Retailers,310,0.0024060850667494567
01.03,624,Social Assistance,310,0.0024060850667494567
01.03,444,Building Material and Garden Equipment and Supplies Dealers,290,0.0022508537721204593
01.03,237,Heavy and Civil Engineering Construction,260,0.0020180068301769638
01.03,321,Wood Product Manufacturing,260,0.0020180068301769638
01.03,423,"Merchant Wholesalers, Durable Goods",200,0.001552312946289972
01.03,493,Warehousing and Storage,150,0.0011642347097174791
01.03,456,Health and Personal Care Retailers,60,0.00046569388388699164
01.03,425,Wholesale Trade Agents and Brokers,50,0.000388078236572493
01.03,213,Support Activities for Mining,40,0.0003104625892579944
01.04,115,Support Activities for Agriculture and Forestry,13160,0.21517331589274036
01.04,311,Food Manufacturing,10600,0.17331589274035317
01.04,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",10540,0.17233485938521909
01.04,611,Educational Services,10160,0.16612164813603664
01.04,424,"Merchant Wholesalers, Nondurable Goods",3950,0.06458469587965991
01.04,113,Forestry and Logging,2800,0.04578155657292348
01.04,541,"Professional, Scientific, and Technical Services",2530,0.04136690647482014
01.04,312,Beverage and Tobacco Product Manufacturing,2170,0.0354807063440157
01.04,561,Administrative and Support Services,910,0.014879005886200131
01.04,551,Management of Companies and Enterprises,830,0.01357096141268803
01.04,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",600,0.009810333551340745
01.04,713,"Amusement, Gambling, and Recreation Industries",520,0.008502289077828646
01.04,459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",510,0.008338783518639634
01.04,493,Warehousing and Storage,350,0.005722694571615435
01.04,445,Food and Beverage Retailers,340,0.005559189012426423
01.04,321,Wood Product Manufacturing,260,0.004251144538914323
01.04,325,Chemical Manufacturing,250,0.004087638979725311
01.04,721,Accommodation,220,0.0035971223021582736
01.04,624,Social Assistance,100,0.0016350555918901242
01.04,237,Heavy and Civil Engineering Construction,70,0.001144538914323087
01.04,423,"Merchant Wholesalers, Durable Goods",70,0.001144538914323087
01.04,484,Truck Transportation,70,0.001144538914323087
01.04,456,Health and Personal Care Retailers,60,0.0009810333551340746
01.04,623,Nursing and Residential Care Facilities,50,0.0008175277959450621
01.04,213,Support Activities for Mining,40,0.0006540222367560497
01.05,812,Personal and Laundry Services,152380,0.36756156981933086
01.05,611,Educational Services,114990,0.2773717345683479
01.05,459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",43090,0.10393902115444918
01.05,541,"Professional, Scientific, and Technical Services",41940,0.10116506259497793
01.05,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",13850,0.033408109607545165
01.05,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",12180,0.029379839351617337
01.05,711,"Performing Arts, Spectator Sports, and Related Industries",9540,0.023011795354222448
01.05,712,"Museums, Historical Sites, and Similar Institutions",8760,0.021130327809537594
01.05,115,Support Activities for Agriculture and Forestry,8220,0.019827773355525
01.05,713,"Amusement, Gambling, and Recreation Industries",3810,0.009190245314422172
01.05,624,Social Assistance,1750,0.004221241286151916
01.05,561,Administrative and Support Services,1350,0.003256386135031478
01.05,424,"Merchant Wholesalers, Nondurable Goods",710,0.0017126178932387775
01.05,721,Accommodation,620,0.001495525484236679
01.05,621,Ambulatory Health Care Services,480,0.0011578261813445256
01.05,622,Hospitals,330,0.0007960054996743614
01.05,444,Building Material and Garden Equipment and Supplies Dealers,230,0.0005547917118942519
01.05,493,Warehousing and Storage,80,0.00019297103022408762
01.05,623,Nursing and Residential Care Facilities,80,0.00019297103022408762
01.05,311,Food Manufacturing,70,0.00016884965144607666
01.05,512,Motion Picture and Sound Recording Industries,60,0.0001447282726680657
01.05,551,Management of Companies and Enterprises,50,0.00012060689389005475
01.06,561,Administrative and Support Services,708540,0.3134411551324474
01.06,455,General Merchandise Retailers,197550,0.08739139666979279
01.06,445,Food and Beverage Retailers,187620,0.08299860209155416
01.06,459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",120420,0.05327092881283953
01.06,458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",118100,0.05224461628297914
01.06,713,"Amusement, Gambling, and Recreation Industries",113530,0.05022295754959036
01.06,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",113490,0.05020526250597208
01.06,457,Gasoline Stations and Fuel Dealers,104490,0.04622387769185851
01.06,444,Building Material and Garden Equipment and Supplies Dealers,98050,0.04337497566931502
01.06,441,Motor Vehicle and Parts Dealers,85510,0.03782757949498346
01.06,611,Educational Services,53430,0.023636154513120875
01.06,449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",44700,0.019774211243430716
01.06,456,Health and Personal Care Retailers,39590,0.017513669421195123
01.06,531,Real Estate,36410,0.016106913453541663
01.06,812,Personal and Laundry Services,21250,0.009400491922212588
01.06,721,Accommodation,19260,0.008520163502203033
01.06,115,Support Activities for Agriculture and Forestry,18180,0.008042397324509405
01.06,541,"Professional, Scientific, and Technical Services",17720,0.007838904322899156
01.06,424,"Merchant Wholesalers, Nondurable Goods",16960,0.007502698494151788
01.06,423,"Merchant Wholesalers, Durable Goods",16130,0.007135526339072426
01.06,532,Rental and Leasing Services,15900,0.0070337798382673015
01.06,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",13400,0.005927839612124644
01.06,722,Food Services and Drinking Places,11150,0.004932493408596252
01.06,238,Specialty Trade Contractors,11050,0.004888255799550546
01.06,624,Social Assistance,8050,0.003561127528179357
01.06,551,Management of Companies and Enterprises,7600,0.0033620582874736788
01.06,711,"Performing Arts, Spectator Sports, and Related Industries",7200,0.0031851078512908533
01.06,712,"Museums, Historical Sites, and Similar Institutions",6020,0.002663104064551519
01.06,311,Food Manufacturing,5440,0.0024065259320864224
01.06,811,Repair and Maintenance,5210,0.0023047794312812983
01.06,522,Credit Intermediation and Related Activities,4730,0.002092438907861908
01.06,236,Construction of Buildings,3580,0.0015837064038362854
01.06,622,Hospitals,3170,0.0014023322067488896
01.06,623,Nursing and Residential Care Facilities,3070,0.0013580945977031834
01.06,113,Forestry and Logging,2800,0.0012386530532797764
01.06,312,Beverage and Tobacco Product Manufacturing,2580,0.0011413303133792224
01.06,237,Heavy and Civil Engineering Construction,2540,0.00112363526976094
01.06,517,Telecommunications,2410,0.0010661263780015217
01.06,221,Utilities,1930,0.0008537858545821315
01.06,493,Warehousing and Storage,1710,0.0007564631146815777
01.06,621,Ambulatory Health Care Services,1470,0.0006502928529718826
01.06,425,Wholesale Trade Agents and Brokers,1140,0.0005043087431210518
01.06,488,Support Activities for Transportation,880,0.00038929095960221543
01.06,512,Motion Picture and Sound Recording Industries,830,0.00036717215507936225
01.06,327,Nonmetallic Mineral Product Manufacturing,580,0.00025657813246509655
01.06,484,Truck Transportation,550,0.00024330684975138465
01.06,321,Wood Product Manufacturing,510,0.00022561180613310213
01.06,325,Chemical Manufacturing,460,0.00020349300161024897
01.06,562,Waste Management and Remediation Services,430,0.00019022171889653707
01.06,339,Miscellaneous Manufacturing,420,0.00018579795799196646
01.06,332,Fabricated Metal Product Manufacturing,350,0.00015483163165997204
01.06,323,Printing and Related Support Activities,270,0.000119441544423407
01.06,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",250,0.00011059402261426574
01.06,336,Transportation Equipment Manufacturing,220,9.732273990055386e-05
01.06,485,Transit and Ground Passenger Transportation,190,8.405145718684197e-05
01.06,315,Apparel Manufacturing,170,7.52039353777007e-05
01.06,482,Rail Transportation,160,7.078017447313007e-05
01.06,337,Furniture and Related Product Manufacturing,140,6.193265266398882e-05
01.06,487,Scenic and Sightseeing Transportation,140,6.193265266398882e-05
01.06,333,Machinery Manufacturing,130,5.7508891759418186e-05
01.06,524,Insurance Carriers and Related Activities,130,5.7508891759418186e-05
01.06,326,Plastics and Rubber Products Manufacturing,120,5.308513085484756e-05
01.06,516,Broadcasting and Content Providers,110,4.866136995027693e-05
01.06,212,Mining (except Oil and Gas),100,4.42376090457063e-05
01.06,213,Support Activities for Mining,100,4.42376090457063e-05
01.06,513,Publishing Industries,100,4.42376090457063e-05
01.06,314,Textile Product Mills,40,1.7695043618282518e-05
01.06,316,Leather and Allied Product Manufacturing,30,1.327128271371189e-05
01.06,334,Computer and Electronic Product Manufacturing,30,1.327128271371189e-05
01.07,611,Educational Services,9060,0.39789196310935443
01.07,311,Food Manufacturing,6290,0.27624066754501536
01.07,541,"Professional, Scientific, and Technical Services",2870,0.12604303908651734
01.07,551,Management of Companies and Enterprises,2230,0.09793588054457619
01.07,424,"Merchant Wholesalers, Nondurable Goods",820,0.036012296881862096
01.07,312,Beverage and Tobacco Product Manufacturing,730,0.032059727711901624
01.07,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",230,0.010101010101010102
01.07,115,Support Activities for Agriculture and Forestry,190,0.00834431269213878
01.07,325,Chemical Manufacturing,130,0.005709266578831796
01.07,561,Administrative and Support Services,100,0.004391743522178305
01.07,445,Food and Beverage Retailers,90,0.003952569169960474
01.07,493,Warehousing and Storage,30,0.0013175230566534915
01.08,516,Broadcasting and Content Providers,26300,0.21771523178807947
01.08,513,Publishing Industries,16320,0.13509933774834437
01.08,611,Educational Services,16160,0.1337748344370861
01.08,532,Rental and Leasing Services,13030,0.10786423841059603
01.08,512,Motion Picture and Sound Recording Industries,9870,0.08170529801324504
01.08,711,"Performing Arts, Spectator Sports, and Related Industries",9310,0.07706953642384105
01.08,541,"Professional, Scientific, and Technical Services",7180,0.05943708609271523
01.08,561,Administrative and Support Services,6350,0.05256622516556291
01.08,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",4260,0.03526490066225166
01.08,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",2120,0.017549668874172187
01.08,721,Accommodation,1750,0.014486754966887417
01.08,238,Specialty Trade Contractors,1430,0.01183774834437086
01.08,713,"Amusement, Gambling, and Recreation Industries",1120,0.009271523178807948
01.08,712,"Museums, Historical Sites, and Similar Institutions",650,0.005380794701986755
01.08,722,Food Services and Drinking Places,630,0.0052152317880794705
01.08,551,Management of Companies and Enterprises,520,0.004304635761589404
01.08,334,Computer and Electronic Product Manufacturing,460,0.0038079470198675498
01.08,518,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",450,0.0037251655629139072
01.08,517,Telecommunications,440,0.003642384105960265
01.08,519,"Web Search Portals, Libraries, Archives, and Other Information Services",430,0.0035596026490066226
01.08,622,Hospitals,400,0.0033112582781456954
01.08,423,"Merchant Wholesalers, Durable Goods",390,0.003228476821192053
01.08,531,Real Estate,280,0.002317880794701987
01.08,459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",170,0.0014072847682119205
01.08,624,Social Assistance,170,0.0014072847682119205
01.08,524,Insurance Carriers and Related Activities,130,0.001076158940397351
01.08,424,"Merchant Wholesalers, Nondurable Goods",100,0.0008278145695364238
01.08,522,Credit Intermediation and Related Activities,100,0.0008278145695364238
01.08,621,Ambulatory Health Care Services,70,0.0005794701986754967
01.08,312,Beverage and Tobacco Product Manufacturing,50,0.0004139072847682119
01.08,623,Nursing and Residential Care Facilities,40,0.00033112582781456954
01.08,333,Machinery Manufacturing,30,0.00024834437086092715
01.08,336,Transportation Equipment Manufacturing,30,0.00024834437086092715
01.08,521,Monetary Authorities-Central Bank,30,0.00024834437086092715
01.08,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",30,0.00024834437086092715
01.09,611,Educational Services,22190,0.3267560005890149
01.09,115,Support Activities for Agriculture and Forestry,16420,0.24179060521278162
01.09,541,"Professional, Scientific, and Technical Services",7230,0.10646443822706524
01.09,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",5050,0.07436312766897364
01.09,424,"Merchant Wholesalers, Nondurable Goods",4840,0.07127079958768959
01.09,113,Forestry and Logging,2800,0.04123104108378737
01.09,311,Food Manufacturing,1910,0.028125460167869237
01.09,561,Administrative and Support Services,1270,0.018701222205860697
01.09,551,Management of Companies and Enterprises,1170,0.017228685024296864
01.09,312,Beverage and Tobacco Product Manufacturing,920,0.013547342070387278
01.09,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",890,0.013105580915918126
01.09,459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",590,0.008687969371226623
01.09,713,"Amusement, Gambling, and Recreation Industries",520,0.00765719334413194
01.09,445,Food and Beverage Retailers,310,0.004564865262847887
01.09,624,Social Assistance,310,0.004564865262847887
01.09,321,Wood Product Manufacturing,260,0.00382859667206597
01.09,325,Chemical Manufacturing,250,0.003681342953909586
01.09,721,Accommodation,220,0.0032395817994404358
01.09,712,"Museums, Historical Sites, and Similar Institutions",150,0.002208805772345752
01.09,493,Warehousing and Storage,140,0.002061552054189368
01.09,237,Heavy and Civil Engineering Construction,70,0.001030776027094684
01.09,423,"Merchant Wholesalers, Durable Goods",70,0.001030776027094684
01.09,444,Building Material and Garden Equipment and Supplies Dealers,70,0.001030776027094684
01.09,484,Truck Transportation,70,0.001030776027094684
01.09,456,Health and Personal Care Retailers,60,0.0008835223089383007
01.09,623,Nursing and Residential Care Facilities,50,0.0007362685907819172
01.09,213,Support Activities for Mining,40,0.0005890148726255338
01.09,711,"Performing Arts, Spectator Sports, and Related Industries",40,0.0005890148726255338
01.10,311,Food Manufacturing,168240,0.5420626993588298
01.10,312,Beverage and Tobacco Product Manufacturing,30480,0.09820536778683507
01.10,115,Support Activities for Agriculture and Forestry,17130,0.055192189966813805
01.10,611,Educational Services,13430,0.04327093469085285
01.10,424,"Merchant Wholesalers, Nondurable Goods",12840,0.041369977768469894
01.10,722,Food Services and Drinking Places,12030,0.03876018945130006
01.10,541,"Professional, Scientific, and Technical Services",11780,0.03795469922995135
01.10,561,Administrative and Support Services,11230,0.03618262074298418
01.10,325,Chemical Manufacturing,8750,0.02819215774720495
01.10,999,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",5400,0.017398588781132197
01.10,445,Food and Beverage Retailers,4050,0.013048941585849148
01.10,551,Management of Companies and Enterprises,3810,0.012275670973354384
01.10,113,Forestry and Logging,2800,0.009021490479105583
01.10,459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",1300,0.004188549151013307
01.10,493,Warehousing and Storage,870,0.0028031059702935206
01.10,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",780,0.002513129490607984
01.10,712,"Museums, Historical Sites, and Similar Institutions",760,0.002448690272900087
01.10,713,"Amusement, Gambling, and Recreation Industries",700,0.002255372619776396
01.10,212,Mining (except Oil and Gas),660,0.002126494184360602
01.10,322,Paper Manufacturing,450,0.001449882398427683
01.10,321,Wood Product Manufacturing,300,0.0009665882656184554
01.10,721,Accommodation,290,0.0009343686567645069
01.10,444,Building Material and Garden Equipment and Supplies Dealers,270,0.0008699294390566098
01.10,562,Waste Management and Remediation Services,260,0.0008377098302026613
01.10,624,Social Assistance,260,0.0008377098302026613
01.10,331,Primary Metal Manufacturing,240,0.0007732706124947643
01.10,455,General Merchandise Retailers,170,0.0005477333505171248
01.10,423,"Merchant Wholesalers, Durable Goods",160,0.0005155137416631762
01.10,333,Machinery Manufacturing,110,0.00035441569739343365
01.10,237,Heavy and Civil Engineering Construction,100,0.0003221960885394851
01.10,221,Utilities,90,0.00028997647968553663
01.10,327,Nonmetallic Mineral Product Manufacturing,90,0.00028997647968553663
01.10,324,Petroleum and Coal Products Manufacturing,80,0.0002577568708315881
01.10,332,Fabricated Metal Product Manufacturing,80,0.0002577568708315881
01.10,339,Miscellaneous Manufacturing,70,0.00022553726197763958
01.10,484,Truck Transportation,70,0.00022553726197763958
01.10,456,Health and Personal Care Retailers,60,0.00019331765312369107
01.10,425,Wholesale Trade Agents and Brokers,50,0.00016109804426974256
01.10,623,Nursing and Residential Care Facilities,50,0.00016109804426974256
