cip4,cip4_title,weighted_annual_median,weighted_annual_pct25,weighted_annual_pct75,weighted_employment_change_percent,total_employment_routing,n_routing_socs,n_socs_with_wage_data,n_socs_with_projection_data
04.08,"Architectural History and Criticism, General",96467.91896272285,75724.00972447326,123057.90437601297,3.716320907617504,123400.0,3.0,3.0,3.0
04.09,Architectural Technology/Technician,131454.37281541593,106034.3485000456,162530.55864563386,3.849995440868059,329010.0,3.0,3.0,3.0
04.10,Real Estate Development,65322.56842034784,47536.81156994359,94908.60347165263,3.3453825680855696,597410.0,5.0,5.0,5.0
05.01,African Studies,84290.0,64320.0,107810.0,2.4,11430.0,1.0,1.0,1.0
05.02,Ethnic Studies,63823.94042290477,48424.830992437106,84922.60379688223,1.8234912795184441,64790.0,2.0,2.0,2.0
05.99,"Area, Ethnic, Cultural, Gender, and Group Studies, Other",84290.0,64320.0,107810.0,2.4,11430.0,1.0,1.0,1.0
09.01,"Communication, General",78736.04472709117,58024.16563740047,108611.3686174546,3.151942028223793,761060.0,10.0,10.0,10.0
09.04,Journalism,64949.37565744694,46360.929707320094,91587.38970360745,0.6249211063671802,323220.0,8.0,8.0,8.0
09.07,Radio and Television,114833.07927212285,83067.02074817113,156546.11428405764,4.1343915190521745,1034790.0,8.0,8.0,8.0
09.09,"Public Relations, Advertising, and Applied Communication",84666.33131481954,63164.96273752877,115590.4261329974,5.816225216708989,1618530.0,17.0,16.0,17.0
09.10,Publishing,75260.0,50210.0,101210.0,0.6,95480.0,1.0,1.0,1.0
09.99,"Communication, Journalism, and Related Programs, Other",74862.40176191028,52622.86078590472,100751.92187318882,1.6854874232062131,172540.0,3.0,3.0,3.0
10.01,Communications Technology/Technician,66355.76576576577,47270.39616539617,95610.48394548394,1.1310233310233313,86580.0,4.0,4.0,4.0
10.02,Photographic and Film/Video Technology/Technician,61241.361140384935,45539.10643962505,86567.92722835433,1.4618805051469808,188460.0,8.0,7.0,8.0
10.03,"Graphic Communications, General",46607.795509150776,38589.32933883072,56910.848040815115,-14.941980838252306,337130.0,6.0,6.0,6.0
11.01,"Computer and Information Sciences, General",126285.26956622291,96611.7928396907,162320.39274846838,13.241217282560049,4669910.0,14.0,14.0,14.0
11.02,"Computer Programming/Programmer, General",121459.38936099202,92921.0181167792,155978.01541252685,12.539628422034522,2337060.0,7.0,7.0,7.0
11.03,Data Processing and Data Processing Technology/Technician,108970.0,76360.0,147530.0,8.2,439380.0,1.0,1.0,1.0
11.04,Information Science/Studies,136190.79634063155,104113.73537121993,174755.5864218171,13.995224831810825,2990680.0,7.0,7.0,7.0
11.05,Computer Systems Analysis/Analyst,105430.66573386687,81897.34348124449,134687.52885292363,8.425909256998226,1122070.0,6.0,6.0,6.0
11.06,"Data Entry/Microcomputer Applications, General",41532.56377327652,35917.95108283229,49098.2009223046,-28.04526881092756,171310.0,2.0,2.0,2.0
11.07,Computer Science,128284.52123000205,97565.71632055615,165539.64050038974,14.468107136418917,3938530.0,13.0,13.0,13.0
11.08,"Web Page, Digital/Multimedia and Information Resources Design",127740.53339777328,98003.18211555577,164025.289802967,13.707841241962196,3393340.0,13.0,13.0,13.0
11.09,Computer Systems Networking and Telecommunications,131599.21229925138,101864.65289004805,167254.95482275536,13.69623851557263,3550460.0,10.0,10.0,10.0
11.10,Network and System Administration/Administrator,111547.65956794919,84453.95787603105,144679.93563664137,5.984457813659214,4569370.0,13.0,13.0,13.0
12.03,"Funeral Service and Mortuary Science, General",57686.28457623368,45070.48683337022,75173.64018588183,3.2671608763000664,45190.0,4.0,4.0,4.0
12.04,"Cosmetology/Cosmetologist, General",38243.212525325835,31914.29647101515,49608.91166953945,6.192216275061235,661380.0,8.0,8.0,8.0
12.05,"Cooking and Related Culinary Arts, General",41398.41223519018,34101.970906964045,51695.5149974539,7.976203262690114,4889830.0,13.0,13.0,13.0
12.06,"Casino Operations and Services, General",39939.107575757575,30993.919696969697,51201.10151515152,-0.4786212121212121,132000.0,4.0,4.0,4.0
12.99,"Culinary, Entertainment, and Personal Services, Other",37320.0,33860.0,45700.0,2.3,44200.0,1.0,1.0,1.0
13.01,"Education, General",72090.0,50630.0,96260.0,2.1,59090.0,1.0,1.0,1.0
13.02,Bilingual and Multilingual Education,60334.74184378451,50710.71196331158,77247.1549402882,-1.160565121686881,3866070.0,8.0,8.0,8.0
13.03,Curriculum and Instruction,74144.29169445061,57261.53478550789,95103.97273468178,1.475120397125287,269940.0,2.0,2.0,2.0
13.04,"Educational Leadership and Administration, General",99250.77226860472,77981.35924079524,129949.47789657036,0.053324523995435164,665960.0,5.0,5.0,5.0
13.05,Educational/Instructional Technology,67991.10228541364,52006.90962286184,90578.32090749271,6.690197487456531,779290.0,3.0,3.0,3.0
13.06,Educational Evaluation and Research,95108.40472514153,71758.79729707293,125796.8136009696,7.141888728395677,1204620.0,8.0,8.0,8.0
13.09,Social and Philosophical Foundations of Education,72090.0,50630.0,96260.0,2.1,59090.0,1.0,1.0,1.0
13.10,"Special Education and Teaching, General",66995.76727305927,54657.95690579991,86064.7725457077,-0.32870511971879207,438110.0,6.0,6.0,6.0
13.11,Counselor Education/School Counseling and Guidance Services,60083.673910998215,48223.027566092765,76497.62301251294,3.558432119672594,425160.0,2.0,2.0,2.0
13.12,Adult and Continuing Education and Teaching,60462.82707606772,49705.94583358704,79022.38163826209,0.34493662248332363,4762730.0,11.0,11.0,11.0
13.13,Agricultural Teacher Education,65822.03846991714,53114.057817832676,87639.94023365957,1.0760464656570465,4957640.0,30.0,30.0,30.0
13.14,Teaching English as a Second or Foreign Language/ESL Language Instructor,59998.21845370821,50848.17869238478,76401.07689633539,-1.2489004527467633,3681970.0,6.0,6.0,6.0
13.15,Teacher Assistant/Aide,48010.72962636069,34694.55918407375,65470.8146186787,0.5090680265437547,305910.0,3.0,3.0,3.0
13.99,"Education, Other",67065.15480717002,47961.39978272678,94168.57794676805,0.6061271048343292,184100.0,2.0,2.0,2.0
14.01,"Engineering, General",142814.19775561098,110980.50698254364,179659.04713216957,3.5888728179551124,401000.0,3.0,3.0,3.0
14.02,"Aerospace, Aeronautical, and Astronautical/Space Engineering, General",146765.40025813854,116712.55872651657,183463.90592284527,5.119211243367274,348650.0,5.0,5.0,5.0
14.03,Agricultural Engineering,157424.1225737308,125670.83396181479,195303.8328107014,4.495197078553566,251930.0,3.0,3.0,3.0
14.04,Architectural Engineering,141895.03291719497,110249.10782210085,178539.41553691603,3.553540427192041,410120.0,4.0,4.0,4.0
14.05,Bioengineering and Biomedical Engineering,153818.70493550404,123002.10429605674,190908.51346881775,4.5431443166366545,272110.0,3.0,3.0,3.0
14.06,Ceramic Sciences and Engineering,151564.0473836714,120957.85034941196,188426.84847451848,4.449326742798704,293350.0,4.0,4.0,4.0
14.07,Chemical Engineering,140084.0138541032,109094.086734809,176130.2687335003,3.6229788578262143,443190.0,5.0,5.0,5.0
14.08,"Civil Engineering, General",121913.19802463114,95288.35824899403,154991.0309718327,4.138023411779051,820100.0,7.0,7.0,7.0
14.09,"Computer Engineering, General",133699.02175079894,103949.64367996433,168909.78670344097,13.411884491201414,2421980.0,7.0,7.0,7.0
14.10,Electrical and Electronics Engineering,134495.47784703097,104175.42977243078,169305.08841861138,5.255617963956129,827880.0,7.0,7.0,7.0
14.11,Engineering Mechanics,125930.2322030941,98813.75959637083,159074.73290101197,5.8867250203559385,687760.0,4.0,4.0,4.0
14.12,Engineering Physics/Applied Physics,147312.45293476808,111847.7131553296,187685.86169989104,3.6270656141893314,523210.0,5.0,5.0,5.0
14.13,Engineering Science,142814.19775561098,110980.50698254364,179659.04713216957,3.5888728179551124,401000.0,3.0,3.0,3.0
14.14,Environmental/Environmental Health Engineering,147765.83873868088,117573.41628668678,183529.24314430673,4.407989210712222,311420.0,4.0,4.0,4.0
14.18,Materials Engineering,119588.0146178053,94741.5939498528,150341.55760836464,0.6706446046086691,492550.0,4.0,4.0,4.0
14.19,Mechanical Engineering,115161.46609614778,91318.8493054377,145704.6484763267,3.912260903294625,824980.0,5.0,5.0,5.0
14.20,Metallurgical Engineering,153775.91202109735,122813.31843820965,191117.72141235074,4.587033916929163,273020.0,3.0,3.0,3.0
14.21,Mining and Mineral Engineering,156414.23313360827,124990.31826317018,194177.21422457395,4.386047778383006,257020.0,3.0,3.0,3.0
14.22,Naval Architecture and Marine Engineering,156208.34048475008,124949.32931307743,193889.90142641772,4.52864432332135,258690.0,3.0,3.0,3.0
14.23,Nuclear Engineering,156222.2181969131,124890.51737801426,193785.80097362163,4.17505943620514,264990.0,3.0,3.0,3.0
14.24,Ocean Engineering,142814.19775561098,110980.50698254364,179659.04713216957,3.5888728179551124,401000.0,3.0,3.0,3.0
14.25,Petroleum Engineering,156740.81568977045,124851.12881658123,195577.7520243667,4.2612881658123465,269220.0,3.0,3.0,3.0
14.27,Systems Engineering,124385.02463235294,98258.83039215686,156455.65919117647,7.175449754901961,816000.0,5.0,5.0,5.0
14.28,Textile Sciences and Engineering,153775.91202109735,122813.31843820965,191117.72141235074,4.587033916929163,273020.0,3.0,3.0,3.0
14.32,Polymer/Plastics Engineering,151564.0473836714,120957.85034941196,188426.84847451848,4.449326742798704,293350.0,4.0,4.0,4.0
14.33,Construction Engineering,112284.5177982253,87751.72356907187,142949.97715023466,2.3507203311678997,975940.0,5.0,5.0,5.0
14.34,Forest Engineering,142814.19775561098,110980.50698254364,179659.04713216957,3.5888728179551124,401000.0,3.0,3.0,3.0
14.35,Industrial Engineering,123856.75466545289,98747.98852502216,156093.50214407206,6.492603550295858,834860.0,4.0,4.0,4.0
14.36,Manufacturing Engineering,112911.46380155755,88925.17460546376,142735.97202192096,4.501258807532243,970760.0,5.0,5.0,5.0
14.37,Operations Research,122036.23642069686,88177.7255170194,162902.50502937153,12.124124889353826,248540.0,3.0,3.0,3.0
14.38,Surveying Engineering,133082.04146764625,103137.3185254996,167790.85269989504,3.7581039689849423,466870.0,5.0,5.0,5.0
14.39,Geological/Geophysical Engineering,142120.30973342815,110483.41981999656,178832.25862618632,3.5409103170905167,407770.0,4.0,4.0,4.0
14.40,Paper Science and Engineering,141803.11655946646,110259.59817720077,178338.43685472195,3.541157762324069,421330.0,4.0,4.0,4.0
14.41,Electromechanical Engineering,122910.57600821402,96396.40339969198,155317.51297701214,6.1695761793394555,876550.0,5.0,5.0,5.0
14.42,"Mechatronics, Robotics, and Automation Engineering",142814.19775561098,110980.50698254364,179659.04713216957,3.5888728179551124,401000.0,3.0,3.0,3.0
14.43,Biochemical Engineering,141803.11655946646,110259.59817720077,178338.43685472195,3.541157762324069,421330.0,4.0,4.0,4.0
14.44,Engineering Chemistry,141803.11655946646,110259.59817720077,178338.43685472195,3.541157762324069,421330.0,4.0,4.0,4.0
14.45,Biological/Biosystems Engineering,140960.1766542118,109721.6929953176,177276.44634157876,3.6721609989121693,422860.0,4.0,4.0,4.0
14.47,Electrical and Computer Engineering,135435.83230653644,104859.2102178813,169521.75116453794,5.035475582268971,665500.0,5.0,5.0,5.0
14.48,"Energy Systems Engineering, General",142814.19775561098,110980.50698254364,179659.04713216957,3.5888728179551124,401000.0,3.0,3.0,3.0
14.99,"Engineering, Other",140999.47786525858,109580.33873933337,177277.546791759,3.6332704728678515,424220.0,4.0,4.0,4.0
15.00,"Engineering Technologies/Technicians, General",71577.25726927939,56987.4876738306,88619.77054361568,1.5709386852085967,316400.0,6.0,6.0,6.0
15.01,Architectural Engineering Technologies/Technicians,67835.6131136431,54437.993561777286,84499.48578931764,2.864344106061248,236090.0,3.0,3.0,3.0
15.02,Civil Engineering Technologies/Technicians,63578.02897719122,51181.96958829436,78998.7075025104,2.2739779084779803,69710.0,2.0,2.0,2.0
15.03,"Electrical, Electronic, and Communications Engineering Technology/Technician",77557.25791747592,60845.45205913829,96558.21554560229,1.2948168624740843,260460.0,9.0,8.0,9.0
15.04,Biomedical Technology/Technician,72430.07023230685,56661.40068431479,90448.36124617324,3.3579974788402667,277650.0,7.0,7.0,7.0
15.05,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician",59730.937450216516,47874.77110457791,74783.0986690611,3.925497834870889,690490.0,6.0,6.0,6.0
15.06,Plastics and Polymer Engineering Technology/Technician,58492.19274231128,49739.08667287978,71956.05705382106,2.2721939072693385,686720.0,5.0,5.0,5.0
15.07,Occupational Safety and Health Technology/Technician,55156.410624036704,44496.598802824476,69398.57844367181,2.404503148260989,836970.0,5.0,5.0,5.0
15.08,Aeronautical/Aerospace Engineering Technology/Technician,54179.32630692359,42176.16339817207,70380.18848382066,3.375211418295223,878590.0,7.0,7.0,7.0
15.09,Mining Technology/Technician,69620.04025344763,55743.01229966455,86653.94334699963,-0.08333954528512859,134150.0,4.0,4.0,4.0
15.10,Construction Engineering Technology/Technician,92338.39664121653,72107.57821552723,119600.36556135812,3.5538945062620035,629990.0,3.0,3.0,3.0
15.11,Surveying Technology/Surveying,68040.27572153373,53908.098644265156,85846.92006986609,2.315536887632039,240460.0,6.0,6.0,6.0
15.12,Computer Engineering Technology/Technician,124293.58145981342,96047.02285937876,158023.1176722939,13.02601462359103,2121230.0,5.0,5.0,5.0
15.13,"Drafting and Design Technology/Technician, General",66012.92592193228,54126.38936812594,81988.22298900152,-0.17670907914599987,185480.0,4.0,4.0,4.0
15.14,Nuclear Engineering Technology/Technician,79674.53835227272,61710.563920454544,99117.109375,0.717215909090909,70400.0,2.0,2.0,2.0
15.15,Engineering/Industrial Management,110601.1552236742,86230.68381386988,142608.00871188552,4.74597109866556,1446300.0,10.0,10.0,10.0
15.16,Nanotechnology,117750.0,85750.0,152670.0,2.1,150750.0,1.0,1.0,1.0
15.17,Energy Systems Technology/Technician,79524.90847169008,63347.61387824606,96488.5892933163,9.187617071094083,187920.0,6.0,6.0,6.0
16.01,"Foreign Languages and Literatures, General",66290.08016853887,58016.867878709905,85526.21961515884,-1.3608830600741377,1243630.0,5.0,5.0,5.0
16.02,"African Languages, Literatures, and Linguistics",64430.700389105055,49215.36964980545,86172.4513618677,1.1603112840466927,74530.0,2.0,2.0,2.0
16.03,"East Asian Languages, Literatures, and Linguistics, General",64570.29937144202,57242.22017836749,83215.47786970281,-1.420650875709416,1147070.0,3.0,3.0,3.0
16.04,"Slavic Languages, Literatures, and Linguistics, General",64570.29937144202,57242.22017836749,83215.47786970281,-1.420650875709416,1147070.0,3.0,3.0,3.0
16.05,"Germanic Languages, Literatures, and Linguistics, General",64570.29937144202,57242.22017836749,83215.47786970281,-1.420650875709416,1147070.0,3.0,3.0,3.0
16.06,Modern Greek Language and Literature,64430.700389105055,49215.36964980545,86172.4513618677,1.1603112840466927,74530.0,2.0,2.0,2.0
16.07,"South Asian Languages, Literatures, and Linguistics, General",64430.700389105055,49215.36964980545,86172.4513618677,1.1603112840466927,74530.0,2.0,2.0,2.0
16.08,"Iranian Languages, Literatures, and Linguistics",64430.700389105055,49215.36964980545,86172.4513618677,1.1603112840466927,74530.0,2.0,2.0,2.0
16.09,"Romance Languages, Literatures, and Linguistics, General",64570.29937144202,57242.22017836749,83215.47786970281,-1.420650875709416,1147070.0,3.0,3.0,3.0
16.10,"American Indian/Native American Languages, Literatures, and Linguistics",64570.29937144202,57242.22017836749,83215.47786970281,-1.420650875709416,1147070.0,3.0,3.0,3.0
16.11,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, General",64570.29937144202,57242.22017836749,83215.47786970281,-1.420650875709416,1147070.0,3.0,3.0,3.0
16.12,"Classics and Classical Languages, Literatures, and Linguistics, General",64570.29937144202,57242.22017836749,83215.47786970281,-1.420650875709416,1147070.0,3.0,3.0,3.0
16.13,"Celtic Languages, Literatures, and Linguistics",64430.700389105055,49215.36964980545,86172.4513618677,1.1603112840466927,74530.0,2.0,2.0,2.0
16.14,"Southeast Asian Languages, Literatures, and Linguistics, General",64570.29937144202,57242.22017836749,83215.47786970281,-1.420650875709416,1147070.0,3.0,3.0,3.0
16.15,Turkish Language and Literature,64430.700389105055,49215.36964980545,86172.4513618677,1.1603112840466927,74530.0,2.0,2.0,2.0
16.16,American Sign Language (ASL),66194.55028492222,57038.92538117973,87800.64569536423,-1.0448421376867396,1298600.0,4.0,4.0,4.0
16.18,Armenian Language and Literature,64430.700389105055,49215.36964980545,86172.4513618677,1.1603112840466927,74530.0,2.0,2.0,2.0
16.99,"Foreign Languages, Literatures, and Linguistics, Other",64570.29937144202,57242.22017836749,83215.47786970281,-1.420650875709416,1147070.0,3.0,3.0,3.0
19.01,"Family and Consumer Sciences/Human Sciences, General",64549.70914752679,57686.30192642547,82918.63860405554,-1.596392213224252,1085430.0,3.0,3.0,3.0
19.02,Business Family and Consumer Sciences/Human Sciences,87268.60381570332,63249.27367700458,118716.48758854694,2.1234371093517472,3359800.0,9.0,9.0,9.0
19.04,"Family Resource Management Studies, General",100315.43494371316,69601.32794579524,168117.48491371705,9.104351201609203,283370.0,3.0,3.0,3.0
19.05,"Foods, Nutrition, and Wellness Studies, General",44815.35458247449,37454.153034035495,54240.626011764114,5.072296013272334,1989100.0,6.0,6.0,6.0
19.06,"Housing and Human Environments, General",78141.6651313402,60115.818049856236,100839.21754180275,3.8760182005973816,358230.0,5.0,5.0,5.0
19.07,"Human Development and Family Studies, General",41466.55047463509,34687.77138409717,49879.988644483004,2.255823211187098,1567520.0,8.0,8.0,8.0
19.09,"Apparel and Textiles, General",100113.6637294314,71454.50190712065,133608.8749090535,6.29821561119726,1360690.0,8.0,8.0,8.0
19.10,Work and Family Studies,75332.077342588,59200.55032226078,104625.90480912245,1.9216658403569657,20170.0,2.0,2.0,2.0
22.00,Legal Studies,61895.66087795466,48506.55233960444,81157.54076218042,0.04000964785335263,414600.0,2.0,2.0,2.0
22.01,Law,147718.17203397964,97311.86288155116,209179.9574054521,3.8819495104626602,833440.0,6.0,6.0,6.0
22.02,"Advanced Legal Research/Studies, General",150434.76737395368,99309.65154759587,214181.98559470507,4.043780416585555,770550.0,2.0,2.0,2.0
22.03,Legal Administrative Assistant/Secretary,59562.36923752378,46711.251719596075,78465.34289477536,-1.0192902092785014,683300.0,6.0,6.0,6.0
23.01,"English Language and Literature, General",65227.57265077509,57816.58732601184,84002.05479692954,-1.5116285204301454,1137290.0,3.0,3.0,3.0
23.13,"Writing, General",78398.39191500639,56144.69536726975,108736.58917343226,1.3226119636705294,415090.0,6.0,6.0,6.0
23.14,General Literature,75439.64164243112,53652.50160201114,101269.27342633213,1.130615665204318,202870.0,3.0,3.0,3.0
23.99,"English Language and Literature/Letters, Other",78270.0,59780.0,103730.0,0.0,59590.0,1.0,1.0,1.0
24.01,Liberal Arts and Sciences/Liberal Studies,78490.0,55500.0,122510.0,1.8,151530.0,1.0,1.0,1.0
25.01,Library and Information Science,123257.1141919479,90972.9842627526,161063.62331386635,4.008748514135098,773960.0,4.0,4.0,4.0
25.03,Library and Archives Assisting,39970.0,33510.0,49740.0,-6.8,73770.0,1.0,1.0,1.0
26.01,"Biology/Biological Sciences, General",75310.2998405509,63018.0376960557,98433.0900728638,0.7304630376642929,1574170.0,10.0,10.0,10.0
26.02,Biochemistry,100941.8175990676,75980.61324786325,134934.04331779332,5.4573873348873345,514800.0,8.0,8.0,8.0
26.03,Botany/Plant Biology,119171.16651477672,86525.50752940156,161507.11886473116,4.006579004469904,230430.0,4.0,4.0,4.0
26.04,Cell/Cellular Biology and Histology,103114.64167273315,75980.84081533608,148649.61403650677,9.30344711369948,741780.0,9.0,9.0,9.0
26.05,"Microbiology, General",109033.46018799036,81083.47463683679,154115.46049871825,15.456026567233746,1287300.0,10.0,10.0,10.0
26.07,Zoology/Animal Biology,102527.78099954389,76304.99804522056,137421.05981625072,3.6728122760148563,306940.0,5.0,5.0,5.0
26.08,"Genetics, General",102942.1714870062,77395.7350554654,137759.86594935865,5.541457884089545,449830.0,6.0,6.0,6.0
26.09,"Physiology, General",109435.50756443781,79777.30014942099,158969.82271821692,10.03116517245673,642480.0,7.0,7.0,7.0
26.10,Pharmacology,98555.55239529307,72887.7281802465,139567.58418381575,9.577284033238525,896550.0,10.0,10.0,10.0
26.11,Biometry/Biometrics,106842.74890687379,77510.30940224328,149570.7158279243,12.898964585426794,1472840.0,13.0,13.0,13.0
26.12,Biotechnology,122878.95010054717,88743.87457325913,166428.7490062199,3.898405275218632,213830.0,3.0,3.0,3.0
26.13,Ecology,101389.77448844076,74964.72787756102,145803.93014170224,9.077527495906237,775570.0,13.0,13.0,13.0
26.14,Molecular Medicine,117340.01868436312,86961.36266993106,158706.04954577668,6.83510727401585,310420.0,3.0,3.0,3.0
26.15,Neuroscience,102973.88174404015,77319.7322548844,137952.85512636675,5.511899533966661,446320.0,5.0,5.0,5.0
26.99,"Biological and Biomedical Sciences, Other",121717.84716255935,88002.31290978973,165015.10196699074,3.891838118923807,221150.0,4.0,4.0,4.0
27.01,"Mathematics, General",79982.14185680303,66043.1690287131,105321.78550608101,4.596821791134787,1492350.0,7.0,7.0,7.0
27.03,"Applied Mathematics, General",106646.25938612143,79537.0731521148,142877.40356267116,11.437120857941588,1048090.0,12.0,12.0,12.0
27.05,"Statistics, General",119273.0396046187,87002.504155493,161790.87963475985,20.24591431927484,451210.0,7.0,7.0,7.0
27.06,"Applied Statistics, General",107232.0142379495,80193.31776988435,142733.27971762393,12.661523281877146,1342890.0,7.0,7.0,7.0
27.99,"Mathematics and Statistics, Other",120556.84777313402,87706.09292069434,164212.82326094204,21.340045127048025,390010.0,5.0,5.0,5.0
29.02,"Intelligence, General",99739.53163962271,75079.50453543421,126573.32333489935,1.6203968053196487,276710.0,3.0,3.0,3.0
29.03,Combat Systems Engineering,77390.0,59700.0,97760.0,1.5,64410.0,1.0,1.0,1.0
29.04,Aerospace Ground Equipment Technology,77690.89015924868,60300.54716210698,98309.98775010208,2.313883217639853,73470.0,2.0,2.0,2.0
30.01,Biological and Physical Sciences,73525.17812127342,61823.93368756321,97562.43988407022,-0.8076524219964678,1324940.0,3.0,3.0,3.0
30.05,Peace Studies and Conflict Resolution,82172.33703401915,60145.36820126299,122660.43236911795,1.2411030759828885,196360.0,3.0,3.0,3.0
30.06,Systems Science and Theory,125306.90815452837,91390.812641372,168214.1397554025,3.977155563507176,782510.0,2.0,2.0,2.0
30.08,Mathematics and Computer Science,135552.4881555508,103408.75971244836,174643.81245972888,15.1851255827469,3166040.0,9.0,9.0,9.0
30.10,Biopsychology,111765.5262210797,83585.67300771209,150207.05886889462,5.677894601542416,389000.0,5.0,5.0,5.0
30.11,Gerontology,102471.04711921896,75302.09859284044,154510.03552275748,12.150666911124352,436340.0,4.0,4.0,4.0
30.12,"Historic Preservation and Conservation, General",121087.83246228391,88940.86773449567,161725.09257104166,3.9244154799940754,945220.0,6.0,6.0,6.0
30.13,Medieval and Renaissance Studies,80482.91304347826,61389.77391304348,105344.71304347826,0.1276521739130435,23000.0,2.0,2.0,2.0
30.14,Museology/Museum Studies,74520.17615397162,53376.922198662534,113897.35279725982,2.479649866797151,183930.0,4.0,4.0,4.0
30.15,"Science, Technology and Society",111536.514659271,78923.10103011093,159401.08438985737,2.559322503961965,252400.0,2.0,2.0,2.0
30.16,Accounting and Computer Science,125034.76193821321,95397.15771788507,161938.67261040604,11.512383115565338,5124720.0,7.0,7.0,7.0
30.17,Behavioral Sciences,74706.44075840095,58884.64757858579,95337.73903414611,4.732986825156494,442510.0,7.0,7.0,7.0
30.18,Natural Sciences,111434.81792419413,78878.9249025859,158115.85582713425,2.4321820758058803,282300.0,4.0,4.0,4.0
30.19,Nutrition Sciences,103009.97474924599,75116.37336045451,150392.029529354,9.318471627972224,570280.0,9.0,9.0,9.0
30.20,International/Globalization Studies,91337.27543635589,70563.45253299276,122274.92975734355,0.4841634738186462,23490.0,2.0,2.0,2.0
