state_fips,state_abbr,state_name,soc_code,occupation_title,total_employment,location_quotient,jobs_per_1000,annual_median,annual_mean,annual_pct10,annual_pct25,annual_pct75,annual_pct90,hourly_median,hourly_mean
01,AL,Alabama,11-9033,"Education Administrators, Postsecondary",3540.0,1.48,1.691,99290.0,121850.0,62490.0,77870.0,139860.0,220390.0,47.74,58.58
01,AL,Alabama,11-9039,"Education Administrators, All Other",,,,82410.0,82830.0,37050.0,51640.0,104770.0,124810.0,39.62,39.82
01,AL,Alabama,11-9041,Architectural and Engineering Managers,3480.0,1.22,1.663,157520.0,160920.0,102590.0,129120.0,185820.0,222160.0,75.73,77.37
01,AL,Alabama,11-9051,Food Service Managers,5090.0,1.54,2.436,59920.0,63650.0,40120.0,52290.0,73500.0,86720.0,28.81,30.6
01,AL,Alabama,11-9072,"Entertainment and Recreation Managers, Except Gambling",50.0,0.1,0.024,69330.0,64750.0,27870.0,33290.0,79350.0,100870.0,33.33,31.13
01,AL,Alabama,11-9081,Lodging Managers,500.0,0.89,0.238,78430.0,76650.0,46080.0,57270.0,90210.0,103840.0,37.71,36.85
01,AL,Alabama,11-9111,Medical and Health Services Managers,9320.0,1.21,4.456,92950.0,101790.0,63010.0,77160.0,108200.0,148770.0,44.69,48.94
01,AL,Alabama,11-9121,Natural Sciences Managers,280.0,0.21,0.136,127210.0,127650.0,84360.0,99560.0,144800.0,166520.0,61.16,61.37
01,AL,Alabama,11-9131,Postmasters and Mail Superintendents,280.0,1.5,0.134,92120.0,94210.0,84680.0,87150.0,99470.0,107970.0,44.29,45.29
01,AL,Alabama,11-9141,"Property, Real Estate, and Community Association Managers",3460.0,0.86,1.654,56190.0,63870.0,37050.0,46040.0,73120.0,102680.0,27.01,30.71
01,AL,Alabama,11-9151,Social and Community Service Managers,2150.0,0.81,1.03,65160.0,72760.0,42510.0,52480.0,88880.0,106370.0,31.33,34.98
01,AL,Alabama,11-9161,Emergency Management Directors,230.0,1.36,0.111,65570.0,78230.0,39300.0,47360.0,91260.0,136830.0,31.52,37.61
01,AL,Alabama,11-9171,Funeral Home Managers,400.0,2.25,0.191,65020.0,72210.0,41420.0,49380.0,86040.0,101440.0,31.26,34.72
01,AL,Alabama,11-9199,"Managers, All Other",2370.0,0.28,1.134,116830.0,123710.0,60280.0,83340.0,152480.0,186850.0,56.17,59.48
01,AL,Alabama,13-1020,Buyers and Purchasing Agents,8720.0,1.32,4.17,68210.0,77450.0,41530.0,53990.0,96060.0,122970.0,32.79,37.24
01,AL,Alabama,13-1031,"Claims Adjusters, Examiners, and Investigators",4430.0,1.07,2.118,80060.0,76630.0,46980.0,58450.0,94800.0,103720.0,38.49,36.84
01,AL,Alabama,13-1041,Compliance Officers,3400.0,0.63,1.626,70190.0,74930.0,38840.0,51130.0,92340.0,118820.0,33.75,36.03
01,AL,Alabama,13-1051,Cost Estimators,2460.0,0.83,1.176,68030.0,74390.0,43090.0,52020.0,89050.0,118640.0,32.71,35.76
01,AL,Alabama,13-1071,Human Resources Specialists,11200.0,0.9,5.357,62770.0,69880.0,41000.0,48890.0,82990.0,105500.0,30.18,33.6
01,AL,Alabama,13-1075,Labor Relations Specialists,510.0,0.58,0.244,56360.0,56650.0,19130.0,22560.0,77390.0,102440.0,27.1,27.24
01,AL,Alabama,13-1081,Logisticians,5790.0,1.81,2.768,95030.0,95880.0,57020.0,70620.0,119090.0,138650.0,45.69,46.1
01,AL,Alabama,13-1082,Project Management Specialists,2590.0,0.19,1.238,97840.0,108600.0,62270.0,80270.0,128890.0,167580.0,47.04,52.21
01,AL,Alabama,13-1111,Management Analysts,4980.0,0.41,2.382,102480.0,111280.0,61200.0,79150.0,129020.0,165190.0,49.27,53.5
01,AL,Alabama,13-1121,"Meeting, Convention, and Event Planners",1170.0,0.64,0.561,48590.0,54960.0,35810.0,40890.0,63070.0,85050.0,23.36,26.42
01,AL,Alabama,13-1131,Fundraisers,1020.0,0.71,0.49,55920.0,59880.0,38910.0,45470.0,68330.0,88100.0,26.89,28.79
01,AL,Alabama,13-1141,"Compensation, Benefits, and Job Analysis Specialists",1060.0,0.76,0.505,56720.0,66570.0,48910.0,50970.0,75360.0,96460.0,27.27,32.0
01,AL,Alabama,13-1151,Training and Development Specialists,2750.0,0.46,1.315,65520.0,71650.0,39890.0,49720.0,84250.0,107530.0,31.5,34.45
01,AL,Alabama,13-1161,Market Research Analysts and Marketing Specialists,8780.0,0.75,4.199,55390.0,66840.0,33790.0,44660.0,79030.0,114110.0,26.63,32.13
01,AL,Alabama,13-1199,"Business Operations Specialists, All Other",6990.0,0.46,3.342,98070.0,103960.0,59950.0,75670.0,127070.0,160380.0,47.15,49.98
01,AL,Alabama,13-2011,Accountants and Auditors,25420.0,1.29,12.156,71070.0,80760.0,48600.0,58000.0,93520.0,123410.0,34.17,38.83
01,AL,Alabama,13-2020,Property Appraisers and Assessors,540.0,0.68,0.26,53050.0,61630.0,29490.0,39440.0,82960.0,96710.0,25.51,29.63
01,AL,Alabama,13-2031,Budget Analysts,940.0,1.46,0.448,98080.0,99700.0,56080.0,73350.0,121780.0,139800.0,47.16,47.93
01,AL,Alabama,13-2041,Credit Analysts,310.0,0.34,0.15,101050.0,103280.0,53160.0,72740.0,121500.0,167640.0,48.58,49.66
01,AL,Alabama,13-2051,Financial and Investment Analysts,2780.0,0.6,1.329,94660.0,107880.0,60160.0,75280.0,128020.0,159850.0,45.51,51.86
01,AL,Alabama,13-2052,Personal Financial Advisors,2320.0,0.63,1.109,79600.0,129240.0,35710.0,58560.0,127830.0,,38.27,62.14
01,AL,Alabama,13-2053,Insurance Underwriters,1050.0,0.72,0.504,63760.0,71820.0,39500.0,52870.0,80670.0,105500.0,30.65,34.53
01,AL,Alabama,13-2054,Financial Risk Specialists,140.0,0.18,0.066,82900.0,92240.0,46790.0,60800.0,105880.0,166540.0,39.86,44.35
01,AL,Alabama,13-2061,Financial Examiners,690.0,0.81,0.33,80870.0,83680.0,39920.0,51520.0,105150.0,132610.0,38.88,40.23
01,AL,Alabama,13-2071,Credit Counselors,,,,48040.0,49960.0,38940.0,40760.0,56290.0,72580.0,23.09,24.02
01,AL,Alabama,13-2072,Loan Officers,5680.0,1.44,2.715,60750.0,78300.0,39990.0,47200.0,93990.0,147110.0,29.21,37.64
01,AL,Alabama,13-2081,"Tax Examiners and Collectors, and Revenue Agents",1180.0,1.63,0.564,52470.0,59050.0,32080.0,38890.0,72830.0,100640.0,25.23,28.39
01,AL,Alabama,13-2082,Tax Preparers,550.0,0.55,0.264,33490.0,34250.0,29130.0,29900.0,35280.0,44810.0,16.1,16.47
01,AL,Alabama,13-2099,"Financial Specialists, All Other",660.0,0.38,0.313,78370.0,81090.0,25380.0,49460.0,104330.0,135430.0,37.68,38.99
01,AL,Alabama,15-1211,Computer Systems Analysts,6830.0,1.01,3.268,103730.0,112430.0,65690.0,81130.0,132670.0,165490.0,49.87,54.06
01,AL,Alabama,15-1212,Information Security Analysts,3290.0,1.35,1.572,111110.0,112800.0,61020.0,79870.0,138270.0,165120.0,53.42,54.23
01,AL,Alabama,15-1221,Computer and Information Research Scientists,540.0,1.04,0.258,108180.0,109020.0,56360.0,69680.0,133640.0,159140.0,52.01,52.41
01,AL,Alabama,15-1231,Computer Network Support Specialists,1020.0,0.51,0.487,58740.0,64680.0,40130.0,44440.0,76450.0,98530.0,28.24,31.1
01,AL,Alabama,15-1232,Computer User Support Specialists,7430.0,0.79,3.554,48860.0,51960.0,33800.0,40360.0,60940.0,74170.0,23.49,24.98
01,AL,Alabama,15-1241,Computer Network Architects,3610.0,1.5,1.728,128210.0,126770.0,77100.0,99090.0,152340.0,175810.0,61.64,60.95
01,AL,Alabama,15-1242,Database Administrators,1990.0,2.01,0.953,88560.0,92930.0,56610.0,72170.0,113890.0,132170.0,42.58,44.68
01,AL,Alabama,15-1243,Database Architects,310.0,0.35,0.147,111330.0,117510.0,74410.0,89210.0,134580.0,174490.0,53.52,56.5
01,AL,Alabama,15-1244,Network and Computer Systems Administrators,4980.0,1.15,2.38,81060.0,86770.0,51820.0,64890.0,102860.0,129670.0,38.97,41.72
01,AL,Alabama,15-1251,Computer Programmers,1360.0,0.91,0.651,87230.0,90900.0,49950.0,65100.0,110500.0,134330.0,41.94,43.7
01,AL,Alabama,15-1252,Software Developers,18020.0,0.8,8.616,113020.0,117380.0,63670.0,82610.0,141140.0,176060.0,54.34,56.43
01,AL,Alabama,15-1253,Software Quality Assurance Analysts and Testers,1910.0,0.71,0.914,99520.0,103760.0,63810.0,79860.0,127570.0,153360.0,47.84,49.88
01,AL,Alabama,15-1254,Web Developers,790.0,0.74,0.376,62990.0,69990.0,38520.0,48490.0,89360.0,105480.0,30.28,33.65
01,AL,Alabama,15-1255,Web and Digital Interface Designers,130.0,0.09,0.062,49770.0,60520.0,35340.0,43590.0,66220.0,95830.0,23.93,29.1
01,AL,Alabama,15-1299,"Computer Occupations, All Other",2450.0,0.41,1.17,104330.0,102650.0,56380.0,78170.0,125430.0,144000.0,50.16,49.35
01,AL,Alabama,15-2011,Actuaries,,,,143230.0,133320.0,80280.0,132110.0,143230.0,143230.0,68.86,64.1
01,AL,Alabama,15-2031,Operations Research Analysts,500.0,0.34,0.241,117540.0,118370.0,62340.0,90420.0,146890.0,171790.0,56.51,56.91
01,AL,Alabama,15-2041,Statisticians,200.0,0.49,0.095,67490.0,76870.0,49260.0,57580.0,87480.0,112120.0,32.45,36.96
01,AL,Alabama,15-2051,Data Scientists,1620.0,0.51,0.773,105410.0,102970.0,61810.0,76180.0,128250.0,147980.0,50.68,49.51
01,AL,Alabama,17-1011,"Architects, Except Landscape and Naval",1270.0,0.84,0.608,94170.0,104560.0,60380.0,73030.0,122840.0,164810.0,45.27,50.27
01,AL,Alabama,17-1012,Landscape Architects,230.0,0.87,0.11,76590.0,87500.0,61150.0,65800.0,95850.0,156000.0,36.82,42.07
01,AL,Alabama,17-1021,Cartographers and Photogrammetrists,30.0,0.19,0.016,70110.0,76180.0,43750.0,52250.0,91890.0,116830.0,33.71,36.63
01,AL,Alabama,17-1022,Surveyors,830.0,1.15,0.397,63700.0,70510.0,44140.0,49930.0,85920.0,102290.0,30.63,33.9
01,AL,Alabama,17-2011,Aerospace Engineers,5570.0,6.0,2.663,133080.0,136210.0,80040.0,99690.0,170090.0,198840.0,63.98,65.49
01,AL,Alabama,17-2041,Chemical Engineers,540.0,1.94,0.256,103620.0,116130.0,72750.0,84450.0,135770.0,191400.0,49.82,55.83
01,AL,Alabama,17-2051,Civil Engineers,5920.0,1.23,2.83,98100.0,104270.0,64640.0,75950.0,125890.0,162160.0,47.16,50.13
01,AL,Alabama,17-2061,Computer Hardware Engineers,800.0,0.78,0.382,136660.0,133770.0,79480.0,101230.0,159090.0,187030.0,65.7,64.31
01,AL,Alabama,17-2071,Electrical Engineers,4470.0,1.75,2.138,115870.0,122950.0,72060.0,86510.0,144970.0,179040.0,55.71,59.11
01,AL,Alabama,17-2072,"Electronics Engineers, Except Computer",1780.0,1.4,0.851,108240.0,117680.0,70000.0,87300.0,143440.0,179260.0,52.04,56.58
01,AL,Alabama,17-2081,Environmental Engineers,660.0,1.29,0.317,100060.0,103760.0,66560.0,81760.0,120450.0,145490.0,48.11,49.89
01,AL,Alabama,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",550.0,1.75,0.264,106130.0,112470.0,72550.0,91750.0,131320.0,163770.0,51.03,54.07
01,AL,Alabama,17-2112,Industrial Engineers,8040.0,1.69,3.842,99120.0,102170.0,65580.0,80090.0,119890.0,145060.0,47.65,49.12
01,AL,Alabama,17-2131,Materials Engineers,660.0,2.13,0.315,110150.0,112300.0,66920.0,85070.0,135000.0,164530.0,52.96,53.99
01,AL,Alabama,17-2141,Mechanical Engineers,5480.0,1.41,2.619,97550.0,106090.0,65530.0,79370.0,128850.0,159030.0,46.9,51.0
01,AL,Alabama,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",80.0,0.9,0.04,101480.0,100700.0,67650.0,88590.0,106210.0,131880.0,48.79,48.41
01,AL,Alabama,17-2161,Nuclear Engineers,270.0,1.33,0.127,144410.0,136480.0,98950.0,113150.0,156170.0,176150.0,69.43,65.62
01,AL,Alabama,17-2171,Petroleum Engineers,140.0,0.54,0.067,,,,,,,,
01,AL,Alabama,17-2199,"Engineers, All Other",3370.0,1.65,1.609,146480.0,143060.0,86630.0,112870.0,179360.0,191880.0,70.42,68.78
01,AL,Alabama,17-3011,Architectural and Civil Drafters,1350.0,0.91,0.646,56030.0,56390.0,37360.0,47080.0,63120.0,75410.0,26.94,27.11
01,AL,Alabama,17-3012,Electrical and Electronics Drafters,290.0,1.06,0.137,53490.0,60540.0,36390.0,43890.0,74650.0,93540.0,25.72,29.11
01,AL,Alabama,17-3013,Mechanical Drafters,590.0,1.1,0.284,49580.0,59220.0,34080.0,43540.0,74640.0,89680.0,23.84,28.47
01,AL,Alabama,17-3021,Aerospace Engineering and Operations Technologists and Technicians,210.0,1.71,0.101,69590.0,73940.0,44200.0,59740.0,91940.0,107110.0,33.46,35.55
01,AL,Alabama,17-3022,Civil Engineering Technologists and Technicians,1570.0,1.87,0.752,51720.0,54030.0,33210.0,41560.0,64220.0,76940.0,24.86,25.98
01,AL,Alabama,17-3023,Electrical and Electronic Engineering Technologists and Technicians,1950.0,1.55,0.931,78520.0,79950.0,48430.0,59530.0,100290.0,120040.0,37.75,38.44
01,AL,Alabama,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,70.0,0.35,0.033,68910.0,68020.0,42770.0,47630.0,82860.0,99730.0,33.13,32.7
01,AL,Alabama,17-3025,Environmental Engineering Technologists and Technicians,,,,67030.0,63470.0,38330.0,45720.0,74700.0,79630.0,32.23,30.51
01,AL,Alabama,17-3026,Industrial Engineering Technologists and Technicians,830.0,0.84,0.399,59860.0,64140.0,44730.0,49160.0,75100.0,92080.0,28.78,30.84
01,AL,Alabama,17-3027,Mechanical Engineering Technologists and Technicians,350.0,0.7,0.17,61220.0,66190.0,41850.0,46730.0,77880.0,102620.0,29.44,31.82
01,AL,Alabama,17-3028,Calibration Technologists and Technicians,50.0,0.22,0.022,40310.0,50580.0,36830.0,37260.0,50880.0,91740.0,19.38,24.32
01,AL,Alabama,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",540.0,0.61,0.256,81060.0,81540.0,42870.0,61150.0,98550.0,121080.0,38.97,39.2
01,AL,Alabama,17-3031,Surveying and Mapping Technicians,1210.0,1.57,0.578,46260.0,51690.0,32900.0,38180.0,63120.0,80570.0,22.24,24.85
01,AL,Alabama,19-1012,Food Scientists and Technologists,50.0,0.27,0.025,99170.0,93030.0,56520.0,80330.0,108550.0,112660.0,47.68,44.73
01,AL,Alabama,19-1013,Soil and Plant Scientists,90.0,0.38,0.041,69200.0,78900.0,48460.0,50650.0,92150.0,125700.0,33.27,37.93
01,AL,Alabama,19-1021,Biochemists and Biophysicists,100.0,0.21,0.046,57720.0,71960.0,40960.0,44860.0,74960.0,156830.0,27.75,34.59
01,AL,Alabama,19-1022,Microbiologists,90.0,0.35,0.045,55600.0,65500.0,37600.0,41470.0,74660.0,95790.0,26.73,31.49
01,AL,Alabama,19-1023,Zoologists and Wildlife Biologists,310.0,1.34,0.147,64860.0,66520.0,44810.0,49260.0,74600.0,91260.0,31.18,31.98
01,AL,Alabama,19-1029,"Biological Scientists, All Other",250.0,0.31,0.12,80230.0,82580.0,49000.0,61670.0,98590.0,111510.0,38.57,39.7
01,AL,Alabama,19-1031,Conservation Scientists,110.0,0.32,0.053,76270.0,82270.0,52670.0,62520.0,101440.0,113030.0,36.67,39.55
01,AL,Alabama,19-1032,Foresters,300.0,2.27,0.142,71070.0,69870.0,51720.0,56670.0,81370.0,84650.0,34.17,33.59
01,AL,Alabama,19-1041,Epidemiologists,60.0,0.41,0.031,72830.0,72130.0,45750.0,59630.0,82620.0,100820.0,35.01,34.68
01,AL,Alabama,19-1042,"Medical Scientists, Except Epidemiologists",1460.0,0.69,0.699,65750.0,76800.0,47970.0,54430.0,83230.0,119020.0,31.61,36.92
01,AL,Alabama,19-1099,"Life Scientists, All Other",50.0,0.5,0.024,107050.0,107210.0,78540.0,86780.0,122840.0,138940.0,51.47,51.54
01,AL,Alabama,19-2012,Physicists,360.0,1.24,0.171,114690.0,130730.0,69320.0,91260.0,164060.0,222590.0,55.14,62.85
01,AL,Alabama,19-2021,Atmospheric and Space Scientists,230.0,1.96,0.112,84720.0,87450.0,44150.0,52360.0,102940.0,143500.0,40.73,42.04
01,AL,Alabama,19-2031,Chemists,630.0,0.56,0.301,96000.0,100510.0,58900.0,71420.0,126570.0,156100.0,46.16,48.32
01,AL,Alabama,19-2041,"Environmental Scientists and Specialists, Including Health",920.0,0.8,0.44,74660.0,76210.0,40450.0,54280.0,89570.0,118500.0,35.9,36.64
01,AL,Alabama,19-2042,"Geoscientists, Except Hydrologists and Geographers",140.0,0.45,0.066,80310.0,82110.0,51720.0,59330.0,99520.0,124090.0,38.61,39.48
01,AL,Alabama,19-2043,Hydrologists,30.0,0.42,0.016,86750.0,90830.0,61600.0,65230.0,107850.0,132200.0,41.71,43.67
01,AL,Alabama,19-2099,"Physical Scientists, All Other",150.0,0.5,0.073,131560.0,130920.0,63120.0,104330.0,154770.0,186850.0,63.25,62.94
01,AL,Alabama,19-3011,Economists,40.0,0.18,0.018,103400.0,114850.0,59950.0,83810.0,136200.0,161110.0,49.71,55.22
01,AL,Alabama,19-3033,Clinical and Counseling Psychologists,360.0,0.37,0.173,100320.0,110180.0,55600.0,63690.0,128550.0,173410.0,48.23,52.97
01,AL,Alabama,19-3034,School Psychologists,320.0,0.37,0.154,71660.0,72130.0,62700.0,67440.0,75310.0,81000.0,34.45,34.68
01,AL,Alabama,19-3039,"Psychologists, All Other",100.0,0.43,0.049,134370.0,126770.0,66630.0,114670.0,150010.0,159620.0,64.6,60.95
01,AL,Alabama,19-3051,Urban and Regional Planners,560.0,0.96,0.268,64880.0,71750.0,40350.0,49860.0,84650.0,115110.0,31.19,34.5
01,AL,Alabama,19-3091,Anthropologists and Archeologists,210.0,1.96,0.103,68760.0,69400.0,51220.0,61220.0,77990.0,82740.0,33.06,33.37
01,AL,Alabama,19-3093,Historians,60.0,1.36,0.028,71070.0,75880.0,43100.0,51040.0,87780.0,120640.0,34.17,36.48
01,AL,Alabama,19-3099,"Social Scientists and Related Workers, All Other",320.0,0.63,0.152,95640.0,103540.0,72550.0,80540.0,121870.0,143370.0,45.98,49.78
01,AL,Alabama,19-4012,Agricultural Technicians,40.0,0.19,0.018,32390.0,34120.0,31200.0,31520.0,33830.0,36630.0,15.57,16.41
01,AL,Alabama,19-4021,Biological Technicians,300.0,0.29,0.143,45880.0,46080.0,32410.0,36700.0,54280.0,64360.0,22.06,22.15
01,AL,Alabama,19-4031,Chemical Technicians,1180.0,1.56,0.565,52680.0,56840.0,35630.0,42450.0,69350.0,82010.0,25.33,27.33
01,AL,Alabama,19-4042,"Environmental Science and Protection Technicians, Including Health",340.0,0.63,0.161,45890.0,47580.0,34930.0,35690.0,57200.0,68810.0,22.06,22.88
01,AL,Alabama,19-4043,"Geological Technicians, Except Hydrologic Technicians",40.0,0.34,0.021,40050.0,40970.0,29100.0,37880.0,43330.0,43330.0,19.26,19.7
01,AL,Alabama,19-4051,Nuclear Technicians,170.0,2.08,0.081,107680.0,111210.0,64630.0,95880.0,126890.0,126890.0,51.77,53.46
01,AL,Alabama,19-4071,Forest and Conservation Technicians,180.0,0.43,0.087,54310.0,55300.0,37600.0,48130.0,62670.0,74420.0,26.11,26.59
01,AL,Alabama,19-4092,Forensic Science Technicians,160.0,0.59,0.075,59560.0,61120.0,38910.0,46890.0,71070.0,82620.0,28.63,29.39
01,AL,Alabama,19-4099,"Life, Physical, and Social Science Technicians, All Other",250.0,0.26,0.121,53910.0,57510.0,37350.0,40450.0,69950.0,79230.0,25.92,27.65
01,AL,Alabama,19-5011,Occupational Health and Safety Specialists,2100.0,1.2,1.004,75440.0,78620.0,44110.0,58110.0,97640.0,113550.0,36.27,37.8
01,AL,Alabama,19-5012,Occupational Health and Safety Technicians,480.0,1.13,0.23,52510.0,57640.0,37170.0,44990.0,65560.0,89480.0,25.25,27.71
01,AL,Alabama,21-1012,"Educational, Guidance, and Career Counselors and Advisors",4510.0,0.97,2.157,60530.0,61330.0,38110.0,47240.0,74080.0,87340.0,29.1,29.49
01,AL,Alabama,21-1013,Marriage and Family Therapists,200.0,0.23,0.097,54280.0,55260.0,37820.0,43690.0,63660.0,79920.0,26.1,26.57
01,AL,Alabama,21-1015,Rehabilitation Counselors,460.0,0.38,0.218,54320.0,54300.0,32190.0,38910.0,67650.0,74660.0,26.11,26.11
01,AL,Alabama,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",3340.0,0.56,1.599,48880.0,52120.0,35940.0,40480.0,58540.0,73050.0,23.5,25.06
01,AL,Alabama,21-1019,"Counselors, All Other",50.0,0.1,0.022,31910.0,44400.0,24730.0,31910.0,49230.0,91470.0,15.34,21.35
01,AL,Alabama,21-1021,"Child, Family, and School Social Workers",4430.0,0.85,2.12,46890.0,50430.0,36640.0,40450.0,59310.0,67950.0,22.54,24.24
01,AL,Alabama,21-1022,Healthcare Social Workers,2640.0,1.05,1.26,58000.0,57050.0,38750.0,45950.0,65780.0,74480.0,27.89,27.43
01,AL,Alabama,21-1023,Mental Health and Substance Abuse Social Workers,670.0,0.39,0.322,42100.0,44670.0,29200.0,31910.0,55000.0,63070.0,20.24,21.47
01,AL,Alabama,21-1029,"Social Workers, All Other",450.0,0.52,0.217,89170.0,85850.0,47620.0,77050.0,101130.0,110090.0,42.87,41.27
01,AL,Alabama,21-1091,Health Education Specialists,620.0,0.7,0.297,53110.0,58930.0,36310.0,43000.0,71660.0,91220.0,25.54,28.33
01,AL,Alabama,21-1092,Probation Officers and Correctional Treatment Specialists,960.0,0.81,0.457,58390.0,58670.0,40450.0,48040.0,67650.0,78540.0,28.07,28.21
01,AL,Alabama,21-1093,Social and Human Service Assistants,3260.0,0.57,1.559,34040.0,35090.0,21990.0,28490.0,39580.0,46890.0,16.36,16.87
01,AL,Alabama,21-1094,Community Health Workers,190.0,0.23,0.092,43950.0,47430.0,33580.0,40590.0,51720.0,62880.0,21.13,22.8
01,AL,Alabama,21-1099,"Community and Social Service Specialists, All Other",70.0,0.05,0.035,24340.0,30770.0,20040.0,21530.0,33120.0,48950.0,11.7,14.79
01,AL,Alabama,21-2011,Clergy,720.0,0.91,0.343,50050.0,52440.0,30070.0,42360.0,57510.0,75210.0,24.06,25.21
01,AL,Alabama,21-2021,"Directors, Religious Activities and Education",110.0,0.37,0.051,65190.0,64830.0,31360.0,50190.0,72540.0,122870.0,31.34,31.17
01,AL,Alabama,23-1011,Lawyers,5810.0,0.57,2.779,127660.0,139470.0,61190.0,84670.0,175040.0,217010.0,61.38,67.05
01,AL,Alabama,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",80.0,0.36,0.038,149760.0,152420.0,71070.0,110300.0,203990.0,203990.0,72.0,73.28
01,AL,Alabama,23-1022,"Arbitrators, Mediators, and Conciliators",40.0,0.33,0.017,82160.0,75490.0,45610.0,49660.0,84650.0,122840.0,39.5,36.29
01,AL,Alabama,23-1023,"Judges, Magistrate Judges, and Magistrates",610.0,1.75,0.29,50950.0,71280.0,35740.0,39740.0,84780.0,140630.0,24.49,34.27
01,AL,Alabama,23-2011,Paralegals and Legal Assistants,5480.0,1.1,2.619,46060.0,49800.0,30300.0,37250.0,60510.0,73300.0,22.15,23.94
01,AL,Alabama,23-2093,"Title Examiners, Abstractors, and Searchers",380.0,0.58,0.182,49440.0,54980.0,38440.0,47170.0,61780.0,74270.0,23.77,26.43
01,AL,Alabama,23-2099,"Legal Support Workers, All Other",230.0,0.36,0.111,56080.0,67930.0,43270.0,49460.0,67580.0,103460.0,26.96,32.66
01,AL,Alabama,25-1011,"Business Teachers, Postsecondary",1290.0,1.16,0.616,81040.0,96490.0,44010.0,60330.0,119540.0,168050.0,,
01,AL,Alabama,25-1021,"Computer Science Teachers, Postsecondary",500.0,1.02,0.239,88440.0,99330.0,54740.0,63430.0,123290.0,161180.0,,
01,AL,Alabama,25-1022,"Mathematical Science Teachers, Postsecondary",960.0,1.45,0.459,65480.0,70760.0,45920.0,54350.0,79990.0,95820.0,,
